epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790184922338,399.609375,390.546875,9.0625,2180673536,2244943872,2193870848,110,1437
1790184923356,400.859375,391.4375,9.421875,2185285632,2251755520,2193870848,109,1434
1790184924366,401.296875,391.703125,9.59375,2186711040,2256711680,2193870848,105,1425
1790184925370,407.328125,397.40625,9.921875,2390020096,2461802496,2390020096,110,1437
1790184926389,408.40625,398.421875,9.984375,2353434624,2423083008,2391912448,100,1407
1790184927394,408.578125,398.546875,10.03125,2353532928,2423205888,2391912448,101,1410
1790184928400,408.703125,398.625,10.078125,2243416064,2312867840,2391912448,103,1416
1790184929414,409.703125,399.484375,10.21875,2244227072,2313469952,2391912448,110,1437
1790184930425,412.3125,401.96875,10.34375,2279448576,2352959488,2391912448,109,1434
1790184931433,412.359375,401.984375,10.375,2279276544,2352549888,2391912448,101,1410
1790184932437,412.46875,402.0625,10.40625,2281963520,2355056640,2391912448,100,1409
1790184933455,412.578125,402.109375,10.46875,2104991744,2174050304,2391912448,100,1409
1790184934458,413.953125,403.296875,10.65625,2232811520,2305814528,2391912448,107,1430
1790184935463,414,403.3125,10.6875,2232639488,2305474560,2391912448,102,1413
1790184936471,414.1875,403.46875,10.71875,2232705024,2305388544,2391912448,100,1407
1790184937477,414.625,403.78125,10.84375,2233880576,2306211840,2391912448,100,1409
1790184938487,415.078125,404.109375,10.96875,2236596224,2308501504,2391912448,106,1427
1790184939497,415.125,404.109375,11.015625,2236329984,2308038656,2391912448,100,1408
1790184940506,415.15625,404.109375,11.046875,2236329984,2308038656,2391912448,100,1408
1790184941511,415.25,404.125,11.125,2236809216,2308329472,2391912448,104,1420
1790184942533,415.71875,404.5,11.21875,2238558208,2309816320,2391912448,107,1428
1790184943538,416.03125,404.734375,11.296875,2238021632,2308890624,2391912448,107,1428
1790184944539,416.0625,404.734375,11.328125,2237870080,2308620288,2391912448,103,1417
1790184945541,416.15625,404.796875,11.359375,2238013440,2308497408,2391912448,100,1407
1790184946547,416.3125,404.90625,11.40625,2238095360,2308427776,2391912448,99,1404
1790184947554,417.1875,405.671875,11.515625,2241351680,2310725632,2391912448,99,1405
1790184948558,417.234375,405.671875,11.5625,2241351680,2310725632,2391912448,99,1405
1790184949563,417.265625,405.671875,11.59375,2241351680,2310725632,2391912448,99,1405
1790184950577,417.84375,406.15625,11.6875,2242617344,2311966720,2391912448,101,1411
1790184951585,418,406.28125,11.71875,2242662400,2312011776,2391912448,101,1410
1790184952599,418.078125,406.3125,11.765625,2242727936,2311995392,2391912448,100,1407
1790184953614,418.140625,406.3125,11.828125,2242703360,2311942144,2391912448,99,1404
1790184954616,418.453125,406.609375,11.84375,2242809856,2312011776,2391912448,99,1404
1790184955624,418.484375,406.609375,11.875,2242834432,2312011776,2391912448,99,1404
1790184956633,418.5,406.609375,11.890625,2242834432,2312011776,2391912448,99,1404
1790184957641,418.53125,406.609375,11.921875,2242879488,2312077312,2391912448,100,1407
1790184958652,418.875,406.90625,11.96875,2243297280,2312282112,2391912448,100,1407
1790184959661,418.890625,406.90625,11.984375,2243256320,2312212480,2391912448,99,1404
1790184960670,418.9375,406.921875,12.015625,2243293184,2312278016,2391912448,100,1407
1790184961677,418.984375,406.9375,12.046875,2243321856,2312278016,2391912448,99,1404
1790184962685,419.09375,407,12.09375,2243506176,2312409088,2391912448,100,1408
1790184963694,419.140625,407.015625,12.125,2243506176,2312409088,2391912448,100,1408
1790184964700,419.1875,407.015625,12.171875,2243416064,2312261632,2391912448,98,1402
1790184965707,419.265625,407.0625,12.203125,2243416064,2312261632,2391912448,98,1402
1790184966709,419.34375,407.109375,12.234375,2243473408,2312376320,2391912448,100,1408
1790184967724,419.421875,407.125,12.296875,2243473408,2312294400,2391912448,97,1397
1790184968727,419.46875,407.140625,12.328125,2243473408,2312294400,2391912448,97,1397
1790184969736,419.53125,407.171875,12.359375,2243420160,2312208384,2391912448,96,1394
1790184970743,419.75,407.359375,12.390625,2243420160,2312208384,2391912448,96,1394
1790184971758,420,407.5625,12.4375,2243420160,2312208384,2391912448,96,1394
1790184972766,420.0625,407.578125,12.484375,2243497984,2312208384,2391912448,96,1394
1790184973771,420.109375,407.59375,12.515625,2243514368,2312192000,2391912448,95,1391
1790184974778,420.359375,407.796875,12.5625,2243973120,2312519680,2391912448,95,1391
1790184975786,420.390625,407.796875,12.59375,2243973120,2312519680,2391912448,95,1391
1790184976792,420.40625,407.8125,12.59375,2243932160,2312450048,2391912448,93,1387
1790184977802,420.4375,407.8125,12.625,2243932160,2312450048,2391912448,93,1387
1790184978807,420.5,407.8125,12.6875,2243866624,2312355840,2391912448,92,1384
1790184979813,420.515625,407.8125,12.703125,2243866624,2312355840,2391912448,92,1384
1790184980817,420.546875,407.8125,12.734375,2243866624,2312355840,2391912448,92,1384
1790184981821,420.59375,407.8125,12.78125,2243969024,2312577024,2391912448,96,1396
