epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790185082995,389.9375,380.4375,9.5,1929015296,1989820416,2036633600,112,1446
1790185084015,391.5625,381.921875,9.640625,1933910016,1995763712,2036633600,110,1442
1790185085021,392.03125,382.203125,9.828125,1934737408,2001170432,2036633600,107,1433
1790185086029,392.875,382.921875,9.953125,1935806464,2002276352,2036633600,110,1441
1790185087037,399.796875,389.484375,10.3125,2092437504,2161111040,2129440768,110,1441
1790185088040,399.875,389.515625,10.359375,2092204032,2160627712,2129440768,103,1420
1790185089043,399.9375,389.546875,10.390625,2092171264,2160500736,2129440768,100,1413
1790185090046,400.1875,389.6875,10.5,1875279872,1944907776,2129440768,103,1422
1790185091053,403.640625,392.78125,10.859375,2032402432,2103644160,2129440768,110,1441
1790185092061,403.75,392.859375,10.890625,2019815424,2089750528,2129440768,102,1417
1790185093081,403.859375,392.90625,10.953125,2020614144,2089844736,2129440768,102,1417
1790185094084,403.984375,392.96875,11.015625,2020696064,2089865216,2129440768,100,1411
1790185095100,404.71875,393.546875,11.171875,1975930880,2043449344,2129440768,107,1432
1790185096116,405.609375,394.390625,11.21875,1973534720,2040778752,2129440768,102,1418
1790185097128,405.671875,394.421875,11.25,1973604352,2040844288,2129440768,102,1418
1790185098137,405.734375,394.4375,11.296875,1973542912,2040737792,2129440768,101,1415
1790185099144,405.78125,394.453125,11.328125,1973510144,2040672256,2129440768,100,1411
1790185100150,406.921875,395.328125,11.59375,1974538240,2041446400,2129440768,103,1421
1790185101157,406.96875,395.34375,11.625,1974427648,2041274368,2129440768,101,1415
1790185102161,407.015625,395.34375,11.671875,1974390784,2041204736,2129440768,100,1411
1790185103164,407.484375,395.78125,11.703125,1974685696,2041495552,2129440768,105,1426
1790185104169,407.859375,396.078125,11.78125,1974640640,2041331712,2129440768,102,1418
1790185105171,407.9375,396.140625,11.796875,1974538240,2041131008,2129440768,99,1408
1790185106178,407.96875,396.140625,11.828125,1974538240,2041131008,2129440768,99,1408
1790185107187,408.015625,396.15625,11.859375,1974558720,2041131008,2129440768,99,1408
1790185108192,408.734375,396.75,11.984375,1974841344,2041327616,2129440768,102,1417
1790185109196,408.765625,396.75,12.015625,1974738944,2041131008,2129440768,99,1410
1790185110206,408.796875,396.75,12.046875,1852334080,1919041536,2129440768,99,1410
1790185111212,408.828125,396.75,12.078125,1852645376,1919361024,2129440768,99,1410
1790185112219,409.109375,397,12.109375,1883521024,1951387648,2129440768,104,1425
1790185113226,409.140625,397,12.140625,1883353088,1951100928,2129440768,100,1415
1790185114236,409.203125,397.015625,12.1875,1883570176,1951182848,2129440768,99,1408
1790185115243,409.234375,397.03125,12.203125,1883570176,1951182848,2129440768,99,1408
