epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790186104732,168.109375,159.8125,8.296875,1908453376,1968029696,1985028096,106,1437
1790186105749,175.46875,166.453125,9.015625,1976299520,2034962432,1990205440,106,1438
1790186106753,185.15625,175.375,9.78125,2020843520,2084745216,2024636416,106,1438
1790186107761,189.9375,179.921875,10.015625,2011480064,2074411008,2024636416,104,1431
1790186108772,191.59375,181.53125,10.0625,2003476480,2066198528,2024636416,100,1419
1790186109784,191.640625,181.546875,10.09375,2003456000,2066116608,2024636416,98,1413
1790186110790,191.734375,181.578125,10.15625,1840582656,1934442496,2024636416,99,1416
1790186111797,192.09375,181.890625,10.203125,1851052032,1944821760,2024636416,98,1413
1790186112799,193.046875,182.71875,10.328125,1950994432,2028101632,2024636416,97,1410
1790186113801,199.265625,188.671875,10.59375,1977987072,2044583936,2024636416,99,1416
1790186114804,204.234375,193.515625,10.71875,1947013120,2008920064,2024636416,99,1417
1790186115816,205.328125,194.546875,10.78125,1838710784,1910026240,2024636416,99,1416
1790186116823,205.875,195.046875,10.828125,1842978816,1914216448,2024636416,93,1398
1790186117831,206.421875,195.5625,10.859375,1871433728,1941704704,2024636416,93,1398
1790186118837,206.453125,195.5625,10.890625,1871462400,1941704704,2024636416,93,1398
1790186119843,206.484375,195.5625,10.921875,1873117184,1942925312,2024636416,93,1399
1790186120851,210.578125,199.546875,11.03125,1880756224,1948360704,2024636416,95,1405
1790186121856,214.953125,203.828125,11.125,1930432512,1998073856,2024636416,98,1414
1790186122877,217.703125,206.5,11.203125,1968222208,2033500160,2024636416,98,1413
1790186123881,219.390625,208.078125,11.3125,1969180672,2033901568,2024636416,101,1422
1790186124892,219.46875,208.125,11.34375,1969094656,2033721344,2024636416,98,1415
1790186125902,219.578125,208.203125,11.375,1969307648,2033680384,2024636416,96,1408
1790186126912,219.671875,208.265625,11.40625,1969262592,2033602560,2024636416,95,1404
1790186127914,225.546875,214.09375,11.453125,1969422336,2033602560,2024636416,95,1404
1790186128924,231.296875,219.796875,11.5,1969557504,2033668096,2024636416,95,1404
1790186129928,232.890625,221.34375,11.546875,1969618944,2033668096,2024636416,95,1404
1790186130929,233.59375,221.984375,11.609375,1969643520,2033721344,2024636416,96,1407
1790186131935,233.625,221.984375,11.640625,1969192960,2033037312,2024636416,88,1383
1790186132947,233.65625,221.984375,11.671875,1969192960,2033037312,2024636416,88,1383
1790186133956,234.15625,222.453125,11.703125,1969303552,2033094656,2024636416,89,1386
1790186134967,240.296875,228.421875,11.875,1970032640,2034057216,2024636416,99,1416
1790186135974,244.75,232.796875,11.953125,1970143232,2034036736,2024636416,98,1413
1790186136978,245.0625,233.0625,12,1970155520,2033983488,2024636416,97,1410
1790186137985,245.09375,233.0625,12.03125,1970221056,2034049024,2024636416,97,1410
1790186138989,245.21875,233.140625,12.078125,1970659328,2034114560,2024636416,97,1411
1790186139996,245.34375,233.203125,12.140625,1970712576,2034176000,2024636416,98,1413
1790186141004,246.046875,233.84375,12.203125,1971994624,2035294208,2024636416,97,1410
1790186142006,250.140625,237.890625,12.25,1971998720,2035294208,2024636416,97,1410
1790186143017,253.015625,240.6875,12.328125,1965477888,2028691456,2024636416,97,1410
1790186144032,253.84375,241.484375,12.359375,1965477888,2028691456,2024636416,97,1410
1790186145041,253.890625,241.5,12.390625,1965002752,2027945984,2024636416,89,1386
1790186146048,255.03125,242.59375,12.4375,1965027328,2027966464,2024636416,89,1386
1790186147053,257.078125,244.578125,12.5,1965215744,2028232704,2024636416,92,1395
1790186148058,258.078125,245.515625,12.5625,1965346816,2028298240,2024636416,92,1395
1790186149067,260.9375,248.34375,12.59375,1965346816,2028298240,2024636416,92,1395
1790186150069,262.8125,250.171875,12.640625,1965355008,2028269568,2024636416,91,1391
1790186151073,263.875,251.203125,12.671875,1965355008,2028269568,2024636416,91,1391
1790186152075,264.546875,251.84375,12.703125,1965301760,2028187648,2024636416,90,1388
1790186153080,266.140625,253.40625,12.734375,1965330432,2028187648,2024636416,90,1388
1790186154085,267.859375,255.09375,12.765625,1965330432,2028187648,2024636416,90,1388
1790186155100,269.53125,256.734375,12.796875,1965457408,2028253184,2024636416,90,1388
1790186156110,273.34375,260.5,12.84375,1965449216,2028179456,2024636416,89,1385
1790186157115,276.328125,263.421875,12.90625,1965531136,2028068864,2024636416,87,1380
1790186158123,276.984375,264.046875,12.9375,1965531136,2028068864,2024636416,87,1380
1790186159128,277.484375,264.515625,12.96875,1965547520,2028085248,2024636416,86,1379
1790186160136,279.4375,266.453125,12.984375,1965477888,2029035520,2024636416,85,1375
1790186161143,280.90625,267.921875,12.984375,1965473792,2027982848,2024636416,85,1375
1790186162146,282.53125,269.46875,13.0625,1965477888,2027982848,2024636416,85,1375
1790186163150,286.03125,272.90625,13.125,1965690880,2028244992,2024636416,88,1384
1790186164159,288.84375,275.671875,13.171875,1965821952,2028310528,2024636416,88,1384
