epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790186253559,775.984375,764.328125,11.828125,2006802432,2063515648,2024615936,109,1432
1790186254769,794.296875,781.53125,12.765625,2009669632,2068537344,2024615936,109,1431
1790186255794,810.140625,796.796875,13.34375,2126790656,2190704640,2154274816,108,1427
1790186256802,822.953125,809.46875,13.484375,2120646656,2182782976,2154274816,104,1415
1790186257810,833.765625,820.15625,13.609375,2120855552,2182586368,2154274816,101,1406
1790186258816,841.71875,828,13.71875,1896349696,1963712512,2154274816,102,1409
1790186259821,850.09375,836.3125,13.78125,1906774016,1973620736,2154274816,102,1409
1790186260826,859.328125,845.453125,13.875,1930448896,1997488128,2154274816,100,1403
1790186261833,870.734375,856.734375,14,1938264064,2043863040,2154274816,102,1409
1790186262848,880.4375,866.34375,14.09375,1945096192,2046160896,2154274816,101,1406
1790186263853,891,876.796875,14.203125,1945628672,2044952576,2154274816,100,1403
1790186264867,902.84375,888.53125,14.3125,1947856896,2045550592,2154274816,100,1403
1790186265872,910.234375,895.78125,14.453125,1948319744,2045612032,2154274816,100,1403
1790186266892,918.234375,903.6875,14.546875,1948741632,2045710336,2154274816,100,1403
1790186267897,929.453125,914.828125,14.625,1950560256,2046242816,2154274816,102,1409
1790186268906,941.703125,926.890625,14.8125,1950834688,2046152704,2154274816,99,1401
1790186269911,950.109375,935.171875,14.9375,1955414016,2051690496,2154274816,100,1404
1790186270920,957.40625,942.34375,15.0625,1957552128,2051727360,2154274816,99,1400
1790186271925,963.390625,948.265625,15.125,1966235648,2055884800,2154274816,99,1400
1790186272927,968.953125,953.71875,15.234375,1977819136,2066710528,2154274816,101,1406
1790186273953,979.484375,964.109375,15.375,2028806144,2102452224,2154274816,102,1410
1790186274960,993.296875,977.703125,15.59375,2062606336,2123218944,2154274816,99,1400
1790186275963,1006.15625,990.359375,15.796875,2070425600,2130952192,2154274816,98,1397
1790186276979,1016.1875,1000.328125,15.859375,2065764352,2126209024,2154274816,98,1397
1790186277995,1022.75,1006.796875,15.953125,2065805312,2126209024,2154274816,98,1397
1790186279003,1025.734375,1009.734375,16,2059538432,2119483392,2154274816,98,1397
1790186280006,1029.609375,1013.5625,16.046875,2068946944,2128879616,2154274816,98,1397
1790186281013,1038.734375,1022.609375,16.125,2062700544,2122616832,2154274816,98,1397
1790186282031,1051.046875,1034.84375,16.203125,2062852096,2122743808,2154274816,100,1403
1790186283040,1061.109375,1044.78125,16.328125,2062979072,2122747904,2154274816,100,1403
1790186284047,1070.0625,1053.640625,16.421875,2058485760,2118057984,2154274816,98,1398
1790186285064,1074.171875,1057.6875,16.484375,2058489856,2118057984,2154274816,98,1398
1790186286078,1075.890625,1059.34375,16.546875,2058489856,2118057984,2154274816,98,1398
1790186287084,1078.890625,1062.328125,16.5625,2058555392,2118057984,2154274816,98,1398
1790186288107,1089.53125,1072.890625,16.640625,2058633216,2119118848,2154274816,98,1398
1790186289127,1101.8125,1085.03125,16.78125,2058801152,2118062080,2154274816,98,1397
1790186290132,1112,1095.140625,16.859375,2059005952,2118062080,2154274816,98,1397
1790186291134,1117.53125,1100.578125,16.953125,2059112448,2118201344,2154274816,100,1403
1790186292144,1120.984375,1103.953125,17.03125,2059042816,2118062080,2154274816,98,1398
1790186293151,1123.375,1106.3125,17.0625,2059108352,2118062080,2154274816,98,1397
1790186294155,1126.8125,1109.703125,17.109375,2059055104,2117980160,2154274816,97,1394
1790186295166,1138.171875,1120.921875,17.25,2057969664,2116886528,2154274816,97,1394
1790186296190,1150.46875,1133.125,17.34375,2057973760,2116886528,2154274816,97,1395
1790186297196,1161.25,1143.796875,17.453125,2058063872,2116886528,2154274816,97,1394
1790186298201,1168.828125,1151.265625,17.5625,2058067968,2116853760,2154274816,96,1390
1790186299221,1172.53125,1154.921875,17.609375,2058072064,2116853760,2154274816,96,1390
1790186300229,1173.6875,1156.046875,17.640625,2057986048,2116739072,2154274816,95,1387
1790186301240,1176.546875,1158.859375,17.6875,2057986048,2116739072,2154274816,95,1387
1790186302251,1184.625,1166.84375,17.78125,2057990144,2116739072,2154274816,95,1387
1790186303255,1191.921875,1174,17.921875,2058059776,2116739072,2154274816,95,1387
1790186304259,1197.28125,1179.265625,18.015625,2058014720,2116661248,2154274816,94,1384
1790186305266,1202.53125,1184.453125,18.078125,2058104832,2116677632,2154274816,94,1384
1790186306272,1206.625,1188.515625,18.109375,2058108928,2116677632,2154274816,94,1384
1790186307272,1208.953125,1190.75,18.203125,2058067968,2116608000,2154274816,92,1380
1790186308280,1211.921875,1193.65625,18.265625,2058039296,2116509696,2154274816,91,1377
1790186309284,1217.359375,1199.046875,18.3125,2058272768,2116882432,2154274816,97,1395
1790186310289,1220.296875,1201.953125,18.34375,2058113024,2116567040,2154274816,92,1381
1790186311299,1221.34375,1202.96875,18.375,2058088448,2116509696,2154274816,91,1377
1790186312303,1221.765625,1203.359375,18.40625,2058113024,2116509696,2154274816,91,1377
