epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790213584944,418.71875,405.046875,13.671875,2539782144,2597277696,2621599744,110,1438
1790213585955,420.046875,406.203125,13.84375,2541973504,2599002112,2621599744,110,1439
1790213586961,420.453125,406.40625,14.046875,2541846528,2598686720,2621599744,104,1420
1790213587979,422.375,408.109375,14.265625,2569625600,2627874816,2621599744,110,1438
1790213588994,427.015625,412.5,14.515625,2609999872,2670772224,2686631936,107,1430
1790213590006,427.09375,412.53125,14.5625,2459729920,2543304704,2686631936,103,1417
1790213591014,427.171875,412.578125,14.59375,2462085120,2545664000,2686631936,101,1412
1790213592026,427.3125,412.703125,14.609375,2486267904,2564083712,2686631936,101,1412
1790213593038,430.21875,415.390625,14.828125,2586071040,2646183936,2686631936,105,1424
1790213594049,430.328125,415.46875,14.859375,2574958592,2633920512,2686631936,100,1409
1790213595054,430.53125,415.578125,14.953125,2569760768,2628681728,2686631936,103,1419
1790213596064,430.609375,415.609375,15,2569723904,2628493312,2686631936,100,1408
1790213597073,432.53125,417.28125,15.25,2589958144,2649837568,2686631936,107,1429
1790213598087,433.90625,418.59375,15.3125,2588119040,2646380544,2686631936,105,1423
1790213599099,433.96875,418.625,15.34375,2588008448,2646212608,2686631936,103,1417
1790213600111,434.0625,418.671875,15.390625,2572591104,2630488064,2686631936,102,1415
1790213601124,434.109375,418.6875,15.421875,2572521472,2630356992,2686631936,100,1408
1790213602131,435.59375,419.921875,15.671875,2573766656,2631356416,2686631936,102,1417
1790213603149,435.65625,419.953125,15.703125,2573758464,2631286784,2686631936,100,1409
1790213604159,435.71875,420,15.71875,2573762560,2631286784,2686631936,100,1409
1790213605170,435.796875,420.03125,15.765625,2572935168,2630426624,2686631936,101,1412
1790213606173,436.515625,420.640625,15.875,2574274560,2631585792,2686631936,99,1408
1790213607187,436.578125,420.6875,15.890625,2574274560,2631585792,2686631936,99,1408
1790213608201,436.609375,420.703125,15.90625,2574274560,2631585792,2686631936,99,1408
1790213609212,436.640625,420.703125,15.9375,2574274560,2631585792,2686631936,99,1408
1790213610221,437.1875,421.140625,16.046875,2574622720,2631909376,2686631936,100,1410
1790213611232,437.21875,421.140625,16.078125,2574651392,2631905280,2686631936,99,1405
1790213612238,437.265625,421.140625,16.125,2574651392,2631905280,2686631936,99,1405
1790213613259,437.296875,421.140625,16.15625,2574651392,2631905280,2686631936,99,1405
1790213614265,437.859375,421.65625,16.203125,2574925824,2632249344,2686631936,102,1414
1790213615276,437.921875,421.671875,16.25,2574958592,2632282112,2686631936,102,1416
1790213616282,437.96875,421.671875,16.296875,2574938112,2632171520,2686631936,99,1405
1790213617297,438,421.6875,16.3125,2574938112,2632171520,2686631936,99,1405
1790213618300,438.234375,421.890625,16.34375,2575040512,2632237056,2686631936,99,1405
1790213619309,438.25,421.890625,16.359375,2575040512,2632237056,2686631936,99,1405
1790213620314,438.25,421.890625,16.359375,2575073280,2632302592,2686631936,100,1408
1790213621320,438.546875,422.15625,16.390625,2575257600,2632503296,2686631936,101,1411
1790213622338,439.15625,422.703125,16.453125,2575319040,2632499200,2686631936,99,1406
1790213623351,439.34375,422.828125,16.515625,2575478784,2632708096,2686631936,101,1412
1790213624366,439.375,422.828125,16.546875,2575486976,2632687616,2686631936,100,1409
1790213625379,439.4375,422.84375,16.59375,2575478784,2632617984,2686631936,98,1403
1790213626391,439.875,423.25,16.625,2575564800,2632822784,2686631936,100,1409
1790213627400,439.921875,423.25,16.671875,2575495168,2632687616,2686631936,98,1402
1790213628409,439.953125,423.265625,16.6875,2575495168,2632687616,2686631936,98,1402
1790213629422,440.015625,423.296875,16.71875,2575503360,2632654848,2686631936,97,1398
1790213630433,440.125,423.359375,16.765625,2575613952,2632720384,2686631936,97,1400
1790213631442,440.171875,423.390625,16.78125,2575613952,2632720384,2686631936,97,1400
1790213632460,440.234375,423.421875,16.8125,2575519744,2632597504,2686631936,96,1395
1790213633472,440.25,423.421875,16.828125,2575519744,2632597504,2686631936,96,1395
1790213634478,440.46875,423.609375,16.859375,2575519744,2632597504,2686631936,96,1395
1790213635487,440.484375,423.609375,16.875,2575585280,2632663040,2686631936,96,1395
1790213636492,440.515625,423.609375,16.90625,2575536128,2632585216,2686631936,95,1392
1790213637501,440.578125,423.625,16.953125,2575495168,2632515584,2686631936,93,1388
1790213638518,440.59375,423.625,16.96875,2575564800,2632581120,2686631936,93,1388
1790213639523,440.609375,423.640625,16.96875,2575564800,2632581120,2686631936,93,1388
1790213640526,440.71875,423.71875,17,2575507456,2632495104,2686631936,92,1385
1790213641533,440.75,423.71875,17.03125,2575507456,2632495104,2686631936,92,1385
1790213642549,440.828125,423.75,17.078125,2575507456,2632495104,2686631936,92,1385
1790213643552,440.859375,423.75,17.109375,2575507456,2632495104,2686631936,92,1385
1790213644559,440.953125,423.8125,17.140625,2575671296,2632691712,2686631936,93,1388
