epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790213734707,76.90625,68.890625,8.015625,1429315584,1500221440,1544232960,99,1402
1790213735721,78.328125,70.171875,8.15625,1449848832,1516179456,1544232960,97,1397
1790213736729,78.671875,70.359375,8.3125,1451028480,1517178880,1544232960,92,1383
1790213737738,78.765625,70.4375,8.328125,1451053056,1517178880,1544232960,92,1383
1790213738742,79.03125,70.640625,8.390625,1452056576,1518170112,1544232960,92,1382
1790213739755,79.09375,70.671875,8.421875,1369075712,1440215040,1544232960,92,1382
1790213740769,79.171875,70.71875,8.453125,1377259520,1449385984,1544232960,92,1382
1790213741782,79.28125,70.78125,8.5,1380134912,1451511808,1544232960,90,1377
1790213742792,79.3125,70.78125,8.53125,1380167680,1451544576,1544232960,90,1377
1790213743798,79.4375,70.84375,8.59375,1380143104,1451483136,1544232960,89,1373
1790213744823,79.71875,71.015625,8.703125,1382805504,1454125056,1544232960,93,1386
1790213745836,79.78125,71.03125,8.75,1382805504,1454125056,1544232960,93,1386
1790213746841,79.859375,71.078125,8.78125,1382821888,1454022656,1544232960,89,1375
1790213747852,79.875,71.09375,8.78125,1382830080,1454022656,1544232960,89,1375
1790213748863,79.921875,71.09375,8.828125,1382830080,1454022656,1544232960,89,1375
1790213749876,80.015625,71.171875,8.84375,1387139072,1457967104,1544232960,91,1381
1790213750884,80.09375,71.21875,8.875,1395572736,1465262080,1544232960,89,1374
1790213751885,80.265625,71.34375,8.921875,1395908608,1465552896,1544232960,89,1374
1790213752896,80.28125,71.34375,8.9375,1396273152,1465991168,1544232960,89,1374
1790213753908,80.328125,71.375,8.953125,1396764672,1466482688,1544232960,89,1374
1790213754921,80.578125,71.53125,9.046875,1408077824,1477046272,1544232960,98,1401
1790213755928,80.640625,71.5625,9.078125,1407758336,1476456448,1544232960,89,1373
1790213756940,80.65625,71.5625,9.09375,1407725568,1476489216,1544232960,88,1370
1790213757951,80.71875,71.5625,9.15625,1407729664,1476489216,1544232960,88,1370
1790213758958,80.75,71.5625,9.1875,1407729664,1476489216,1544232960,88,1370
1790213759969,80.796875,71.578125,9.21875,1407729664,1476489216,1544232960,88,1370
1790213760974,80.828125,71.578125,9.25,1407729664,1476489216,1544232960,88,1370
1790213761984,80.84375,71.578125,9.265625,1407729664,1476489216,1544232960,88,1370
1790213762988,80.875,71.578125,9.296875,1407729664,1476489216,1544232960,88,1370
1790213763998,80.890625,71.578125,9.3125,1408016384,1477070848,1544232960,98,1400
1790213765005,80.921875,71.578125,9.34375,1407934464,1476898816,1544232960,95,1392
1790213766012,81,71.609375,9.390625,1407729664,1476489216,1544232960,88,1370
1790213767023,81.03125,71.625,9.40625,1407729664,1476489216,1544232960,88,1370
1790213768034,81.046875,71.625,9.421875,1407729664,1476489216,1544232960,88,1370
1790213769042,81.078125,71.640625,9.4375,1407729664,1476489216,1544232960,88,1370
1790213770043,81.109375,71.65625,9.453125,1407729664,1476489216,1544232960,88,1370
1790213771051,81.34375,71.859375,9.484375,1415741440,1483980800,1544232960,90,1376
1790213772072,81.375,71.859375,9.515625,1415671808,1483853824,1544232960,88,1371
1790213773078,81.390625,71.875,9.515625,1415766016,1483976704,1544232960,89,1374
1790213774087,81.421875,71.890625,9.53125,1415790592,1484029952,1544232960,90,1377
1790213775099,81.671875,72.109375,9.5625,1425485824,1494175744,1544232960,91,1379
1790213776110,81.703125,72.109375,9.59375,1425354752,1493954560,1544232960,88,1371
1790213777119,81.75,72.109375,9.640625,1425354752,1493954560,1544232960,88,1371
1790213778131,81.765625,72.109375,9.65625,1425358848,1493954560,1544232960,88,1371
1790213779143,81.796875,72.125,9.671875,1425326080,1493868544,1544232960,86,1363
1790213780153,81.828125,72.125,9.703125,1425326080,1493868544,1544232960,86,1363
1790213781162,81.84375,72.125,9.71875,1425330176,1493868544,1544232960,86,1363
1790213782167,81.921875,72.15625,9.765625,1425276928,1493782528,1544232960,85,1360
1790213783176,81.9375,72.15625,9.78125,1425276928,1493782528,1544232960,85,1360
1790213784183,82,72.171875,9.828125,1425391616,1494016000,1544232960,89,1372
1790213785195,82.015625,72.171875,9.84375,1425518592,1493938176,1544232960,86,1363
1790213786200,82.046875,72.171875,9.875,1425436672,1493798912,1544232960,84,1357
1790213787213,82.109375,72.203125,9.90625,1425436672,1493798912,1544232960,84,1357
1790213788222,82.125,72.21875,9.90625,1425395712,1493729280,1544232960,82,1353
1790213789227,82.15625,72.234375,9.921875,1425395712,1493729280,1544232960,82,1353
1790213790237,82.1875,72.25,9.9375,1425440768,1493729280,1544232960,82,1353
1790213791238,82.203125,72.25,9.953125,1425383424,1493643264,1544232960,81,1350
1790213792248,82.28125,72.296875,9.984375,1426698240,1494913024,1544232960,81,1350
1790213793252,82.3125,72.296875,10.015625,1426698240,1494913024,1544232960,81,1350
1790213794261,82.375,72.3125,10.0625,1426829312,1495072768,1544232960,82,1353
