epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790214133706,122.96875,114.65625,8.375,1580679168,1649373184,1689600000,94,1393
1790214134728,124.40625,115.84375,8.5625,1605816320,1665662976,1689600000,92,1384
1790214135739,124.65625,115.953125,8.703125,1607065600,1666326528,1689600000,88,1372
1790214136742,124.75,116.046875,8.703125,1607131136,1666326528,1689600000,88,1372
1790214137750,124.796875,116.0625,8.734375,1607544832,1666658304,1689600000,86,1366
1790214138761,124.828125,116.0625,8.765625,1607487488,1666543616,1689600000,84,1360
1790214139767,124.890625,116.09375,8.796875,1607479296,1666535424,1689600000,83,1360
1790214140768,125.046875,116.21875,8.828125,1607499776,1666588672,1689600000,84,1362
1790214141780,125.078125,116.21875,8.859375,1607446528,1666473984,1689600000,82,1357
1790214142782,125.140625,116.25,8.890625,1607446528,1666473984,1689600000,82,1357
1790214143796,125.3125,116.328125,8.984375,1607737344,1666945024,1689600000,90,1381
1790214144806,125.40625,116.375,9.03125,1607639040,1666723840,1689600000,86,1371
1790214145813,125.46875,116.40625,9.0625,1607569408,1666535424,1689600000,83,1359
1790214146821,125.5,116.421875,9.078125,1607536640,1666473984,1689600000,82,1356
1790214147831,125.53125,116.4375,9.09375,1607536640,1666473984,1689600000,82,1356
1790214148839,125.5625,116.4375,9.125,1607536640,1666473984,1689600000,82,1356
1790214149851,125.640625,116.46875,9.171875,1607536640,1666473984,1689600000,82,1357
1790214150859,125.671875,116.46875,9.203125,1607536640,1666473984,1689600000,82,1357
1790214151872,125.703125,116.46875,9.234375,1607536640,1666473984,1689600000,82,1357
1790214152886,125.765625,116.484375,9.28125,1607536640,1666473984,1689600000,82,1357
1790214153901,125.84375,116.53125,9.3125,1607745536,1666887680,1689600000,89,1378
1790214154904,125.953125,116.578125,9.375,1607573504,1666539520,1689600000,83,1360
1790214155914,126.046875,116.625,9.421875,1607536640,1666473984,1689600000,82,1356
1790214156925,126.078125,116.625,9.453125,1607540736,1666473984,1689600000,82,1356
1790214157928,126.109375,116.625,9.484375,1607540736,1666473984,1689600000,82,1356
1790214158937,126.15625,116.640625,9.515625,1607540736,1666473984,1689600000,82,1356
1790214159949,126.1875,116.65625,9.53125,1607614464,1666609152,1689600000,84,1362
1790214160961,126.21875,116.65625,9.5625,1607614464,1666609152,1689600000,84,1362
1790214161973,126.25,116.65625,9.59375,1607614464,1666609152,1689600000,84,1362
1790214162983,126.265625,116.65625,9.609375,1607540736,1666473984,1689600000,82,1357
1790214163996,126.5,116.734375,9.765625,1607737344,1667252224,1689600000,90,1380
1790214164999,126.53125,116.734375,9.796875,1607458816,1666740224,1689600000,82,1358
1790214166008,126.546875,116.734375,9.8125,1607458816,1666740224,1689600000,82,1358
1790214167016,126.578125,116.734375,9.84375,1607413760,1666666496,1689600000,81,1353
1790214168028,126.625,116.75,9.875,1607413760,1666666496,1689600000,81,1353
1790214169040,126.65625,116.75,9.90625,1607413760,1666666496,1689600000,81,1353
1790214170053,126.828125,116.890625,9.9375,1607901184,1666797568,1689600000,83,1359
1790214171063,126.875,116.90625,9.96875,1607831552,1666666496,1689600000,81,1353
1790214172077,126.9375,116.9375,10,1608318976,1667182592,1689600000,82,1356
1790214173087,126.953125,116.9375,10.015625,1608286208,1667121152,1689600000,81,1353
1790214174101,126.984375,116.9375,10.046875,1608351744,1667248128,1689600000,83,1359
1790214175113,127.03125,116.953125,10.078125,1608286208,1667121152,1689600000,81,1354
1790214176122,127.046875,116.96875,10.078125,1608286208,1667121152,1689600000,81,1354
1790214177132,127.078125,116.984375,10.09375,1608286208,1667121152,1689600000,81,1354
1790214178144,127.109375,116.984375,10.125,1608286208,1667121152,1689600000,81,1354
1790214179152,127.140625,117,10.140625,1608286208,1667121152,1689600000,81,1354
1790214180160,127.171875,117,10.171875,1608286208,1667121152,1689600000,81,1354
1790214181169,127.203125,117.015625,10.1875,1608286208,1667121152,1689600000,81,1354
1790214182178,127.265625,117.046875,10.21875,1608286208,1667121152,1689600000,81,1354
1790214183185,127.296875,117.0625,10.234375,1608290304,1667121152,1689600000,81,1354
1790214184200,127.34375,117.078125,10.265625,1608290304,1667121152,1689600000,81,1354
1790214185208,127.359375,117.078125,10.28125,1608282112,1667096576,1689600000,80,1354
1790214186218,127.390625,117.078125,10.3125,1608282112,1667096576,1689600000,80,1354
1790214187234,127.4375,117.109375,10.328125,1608228864,1667014656,1689600000,79,1350
1790214188241,127.453125,117.109375,10.34375,1608228864,1667014656,1689600000,79,1350
1790214189248,127.5,117.125,10.375,1608155136,1666908160,1689600000,78,1347
1790214190253,127.5625,117.140625,10.421875,1608192000,1666973696,1689600000,79,1350
1790214191261,127.59375,117.15625,10.4375,1608155136,1666908160,1689600000,78,1347
1790214192272,127.625,117.15625,10.46875,1608155136,1666908160,1689600000,78,1347
1790214193280,127.65625,117.15625,10.5,1608171520,1666957312,1689600000,79,1350
