templates solved to tick 400 in 16.0 s (145 solves); through certified 0/20
| case | save | islands | capture ms | prepare ms | server thread ms | units encoded / reused / moved | topology encoded | island units MB | topology MB | IO write ms | pack MB written | core KB | files on disk MB | load ms | note |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 100 certified (100 certified, 10180 devices) | cold | 100 | 4.1 | 58.7 | 62.8 | 100 / 0 / 0 | yes | 3.92 | 0.57 | 18.6 | 4.49 | 21.7 | 4.50 | 48.5 | |
| 100 certified (100 certified, 10180 devices) | warm | 100 | 1.8 | 1.6 | 3.4 | 0 / 100 / 0 | no | 3.92 | 0.57 | 4.6 | 0.00 | 21.7 | 4.50 | 24.8 | |
| 100 certified (100 certified, 10180 devices) | next cadence | 100 | 9.4 | 0.8 | 10.3 | 0 / 100 / 0 | no | 3.92 | 0.57 | 5.6 | 0.00 | 21.7 | 4.50 | 21.7 | |
| 100 awake (0 certified, 11380 devices) | cold | 100 | 1.4 | 16.1 | 17.5 | 100 / 0 / 0 | yes | 2.53 | 0.64 | 9.6 | 3.17 | 21.4 | 3.17 | 22.3 | |
| 100 awake (0 certified, 11380 devices) | warm | 100 | 1.2 | 0.7 | 1.9 | 0 / 100 / 0 | no | 2.53 | 0.64 | 4.1 | 0.00 | 21.4 | 3.17 | 22.8 | |
| 100 awake (0 certified, 11380 devices) | next cadence | 100 | 1.1 | 6.9 | 8.0 | 100 / 0 / 1 | no | 3.18 | 0.64 | 11.8 | 3.81 | 21.4 | 6.98 | 25.0 | |
| 1000 certified (1000 certified, 101800 devices) | cold | 1000 | 12.7 | 132.6 | 145.4 | 1000 / 0 / 0 | yes | 39.21 | 5.70 | 48.7 | 44.91 | 145.0 | 44.95 | 230.4 | |
| 1000 certified (1000 certified, 101800 devices) | warm | 1000 | 11.8 | 2.7 | 14.5 | 0 / 1000 / 0 | no | 39.21 | 5.70 | 6.4 | 0.00 | 145.0 | 44.95 | 240.5 | |
| 1000 certified (1000 certified, 101800 devices) | next cadence | 1000 | 57.5 | 2.7 | 60.2 | 0 / 1000 / 0 | no | 39.21 | 5.70 | 9.7 | 0.00 | 145.0 | 44.95 | 228.4 | |
| 1000 awake (0 certified, 113800 devices) | cold | 1000 | 10.6 | 102.2 | 112.8 | 1000 / 0 / 0 | yes | 25.30 | 6.37 | 34.8 | 31.67 | 144.7 | 31.71 | 170.7 | |
| 1000 awake (0 certified, 113800 devices) | warm | 1000 | 11.3 | 1.6 | 12.9 | 0 / 1000 / 0 | no | 25.30 | 6.37 | 5.5 | 0.00 | 144.7 | 31.71 | 156.8 | |
| 1000 awake (0 certified, 113800 devices) | next cadence | 1000 | 11.0 | 67.2 | 78.2 | 1000 / 0 / 1 | no | 31.78 | 6.37 | 41.1 | 38.15 | 144.7 | 69.86 | 159.7 | |
