templates solved to tick 400 in 12.6 s (145 solves); through certified 0/20
| case | save | islands | capture ms | encode ms | tag copy ms | server thread ms | payloads encoded / copied | topology encoded | payload MB | topology MB | IO gzip+write ms | file MB | load ms | note |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 100 certified (100 certified, 10180 devices) | cold | 100 | 3.1 | 190.0 | 11.9 | 204.9 | 100 / 0 | yes | 16.27 | 8.70 | 459.2 | 5.30 | 806.1 | |
| 100 certified (100 certified, 10180 devices) | warm | 100 | 1.7 | 2.6 | 5.3 | 9.6 | 0 / 100 | no | 16.27 | 8.70 | 453.9 | 5.30 | 757.9 | |
| 100 certified (100 certified, 10180 devices) | next cadence | 100 | 9.0 | 3.3 | 7.9 | 20.1 | 0 / 100 | no | 16.27 | 8.70 | 480.1 | 5.30 | 802.0 | |
| 100 awake (0 certified, 11380 devices) | cold | 100 | 0.9 | 152.4 | 2.0 | 155.3 | 100 / 0 | yes | 12.64 | 9.72 | 328.4 | 3.92 | 786.8 | |
| 100 awake (0 certified, 11380 devices) | warm | 100 | 1.3 | 2.1 | 1.9 | 5.3 | 0 / 100 | no | 12.64 | 9.72 | 341.8 | 3.92 | 691.8 | |
| 100 awake (0 certified, 11380 devices) | next cadence | 100 | 1.1 | 109.1 | 1.9 | 112.0 | 100 / 0 | no | 14.59 | 9.72 | 386.6 | 4.66 | 743.8 | |
| 1000 certified (1000 certified, 101800 devices) | cold | - | - | - | - | - | - | - | - | - | - | - | - | refused: Fluid checkpoint exceeds the configured format bound |
| 1000 certified (1000 certified, 101800 devices) | warm | - | - | - | - | - | - | - | - | - | - | - | - | refused: Fluid checkpoint exceeds the configured format bound |
| 1000 certified (1000 certified, 101800 devices) | next cadence | - | - | - | - | - | - | - | - | - | - | - | - | refused: Fluid checkpoint exceeds the configured format bound |
| 1000 awake (0 certified, 113800 devices) | cold | - | - | - | - | - | - | - | - | - | - | - | - | refused: Fluid checkpoint exceeds the configured format bound |
| 1000 awake (0 certified, 113800 devices) | warm | - | - | - | - | - | - | - | - | - | - | - | - | refused: Fluid checkpoint exceeds the configured format bound |
| 1000 awake (0 certified, 113800 devices) | next cadence | - | - | - | - | - | - | - | - | - | - | - | - | refused: Fluid checkpoint exceeds the configured format bound |
