epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790170641347,195.40625,95.640625,99.78125,2040995840,2518990848,2077581312,133,1802
1790170642360,201.28125,99.734375,101.546875,2095800320,2570346496,2113359872,133,1802
1790170643367,204.84375,101.484375,103.359375,2101428224,2587209728,2113359872,129,1791
1790170644376,206.40625,101.953125,104.453125,2101583872,2587312128,2113359872,127,1784
1790170645383,208.03125,102.515625,105.515625,2101899264,2587688960,2113359872,127,1783
1790170646389,209.515625,102.90625,106.609375,1994072064,2480738304,2113359872,127,1784
1790170647402,211.046875,103.328125,107.71875,2019106816,2505875456,2113359872,127,1783
1790170648416,212.390625,103.703125,108.6875,2020192256,2501398528,2113359872,124,1774
1790170649426,213.578125,103.890625,109.6875,2020724736,2502025216,2113359872,124,1774
1790170650436,215.453125,104.6875,110.765625,2022682624,2506174464,2113359872,123,1771
1790170651451,217.171875,105.421875,111.75,2033733632,2517352448,2113359872,122,1768
1790170652463,218.40625,105.609375,112.796875,2034393088,2518007808,2113359872,122,1768
1790170653466,219.828125,105.953125,113.875,2040889344,2524635136,2113359872,122,1768
1790170654482,221.09375,106.125,114.96875,2041991168,2525671424,2113359872,123,1771
1790170655488,222.421875,106.359375,116.0625,2043019264,2527277056,2113359872,130,1792
1790170656503,223.875,106.78125,117.09375,2045325312,2529443840,2113359872,125,1777
1790170657512,225.28125,107.25,118.03125,2046930944,2530865152,2113359872,122,1768
1790170658523,226.5625,107.46875,119.09375,2047942656,2533150720,2113359872,122,1768
1790170659533,227.71875,107.640625,120.078125,2048131072,2532290560,2113359872,122,1768
1790170660546,228.96875,107.828125,121.140625,2048131072,2532290560,2113359872,122,1768
1790170661565,230.25,108.046875,122.203125,2049134592,2533269504,2113359872,124,1774
1790170662579,232.328125,109.09375,123.234375,2050318336,2535890944,2113359872,124,1774
1790170663592,233.625,109.46875,124.15625,2050273280,2535841792,2113359872,122,1768
1790170664603,234.96875,109.71875,125.25,2050527232,2535841792,2113359872,122,1768
1790170665616,236.1875,109.9375,126.25,2050527232,2535841792,2113359872,122,1768
1790170666626,237.46875,110.171875,127.296875,2050879488,2536169472,2113359872,123,1771
1790170667631,238.671875,110.4375,128.234375,2051174400,2536427520,2113359872,123,1771
1790170668644,239.90625,110.625,129.28125,2051551232,2536878080,2113359872,122,1768
1790170669653,241.234375,110.921875,130.3125,2051723264,2537320448,2113359872,124,1774
1790170670661,242.4375,111.15625,131.28125,2051907584,2537377792,2113359872,122,1768
1790170671673,243.578125,111.359375,132.21875,2051923968,2537508864,2113359872,122,1769
1790170672685,244.8125,111.578125,133.234375,2053246976,2538799104,2113359872,122,1768
1790170673692,246.03125,111.796875,134.234375,2053246976,2538799104,2113359872,122,1768
1790170674696,247.9375,112.640625,135.296875,2053312512,2538799104,2113359872,122,1768
1790170675711,249.1875,112.921875,136.265625,2053279744,2538618880,2113359872,121,1765
1790170676716,250.4375,113.15625,137.28125,2053373952,2538713088,2113359872,121,1765
1790170677726,251.671875,113.34375,138.328125,2053373952,2538713088,2113359872,121,1765
1790170678731,252.984375,113.640625,139.34375,2053361664,2538745856,2113359872,120,1765
1790170679742,254.1875,113.953125,140.234375,2053361664,2538745856,2113359872,120,1765
1790170680743,255.453125,114.1875,141.265625,2053316608,2538725376,2113359872,119,1762
1790170681754,256.8125,114.46875,142.34375,2053357568,2538831872,2113359872,120,1764
1790170682775,258.3125,114.890625,143.421875,2053423104,2539581440,2113359872,120,1765
1790170683777,259.46875,115.109375,144.359375,2053595136,2540593152,2113359872,125,1776
1790170684974,260.71875,115.296875,145.421875,2053513216,2540511232,2113359872,121,1767
1790170685990,261.8125,115.5,146.3125,2053468160,2540400640,2113359872,119,1760
1790170686993,263.703125,116.46875,147.234375,2054590464,2542342144,2113359872,122,1768
1790170687997,264.953125,116.6875,148.265625,2032918528,2516893696,2113359872,120,1762
1790170689017,266.265625,117.0625,149.203125,2033008640,2516893696,2113359872,120,1762
1790170690023,267.609375,117.359375,150.25,2033008640,2516893696,2113359872,120,1762
1790170691031,268.859375,117.609375,151.25,2033061888,2517008384,2113359872,121,1765
1790170692037,270.109375,117.796875,152.3125,2033274880,2516893696,2113359872,120,1762
1790170693044,271.421875,118.015625,153.40625,2033291264,2517024768,2113359872,120,1762
1790170694051,272.640625,118.234375,154.40625,2033364992,2517024768,2113359872,120,1762
1790170695059,273.84375,118.5,155.34375,2033369088,2517024768,2113359872,120,1762
1790170696067,275.03125,118.703125,156.328125,2033586176,2517024768,2113359872,120,1762
1790170697074,276.296875,118.90625,157.390625,2034057216,2517704704,2113359872,120,1762
1790170698093,277.609375,119.234375,158.375,2035654656,2517966848,2113359872,124,1788
1790170699111,279.9375,120.375,159.5625,2037702656,2518880256,2113359872,125,1791
1790170700113,281.40625,120.75,160.65625,2038571008,2519404544,2113359872,123,1785
1790170701117,282.953125,121.1875,161.765625,2039222272,2520023040,2113359872,123,1785
