epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790170818577,205.640625,108.46875,97.171875,2178314240,2673410048,2198024192,133,1805
1790170819592,211.453125,112.828125,98.625,2128105472,2629332992,2227662848,133,1806
1790170820606,215.421875,114.875,100.546875,2229944320,2731753472,2238590976,132,1802
1790170821623,217.203125,115.625,101.578125,2231431168,2733223936,2238590976,131,1799
1790170822637,218.75,116.1875,102.5625,2231660544,2733338624,2238590976,130,1796
1790170823653,220.484375,116.84375,103.640625,2231832576,2733301760,2238590976,127,1787
1790170824664,221.859375,117.1875,104.671875,2215743488,2717286400,2238590976,126,1784
1790170825670,223.25,117.65625,105.59375,2216300544,2717818880,2238590976,127,1789
1790170826684,224.65625,118.03125,106.625,2216480768,2717761536,2238590976,123,1777
1790170827699,226.125,118.40625,107.71875,2216968192,2717827072,2238590976,123,1777
1790170828718,227.46875,118.734375,108.734375,2217213952,2711318528,2238590976,125,1783
1790170829733,229.015625,119.140625,109.875,2217422848,2711531520,2238590976,123,1777
1790170830747,230.453125,119.484375,110.96875,2217426944,2711523328,2238590976,122,1774
1790170831768,231.859375,119.953125,111.90625,2217545728,2711715840,2238590976,123,1777
1790170832771,234.15625,121.234375,112.921875,2216435712,2711191552,2238590976,128,1792
1790170833782,235.625,121.65625,113.96875,2216525824,2711277568,2238590976,124,1781
1790170834795,237.140625,122.09375,115.046875,2216718336,2711846912,2238590976,128,1792
1790170835808,238.515625,122.4375,116.078125,2216570880,2711666688,2238590976,123,1778
1790170836809,240.125,123,117.125,2216611840,2711605248,2238590976,123,1777
1790170837828,241.5625,123.484375,118.078125,2216792064,2712109056,2238590976,126,1786
1790170838840,242.875,123.828125,119.046875,2216726528,2712064000,2238590976,123,1777
1790170839852,244.359375,124.234375,120.125,2216730624,2712133632,2238590976,122,1775
1790170840866,245.78125,124.578125,121.203125,2216730624,2712133632,2238590976,122,1775
1790170841872,247,124.734375,122.265625,2216767488,2712133632,2238590976,122,1775
1790170842892,248.234375,125.0625,123.171875,2216767488,2712133632,2238590976,122,1775
1790170843894,249.5,125.328125,124.171875,2216767488,2712133632,2238590976,122,1775
1790170844909,251,125.828125,125.171875,2216947712,2712330240,2238590976,123,1777
1790170845918,252.359375,126.171875,126.1875,2216919040,2712330240,2238590976,122,1774
1790170846931,254.53125,127.3125,127.21875,2217918464,2713321472,2238590976,122,1774
1790170847935,255.828125,127.6875,128.140625,2217996288,2713563136,2238590976,124,1780
1790170848942,257.078125,127.9375,129.140625,2217996288,2713563136,2238590976,124,1780
1790170849944,258.453125,128.234375,130.21875,2217992192,2713636864,2238590976,123,1777
1790170850947,259.703125,128.515625,131.1875,2218061824,2713636864,2238590976,123,1777
1790170851961,260.96875,128.890625,132.078125,2218037248,2713583616,2238590976,122,1774
1790170852963,262.25,129.140625,133.109375,2218037248,2713583616,2238590976,122,1774
1790170853972,263.5625,129.46875,134.09375,2218041344,2713583616,2238590976,122,1774
1790170854974,264.84375,129.734375,135.109375,2218139648,2713911296,2238590976,122,1774
1790170855975,266.21875,130.109375,136.109375,2218065920,2713800704,2238590976,121,1771
1790170856976,267.515625,130.375,137.140625,2218065920,2713800704,2238590976,121,1771
1790170857980,268.953125,130.75,138.203125,2218045440,2713763840,2238590976,120,1767
1790170858982,270.359375,131.171875,139.1875,2218045440,2713763840,2238590976,120,1767
1790170859998,271.703125,131.46875,140.234375,2218065920,2713808896,2238590976,119,1765
1790170861018,273.6875,132.46875,141.21875,2218119168,2713800704,2238590976,118,1761
1790170862024,274.984375,132.75,142.234375,2218119168,2713800704,2238590976,118,1761
1790170863031,276.28125,133.046875,143.234375,2218119168,2713800704,2238590976,118,1761
1790170864035,277.59375,133.34375,144.25,2218135552,2713800704,2238590976,118,1761
1790170865042,279.015625,133.71875,145.296875,2218184704,2713915392,2238590976,119,1764
1790170866046,280.28125,133.9375,146.34375,2213498880,2708357120,2238590976,117,1758
1790170867056,281.5,134.140625,147.359375,2213498880,2708357120,2238590976,117,1758
1790170868059,282.875,134.421875,148.453125,2213556224,2708357120,2238590976,117,1758
1790170869078,284.28125,134.8125,149.46875,2213560320,2708357120,2238590976,117,1758
1790170870083,285.5625,135.078125,150.484375,2213687296,2708586496,2238590976,116,1758
1790170871091,286.828125,135.296875,151.53125,2213691392,2708586496,2238590976,116,1758
1790170872109,288.140625,135.5625,152.578125,2213691392,2708586496,2238590976,116,1758
1790170873125,289.4375,135.828125,153.609375,2213691392,2708586496,2238590976,116,1758
1790170874130,290.609375,136.078125,154.53125,2213691392,2708586496,2238590976,116,1758
1790170875145,292.421875,136.703125,155.71875,2213826560,2708586496,2238590976,116,1758
1790170876160,293.984375,137.28125,156.703125,2213826560,2708586496,2238590976,116,1758
1790170877161,295.28125,137.59375,157.6875,2213826560,2708586496,2238590976,116,1758
1790170878163,296.640625,137.9375,158.703125,2213826560,2708586496,2238590976,116,1758
