epoch_ms,fps
1790171618234,0
1790171619730,3
1790171620735,84
1790171621785,120
1790171622789,119
1790171623834,120
1790171625687,23
1790171627399,64
1790171628435,7
1790171629438,120
1790171630485,119
1790171631486,120
1790171632532,120
1790171633930,43
1790171634933,63
1790171635936,111
1790171636985,115
1790171637987,120
1790171639021,120
1790171640034,95
1790171641054,98
1790171642091,91
1790171643126,108
1790171644139,112
1790171645215,112
1790171646234,115
1790171647238,116
1790171648283,117
1790171649283,117
1790171650288,116
1790171651337,120
1790171652385,119
1790171653432,119
1790171654437,119
1790171655484,119
1790171656534,119
1790171657538,120
1790171658585,119
1790171659588,120
1790171660634,120
1790171661682,119
1790171662687,119
1790171663734,120
1790171664782,119
1790171665783,119
1790171666786,119
1790171667834,119
1790171668840,120
1790171669888,119
1790171670933,120
1790171671982,119
1790171672985,119
1790171673989,120
1790171675036,119
1790171676039,120
1790171677085,119
1790171678089,120
1790171679138,119
1790171680185,119
1790171681188,120
1790171682189,120
1790171683231,119
1790171684235,120
1790171685283,119
1790171686289,119
1790171687335,120
1790171688381,119
1790171689387,119
1790171690433,120
1790171691438,119
1790171692485,119
1790171693490,120
1790171694535,119
1790171695539,120
1790171696586,119
1790171697634,119
1790171698640,120
1790171699662,72
1790171700688,38
1790171701736,98
1790171702740,94
1790171703791,71
1790171704833,87
1790171705839,119
1790171706886,117
1790171707935,118
1790171708939,118
1790171709988,117
1790171711035,118
1790171712082,119
1790171713087,119
1790171714135,120
1790171715182,118
1790171716189,118
1790171717238,120
1790171718239,118
1790171719289,117
1790171720336,116
1790171721340,119
1790171722388,119
1790171723438,120
1790171724485,119
1790171725485,117
1790171726489,120
1790171727538,119
1790171728584,119
1790171729589,120
1790171730635,119
1790171731639,120
1790171732687,119
1790171733735,119
1790171734735,120
1790171735738,118
1790171736738,118
1790171737784,116
1790171738784,120
1790171739791,119
1790171740836,119
1790171741840,120
1790171742885,119
1790171743936,120
1790171744943,119
1790171745986,119
1790171747034,120
1790171748083,119
1790171749084,119
1790171750089,104
1790171751095,118
1790171752139,82
1790171753186,51
1790171754235,116
1790171755235,119
1790171756240,119
1790171757286,119
1790171758333,120
1790171759335,118
1790171760339,119
1790171761386,115
1790171762386,101
1790171763387,98
1790171764436,119
1790171765437,116
1790171766485,117
1790171767486,119
1790171768487,109
1790171769534,119
1790171770583,119
1790171771636,111
1790171772640,115
1790171773991,118
1790171775025,71
1790171776028,59
1790171777032,60
1790171778035,60
1790171779070,60
