epoch_ms,fps
1790171978541,13
1790171979878,13
1790171980881,27
1790171981881,120
1790171982924,119
1790171983928,119
1790171984932,120
1790171986412,120
1790171988151,67
1790171989182,120
1790171990228,119
1790171991231,120
1790171992277,119
1790171993280,120
1790171994708,48
1790171995724,55
1790171996727,118
1790171997775,109
1790171998780,119
1790171999814,120
1790172000814,79
1790172001849,68
1790172002884,73
1790172003928,113
1790172004928,107
1790172005931,111
1790172006979,106
1790172008028,119
1790172009029,108
1790172010029,117
1790172011077,117
1790172012078,118
1790172013080,119
1790172014128,116
1790172015129,117
1790172016130,113
1790172017130,115
1790172018179,119
1790172019227,119
1790172020227,119
1790172021227,119
1790172022275,120
1790172023281,119
1790172024330,119
1790172025382,119
1790172026425,119
1790172027431,120
1790172028432,119
1790172029479,119
1790172030482,120
1790172031528,119
1790172032532,120
1790172033578,119
1790172034625,120
1790172035630,119
1790172036677,120
1790172037680,119
1790172038728,120
1790172039733,119
1790172040777,119
1790172041782,120
1790172042826,120
1790172043832,119
1790172044879,120
1790172045927,119
1790172046931,119
1790172047976,120
1790172048981,119
1790172050026,120
1790172051032,119
1790172052081,120
1790172053129,119
1790172054130,101
1790172055178,119
1790172056183,120
1790172057230,119
1790172058232,119
1790172059243,91
1790172060282,81
1790172061290,96
1790172062518,87
1790172063615,67
1790172064630,87
1790172065678,112
1790172066726,118
1790172067729,118
1790172068730,118
1790172069777,119
1790172070829,119
1790172071878,119
1790172072883,119
1790172073930,119
1790172074932,119
1790172075932,119
1790172076979,118
1790172077981,119
1790172079028,119
1790172080034,118
1790172081080,120
1790172082083,119
1790172083129,119
1790172084176,119
1790172085182,119
1790172086182,120
1790172087228,119
1790172088276,119
1790172089284,120
1790172090330,119
1790172091378,119
1790172092425,120
1790172093432,119
1790172094476,119
1790172095476,120
1790172096481,119
1790172097527,119
1790172098527,120
1790172099533,120
1790172100581,119
1790172101625,120
1790172102627,119
1790172103630,120
1790172104675,120
1790172105679,119
1790172106726,120
1790172107730,119
1790172108732,120
1790172109777,119
1790172110780,120
1790172111826,120
1790172112829,119
1790172113833,120
1790172114879,119
1790172115927,120
1790172116932,119
1790172117978,120
1790172118981,119
1790172120082,120
1790172121129,107
1790172122132,101
1790172123180,119
1790172124183,120
1790172125227,119
1790172126232,111
1790172127278,119
1790172128278,116
1790172129282,120
1790172130410,118
1790172131430,66
1790172132433,60
1790172133470,59
1790172134472,60
1790172135475,60
