epoch_ms,fps
1790172154664,11
1790172156162,29
1790172157205,13
1790172158250,119
1790172159255,120
1790172160257,119
1790172161300,120
1790172162487,120
1790172163983,20
1790172165004,36
1790172166007,120
1790172167053,120
1790172168100,119
1790172169102,120
1790172170527,12
1790172171556,90
1790172172603,109
1790172173605,120
1790172174654,119
1790172175708,120
1790172176708,97
1790172177709,107
1790172178751,103
1790172179751,118
1790172180758,119
1790172181803,119
1790172182852,119
1790172183852,119
1790172184854,119
1790172185902,118
1790172186904,117
1790172187952,117
1790172188957,120
1790172190002,120
1790172191004,119
1790172192054,120
1790172193057,119
1790172194105,120
1790172195154,119
1790172196158,119
1790172197206,120
1790172198255,119
1790172199257,119
1790172200257,120
1790172201303,119
1790172202352,119
1790172203402,120
1790172204406,119
1790172205451,120
1790172206455,119
1790172207503,119
1790172208506,120
1790172209559,119
1790172210601,120
1790172211606,119
1790172212655,119
1790172213702,120
1790172214708,119
1790172215752,120
1790172216756,119
1790172217800,120
1790172218805,118
1790172219850,120
1790172220855,119
1790172221900,120
1790172222904,119
1790172223950,120
1790172224951,119
1790172225955,119
1790172227002,120
1790172228057,119
1790172229100,111
1790172230103,109
1790172231103,92
1790172232103,117
1790172233119,116
1790172234152,116
1790172235157,118
1790172236174,119
1790172237213,58
1790172238250,92
1790172239257,68
1790172240258,71
1790172241262,110
1790172242304,117
1790172243352,110
1790172244355,118
1790172245355,112
1790172246356,118
1790172247406,119
1790172248452,119
1790172249453,118
1790172250501,120
1790172251503,119
1790172252507,118
1790172253556,118
1790172254601,120
1790172255603,117
1790172256650,120
1790172257654,119
1790172258700,120
1790172259705,119
1790172260754,119
1790172261801,120
1790172262849,119
1790172263853,119
1790172264902,120
1790172265906,119
1790172266951,120
1790172267953,120
1790172268956,119
1790172269956,120
1790172271000,119
1790172272004,119
1790172273006,120
1790172274007,119
1790172275050,120
1790172276054,120
1790172277103,119
1790172278106,119
1790172279153,120
1790172280158,119
1790172281202,120
1790172282207,119
1790172283252,120
1790172284254,119
1790172285255,120
1790172286301,119
1790172287307,120
1790172288355,119
1790172289400,120
1790172290405,119
1790172291450,120
1790172292455,119
1790172293504,119
1790172294551,120
1790172295557,119
1790172296603,120
1790172297604,119
1790172298653,88
1790172299654,115
1790172300656,119
1790172301700,120
1790172302781,119
1790172303801,111
1790172304849,119
1790172305851,119
1790172306856,116
1790172307981,119
1790172308990,79
1790172309993,60
1790172310995,60
1790172311998,60
1790172313000,60
