epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790172237297,936.015625,827.875,108.34375,3321311232,3801178112,3349827584,145,1873
1790172238491,953.0625,842.796875,110.265625,3678105600,4162383872,3682070528,145,1872
1790172239507,967.796875,856.234375,111.5625,3686711296,4169617408,3695665152,145,1872
1790172240530,981.71875,868.703125,113.015625,3653185536,4140392448,3695665152,145,1872
1790172241537,995,880.3125,114.6875,3612893184,4106072064,3695665152,142,1864
1790172242564,1007.765625,891.765625,116,3418787840,3952988160,3695665152,139,1854
1790172243597,1020.53125,903.359375,117.171875,3455356928,3985682432,3695665152,138,1851
1790172244616,1033.390625,914.921875,118.46875,3459964928,3989495808,3695665152,140,1857
1790172245627,1046.484375,926.75,119.734375,3507011584,4027756544,3695665152,136,1847
1790172246644,1057.828125,936.859375,120.96875,3503423488,4042960896,3695665152,134,1839
1790172247646,1070.828125,948.640625,122.1875,3414028288,3913265152,3695665152,135,1842
1790172248660,1081.203125,957.875,123.328125,3422466048,3921891328,3695665152,133,1836
1790172249662,1094.328125,969.703125,124.625,3470675968,3968212992,3695665152,137,1848
1790172250680,1106.515625,980.46875,126.046875,3508477952,4007448576,3695665152,139,1854
1790172251687,1119.984375,992.59375,127.390625,3521191936,4017250304,3695665152,138,1851
1790172252703,1133.640625,1005.015625,128.625,3529707520,4025462784,3695665152,139,1854
1790172253718,1145.390625,1015.578125,129.8125,3532378112,4028239872,3695665152,138,1851
1790172254736,1153.71875,1022.796875,130.921875,3532480512,4028092416,3695665152,135,1842
1790172255743,1165.953125,1033.734375,132.21875,3548483584,4045627392,3695665152,137,1848
1790172256762,1178.265625,1044.765625,133.5,3545194496,4042084352,3695665152,133,1836
1790172257767,1189.203125,1054.515625,134.6875,3439685632,3935195136,3695665152,134,1839
1790172258783,1202.03125,1066.25,135.78125,3443732480,3939368960,3695665152,133,1836
1790172259797,1215.453125,1078.234375,137.21875,3447586816,3943276544,3695665152,135,1842
1790172260813,1226.890625,1088.640625,138.25,3454316544,3950514176,3695665152,135,1843
1790172261824,1232.59375,1093.34375,139.25,3472838656,3967832064,3695665152,133,1836
1790172262844,1239.65625,1099.25,140.40625,3474944000,3969814528,3695665152,133,1836
1790172263859,1247.90625,1106.421875,141.484375,3475873792,3970723840,3695665152,133,1836
1790172264862,1259.03125,1116.390625,142.640625,3486457856,3983495168,3695665152,135,1842
1790172265864,1265.140625,1121.359375,143.78125,3487490048,3984076800,3695665152,134,1840
1790172266868,1275.078125,1129.984375,145.09375,3487903744,3984396288,3695665152,133,1836
1790172267870,1282.6875,1136.5,146.1875,3488333824,3984756736,3695665152,133,1836
1790172268885,1285.96875,1138.703125,147.265625,3491004416,3980496896,3695665152,133,1836
1790172269898,1289.921875,1141.640625,148.28125,3491201024,3980693504,3695665152,133,1836
1790172270912,1296.734375,1147.4375,149.296875,3491397632,3980824576,3695665152,133,1836
1790172271912,1301.8125,1151.46875,150.34375,3493732352,3982696448,3695665152,133,1836
1790172272926,1306.546875,1155.109375,151.4375,3493670912,3982651392,3695665152,132,1833
1790172273927,1310.5625,1158.140625,152.421875,3494490112,3983400960,3695665152,132,1833
1790172274931,1314.046875,1160.671875,153.375,3494391808,3983327232,3695665152,131,1830
1790172275934,1315.890625,1161.5625,154.328125,3497127936,3985977344,3695665152,130,1830
1790172276953,1319.828125,1164.40625,155.421875,3498897408,3987668992,3695665152,129,1827
1790172277968,1323.359375,1166.8125,156.546875,3522338816,4011474944,3695665152,129,1827
1790172278985,1325.171875,1167.578125,157.59375,3522519040,4010848256,3695665152,129,1827
1790172280001,1328.09375,1169.609375,158.484375,3522523136,4010848256,3695665152,129,1827
1790172281018,1330.375,1170.828125,159.546875,3522609152,4010913792,3695665152,129,1827
1790172282020,1331.96875,1171.40625,160.5625,3522781184,4011098112,3695665152,130,1830
1790172283022,1334.734375,1173.1875,161.546875,3522764800,4011048960,3695665152,129,1827
1790172284024,1338.328125,1175.703125,162.625,3529621504,4017872896,3695665152,129,1828
1790172285029,1340.5,1176.84375,163.65625,3527311360,4015558656,3695665152,129,1827
1790172286044,1342.484375,1177.828125,164.65625,3527520256,4015882240,3695665152,131,1833
1790172287062,1344.0625,1178.5,165.5625,3527598080,4015845376,3695665152,129,1827
1790172288067,1345.328125,1178.828125,166.5,3529064448,4017442816,3695665152,129,1827
1790172289068,1347.109375,1179.625,167.484375,3533733888,4021342208,3695665152,129,1827
1790172290075,1348.765625,1180.25,168.515625,3533758464,4021407744,3695665152,129,1827
1790172291089,1350.203125,1180.734375,169.46875,3535945728,4023758848,3695665152,129,1827
1790172292090,1351.71875,1181.25,170.46875,3536404480,4023996416,3695665152,128,1824
1790172293111,1352.96875,1181.59375,171.375,3536445440,4023996416,3695665152,128,1824
1790172294115,1354.59375,1182.15625,172.4375,3536465920,4023996416,3695665152,128,1824
1790172295130,1356.3125,1182.921875,173.390625,3536465920,4023996416,3695665152,128,1824
1790172296135,1357.59375,1183.28125,174.3125,3536625664,4024328192,3695665152,128,1824
