epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790171170772,214.75,117.5625,97.1875,2223771648,2695811072,2246184960,145,1873
1790171171788,221.296875,122.671875,98.625,2256662528,2730299392,2279612416,145,1873
1790171172803,225.046875,124.71875,100.328125,2127417344,2622885888,2279612416,144,1869
1790171173810,227.046875,125.53125,101.515625,2169491456,2664153088,2279612416,141,1860
1790171174827,231.78125,129,102.78125,2228367360,2718539776,2279612416,143,1866
1790171175844,233.296875,129.46875,103.828125,2221789184,2711351296,2279612416,138,1852
1790171176849,234.71875,129.828125,104.890625,2222952448,2712707072,2279612416,138,1851
1790171177864,236.265625,130.375,105.890625,2222698496,2712330240,2279612416,137,1848
1790171178879,239.421875,132.171875,107.25,2247503872,2736168960,2279612416,144,1869
1790171179881,241.46875,133.125,108.34375,2247786496,2735124480,2279612416,136,1845
1790171180887,243.09375,133.578125,109.515625,2246815744,2734346240,2279612416,135,1842
1790171181904,244.953125,134.484375,110.46875,2246995968,2734485504,2279612416,136,1845
1790171182922,246.609375,135.21875,111.390625,2237550592,2725007360,2279612416,133,1836
1790171183925,250.234375,137.65625,112.578125,2281881600,2770145280,2309849088,136,1845
1790171184927,251.71875,138.140625,113.578125,2282397696,2771476480,2309849088,143,1870
1790171185929,253.15625,138.515625,114.640625,2282233856,2771189760,2309849088,135,1843
1790171186932,254.453125,138.953125,115.5,2282303488,2771263488,2309849088,135,1842
1790171187938,256.421875,139.84375,116.578125,2221604864,2723119104,2309849088,137,1848
1790171188942,258,140.375,117.625,2237566976,2725462016,2309849088,133,1836
1790171189951,259.21875,140.546875,118.671875,2237566976,2725462016,2309849088,133,1836
1790171190969,260.5,140.828125,119.671875,2238103552,2726060032,2309849088,134,1839
1790171191974,261.734375,141.046875,120.6875,2238345216,2726375424,2309849088,133,1836
1790171192978,263.640625,141.859375,121.78125,2130235392,2615410688,2309849088,133,1836
1790171193982,265.34375,142.578125,122.765625,2155319296,2647457792,2309849088,133,1836
1790171194999,266.625,142.765625,123.859375,2156773376,2648776704,2309849088,133,1836
1790171196017,267.9375,143.203125,124.734375,2160209920,2651500544,2309849088,134,1839
1790171197019,269.234375,143.578125,125.65625,2165420032,2656219136,2309849088,134,1839
1790171198034,270.640625,143.9375,126.703125,2181459968,2671480832,2309849088,134,1839
1790171199038,271.984375,144.21875,127.765625,2182279168,2672148480,2309849088,133,1836
1790171200048,273.203125,144.625,128.578125,2182279168,2672148480,2309849088,133,1836
1790171201058,274.6875,145.03125,129.65625,2186371072,2676092928,2309849088,135,1842
1790171202065,276.1875,145.453125,130.734375,2195226624,2682826752,2309849088,133,1837
1790171203068,277.53125,145.765625,131.765625,2195226624,2682826752,2309849088,133,1837
1790171204075,278.875,146.015625,132.859375,2195324928,2682826752,2309849088,133,1837
1790171205090,280.09375,146.25,133.84375,2195324928,2682826752,2309849088,133,1837
1790171206103,282.296875,147.4375,134.859375,2200096768,2687844352,2309849088,133,1837
1790171207105,283.609375,147.703125,135.90625,2201141248,2688520192,2309849088,133,1837
1790171208114,284.84375,147.96875,136.875,2201059328,2688413696,2309849088,132,1833
1790171209126,286.25,148.3125,137.9375,2201059328,2688413696,2309849088,132,1833
1790171210133,287.609375,148.59375,139.015625,2203185152,2689687552,2309849088,132,1833
1790171211136,288.875,148.9375,139.9375,2203521024,2689851392,2309849088,131,1833
1790171212157,290.1875,149.234375,140.953125,2203492352,2689966080,2309849088,130,1830
1790171213161,291.53125,149.5625,141.96875,2203586560,2690084864,2309849088,129,1827
1790171214161,293.390625,150.3125,143.078125,2220433408,2705915904,2309849088,129,1827
1790171215163,294.71875,150.671875,144.046875,2220552192,2706038784,2309849088,129,1827
1790171216178,295.9375,150.953125,144.984375,2221072384,2706554880,2309849088,129,1827
1790171217192,297.359375,151.296875,146.0625,2221297664,2706804736,2309849088,130,1833
1790171218204,299.46875,152.375,147.09375,2222116864,2707685376,2309849088,130,1830
1790171219208,300.734375,152.5625,148.171875,2222116864,2707685376,2309849088,130,1830
1790171220209,302,152.84375,149.15625,2222071808,2707750912,2309849088,130,1830
1790171221223,303.328125,153.078125,150.25,2222047232,2707693568,2309849088,129,1827
1790171222234,304.84375,153.53125,151.3125,2222469120,2708168704,2309849088,129,1827
1790171223250,306.125,153.796875,152.328125,2222473216,2708328448,2309849088,129,1827
1790171224255,307.375,154.046875,153.328125,2222473216,2708328448,2309849088,129,1827
1790171225269,308.640625,154.265625,154.375,2222948352,2708328448,2309849088,129,1827
1790171226271,309.96875,154.5625,155.40625,2223181824,2708553728,2309849088,129,1827
1790171227286,311.25,154.890625,156.359375,2222612480,2707677184,2309849088,128,1824
1790171228286,312.515625,155.15625,157.359375,2223161344,2708066304,2309849088,128,1824
1790171229287,313.765625,155.4375,158.328125,2223161344,2708066304,2309849088,128,1824
1790171230292,316.234375,156.828125,159.40625,2223951872,2708668416,2309849088,128,1824
