epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790170995073,211.96875,115.5625,96.40625,2233888768,2710286336,2290024448,135,1841
1790170996081,218.765625,120.9375,97.828125,2242326528,2717401088,2290024448,135,1841
1790170997081,222.96875,123.375,99.59375,2178510848,2675310592,2290024448,134,1838
1790170998093,224.78125,124.15625,100.625,2190245888,2684899328,2290024448,129,1823
1790170999099,226.359375,124.671875,101.6875,2197721088,2689302528,2290024448,129,1823
1790171000100,227.921875,125.28125,102.640625,2199007232,2690605056,2290024448,129,1823
1790171001114,229.375,125.6875,103.6875,2200137728,2691391488,2290024448,127,1817
1790171002128,230.828125,126.140625,104.6875,2150547456,2651635712,2290024448,128,1820
1790171003129,232.109375,126.46875,105.640625,2164985856,2664325120,2290024448,127,1817
1790171004131,233.640625,127.015625,106.625,2177601536,2677198848,2290024448,127,1817
1790171005137,235.046875,127.34375,107.703125,2187399168,2686140416,2290024448,127,1817
1790171006152,236.5,127.765625,108.734375,2190905344,2689966080,2290024448,126,1816
1790171007165,238.640625,128.9375,109.703125,2195263488,2696286208,2290024448,123,1807
1790171008167,239.984375,129.28125,110.703125,2195288064,2696286208,2290024448,123,1807
1790171009168,241.46875,129.703125,111.765625,2197741568,2693578752,2290024448,133,1838
1790171010172,242.765625,129.953125,112.8125,2198376448,2693746688,2290024448,126,1816
1790171011190,244.34375,130.4375,113.90625,2203082752,2697814016,2290024448,125,1814
1790171012195,245.65625,130.71875,114.9375,2204696576,2698735616,2290024448,123,1807
1790171013198,246.9375,130.921875,116.015625,2206457856,2700746752,2290024448,124,1810
1790171014207,248.15625,131.15625,117,2206449664,2700681216,2290024448,123,1807
1790171015211,249.40625,131.390625,118.015625,2207219712,2701848576,2290024448,127,1821
1790171016218,250.625,131.6875,118.9375,2207170560,2701815808,2290024448,123,1807
1790171017222,251.859375,131.96875,119.890625,2207174656,2701815808,2290024448,123,1807
1790171018225,253.171875,132.296875,120.875,2207182848,2701881344,2290024448,123,1807
1790171019239,254.4375,132.6875,121.75,2207297536,2702077952,2290024448,123,1807
1790171020254,255.734375,132.9375,122.796875,2207420416,2702176256,2290024448,123,1807
1790171021256,256.953125,133.25,123.703125,2207895552,2702557184,2290024448,123,1807
1790171022270,258.796875,134.109375,124.6875,2207916032,2702876672,2290024448,123,1807
1790171023272,260.015625,134.34375,125.671875,2207920128,2702876672,2290024448,123,1807
1790171024272,261.1875,134.546875,126.640625,2207916032,2702876672,2290024448,123,1807
1790171025277,262.5,134.890625,127.609375,2208677888,2702417920,2290024448,124,1811
1790171026288,263.75,135.109375,128.640625,2208894976,2702712832,2290024448,123,1807
1790171027293,265.109375,135.390625,129.71875,2209001472,2702712832,2290024448,123,1807
1790171028298,266.296875,135.609375,130.6875,2209005568,2702712832,2290024448,123,1807
1790171029300,267.484375,135.8125,131.671875,2209005568,2702712832,2290024448,123,1807
1790171030307,268.75,136.0625,132.6875,2209005568,2702712832,2290024448,123,1807
1790171031313,269.9375,136.21875,133.71875,2209005568,2702712832,2290024448,123,1807
1790171032322,271.140625,136.40625,134.734375,2209292288,2702598144,2290024448,122,1804
1790171033326,272.453125,136.734375,135.71875,2209386496,2702692352,2290024448,122,1804
1790171034339,273.71875,137.03125,136.6875,2209538048,2702692352,2290024448,122,1804
1790171035344,274.90625,137.3125,137.59375,2209792000,2702880768,2290024448,121,1800
1790171036362,276.328125,137.75,138.578125,2211008512,2704588800,2290024448,120,1797
1790171037370,278.25,138.6875,139.5625,2210959360,2704510976,2290024448,119,1794
1790171038370,279.671875,139.03125,140.640625,2210959360,2704510976,2290024448,119,1794
1790171039371,280.96875,139.375,141.59375,2211475456,2704670720,2290024448,119,1794
1790171040386,282.3125,139.609375,142.703125,2211475456,2704670720,2290024448,119,1794
1790171041389,283.59375,139.875,143.71875,2211508224,2704785408,2290024448,120,1797
1790171042407,284.796875,140.0625,144.734375,2211487744,2704736256,2290024448,119,1794
1790171043423,286.125,140.34375,145.78125,2211487744,2704736256,2290024448,119,1794
1790171044437,287.40625,140.5625,146.84375,2211487744,2704736256,2290024448,119,1794
1790171045448,288.875,140.921875,147.953125,2211557376,2704736256,2290024448,119,1794
1790171046448,290.0625,141.1875,148.875,2211561472,2704900096,2290024448,118,1794
1790171047460,291.40625,141.53125,149.875,2212335616,2705223680,2290024448,118,1794
1790171048464,292.671875,141.6875,150.984375,2212429824,2705317888,2290024448,118,1794
1790171049466,293.953125,141.984375,151.96875,2214334464,2706706432,2290024448,118,1794
1790171050481,295.359375,142.328125,153.03125,2214400000,2706771968,2290024448,118,1794
1790171051494,296.6875,142.671875,154.015625,2213937152,2705883136,2290024448,117,1791
1790171052504,298.796875,143.796875,155,2214391808,2706108416,2290024448,117,1791
1790171053509,300.078125,144.03125,156.046875,2214391808,2706108416,2290024448,117,1791
1790171054515,301.453125,144.484375,156.96875,2214486016,2706202624,2290024448,117,1791
