epoch_ms,fps
1790172559113,12
1790172560437,12
1790172561476,31
1790172562483,120
1790172563527,119
1790172564529,119
1790172565532,120
1790172566978,22
1790172568469,38
1790172569482,35
1790172570527,120
1790172571532,119
1790172572580,120
1790172573626,119
1790172575053,17
1790172576080,84
1790172577083,118
1790172578083,119
1790172579130,120
1790172580178,119
1790172581180,119
1790172582184,120
1790172583229,119
1790172584232,119
1790172585277,120
1790172586279,119
1790172587284,119
1790172588331,119
1790172589334,120
1790172590381,120
1790172591427,119
1790172592433,120
1790172593481,119
1790172594483,119
1790172595528,120
1790172596577,119
1790172597579,120
1790172598584,119
1790172599628,120
1790172600634,119
1790172601682,118
1790172602685,119
1790172603729,120
1790172604734,119
1790172605779,119
1790172606783,120
1790172607828,119
1790172608833,120
1790172609876,120
1790172610884,119
1790172611930,119
1790172612934,120
1790172613981,119
1790172614984,120
1790172616030,119
1790172617077,120
1790172618081,119
1790172619084,120
1790172620130,119
1790172621132,120
1790172622176,120
1790172623182,119
1790172624229,120
1790172625234,119
1790172626282,97
1790172627328,119
1790172628331,119
1790172629377,120
1790172630384,119
1790172631428,112
1790172632431,115
1790172633479,120
1790172634483,119
1790172635532,120
1790172636581,119
1790172637627,119
1790172638630,119
1790172639677,119
1790172640677,119
1790172641681,120
1790172642684,119
1790172643733,120
1790172644779,119
1790172645785,120
1790172646831,119
1790172647877,119
1790172648881,120
1790172649927,119
1790172650932,120
1790172651980,119
1790172652983,120
1790172654029,119
1790172655077,120
1790172656082,119
1790172657130,120
1790172658133,119
1790172659179,119
1790172660184,120
1790172661230,119
1790172662280,119
1790172663284,120
1790172664332,119
1790172665381,120
1790172666429,119
1790172667433,119
1790172668478,120
1790172669483,119
1790172670530,119
1790172671530,120
1790172672577,119
1790172673581,119
1790172674630,120
1790172675634,119
1790172676681,120
1790172677727,119
1790172678733,119
1790172679779,119
1790172680783,120
1790172681829,119
1790172682832,120
1790172683834,120
1790172684882,119
1790172685929,119
1790172686932,120
1790172687977,119
1790172688977,119
1790172689978,105
1790172690983,119
1790172692029,118
1790172693078,120
1790172694081,118
1790172695084,120
1790172696132,119
1790172697181,119
1790172698182,120
1790172699227,119
1790172700232,119
1790172701279,120
1790172702327,119
1790172703332,119
1790172704380,120
1790172705384,119
1790172706431,119
1790172707480,120
1790172708484,119
1790172709533,119
1790172710579,120
1790172711583,119
1790172712584,120
1790172713633,120
1790172714680,119
1790172715685,119
1790172716732,120
1790172717781,119
1790172718784,120
1790172719831,119
1790172720880,119
1790172721928,120
1790172722934,119
1790172723981,119
1790172724981,119
1790172726029,119
1790172727033,120
1790172728081,119
1790172729081,119
1790172730128,119
1790172731178,120
1790172732181,119
1790172733228,120
1790172734233,119
1790172735283,119
1790172736329,120
1790172737377,119
1790172738384,119
1790172739431,119
1790172740434,120
1790172741479,120
1790172742484,119
1790172743528,120
1790172744533,119
1790172745584,120
1790172746629,119
1790172747634,119
1790172748678,120
1790172749728,118
1790172750828,98
1790172751828,111
1790172752833,117
1790172753879,119
1790172754882,120
1790172755882,111
1790172756884,118
1790172757929,119
1790172758933,116
1790172761107,119
1790172762141,59
1790172763175,60
1790172764181,59
1790172765184,60
1790172766186,60
