epoch_ms,fps
1790172332769,0
1790172334261,4
1790172335302,77
1790172336306,120
1790172337353,119
1790172338356,120
1790172340083,14
1790172341824,68
1790172342852,12
1790172343857,120
1790172344902,119
1790172345908,120
1790172346955,119
1790172348430,45
1790172349457,58
1790172350503,119
1790172351559,118
1790172352603,120
1790172353654,119
1790172354703,119
1790172355750,120
1790172356755,119
1790172357801,119
1790172358803,120
1790172359808,120
1790172360854,119
1790172361857,119
1790172362901,120
1790172363905,120
1790172364909,120
1790172365956,119
1790172367002,120
1790172368006,119
1790172369054,120
1790172370102,119
1790172371106,120
1790172372152,119
1790172373156,119
1790172374204,120
1790172375252,119
1790172376258,119
1790172377304,120
1790172378305,119
1790172379305,119
1790172380310,119
1790172381354,120
1790172382357,119
1790172383403,120
1790172384403,120
1790172385408,120
1790172386453,119
1790172387501,119
1790172388504,120
1790172389550,119
1790172390556,120
1790172391558,119
1790172392601,120
1790172393605,120
1790172394650,119
1790172395655,120
1790172396658,119
1790172397702,120
1790172398706,120
1790172399706,119
1790172400751,92
1790172401756,120
1790172402804,119
1790172403807,120
1790172404853,119
1790172405858,113
1790172406904,119
1790172407951,120
1790172408953,120
1790172409954,119
1790172410958,119
1790172412003,120
1790172413006,119
1790172414055,120
1790172415058,119
1790172416105,119
1790172417152,119
1790172418156,120
1790172419157,119
1790172420203,120
1790172421251,119
1790172422256,120
1790172423257,118
1790172424304,120
1790172425308,119
1790172426356,120
1790172427403,119
1790172428407,119
1790172429453,120
1790172430458,119
1790172431506,120
1790172432508,119
1790172433556,120
1790172434602,119
1790172435605,120
1790172436653,119
1790172437655,120
1790172438702,119
1790172439708,120
1790172440754,119
1790172441802,119
1790172442806,120
1790172443808,119
1790172444855,120
1790172445901,119
1790172446903,120
1790172447908,120
1790172448954,120
1790172450002,119
1790172451004,119
1790172452008,120
1790172453054,119
1790172454103,120
1790172455150,119
1790172456156,119
1790172457204,120
1790172458208,119
1790172459208,120
1790172460253,119
1790172461257,119
1790172462304,120
1790172463305,119
1790172464309,106
1790172465358,119
1790172466405,120
1790172467450,119
1790172468455,120
1790172469458,119
1790172470501,120
1790172471507,120
1790172472556,119
1790172473558,119
1790172474604,120
1790172475651,119
1790172476655,119
1790172477701,119
1790172478705,120
1790172479752,119
1790172480758,120
1790172481802,119
1790172482807,120
1790172483857,119
1790172484905,119
1790172485953,120
1790172486957,119
1790172488004,120
1790172489009,119
1790172490056,119
1790172491102,120
1790172492107,119
1790172493152,120
1790172494155,120
1790172495158,119
1790172496205,120
1790172497208,118
1790172498258,120
1790172499304,119
1790172500352,119
1790172501356,120
1790172502358,119
1790172503406,120
1790172504451,119
1790172505454,120
1790172506457,119
1790172507502,120
1790172508550,119
1790172509555,120
1790172510601,119
1790172511606,120
1790172512653,119
1790172513657,120
1790172514703,119
1790172515704,120
1790172516752,119
1790172517758,120
1790172518803,119
1790172519808,120
1790172520857,119
1790172521902,119
1790172522951,119
1790172523955,120
1790172524976,98
1790172526003,113
1790172527005,117
1790172528007,119
1790172529052,120
1790172530054,111
1790172531057,118
1790172532106,119
1790172533151,116
1790172535170,118
1790172536207,51
1790172537210,60
1790172538213,60
1790172539248,60
1790172540251,60
