epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790171346984,217.609375,119.78125,97.828125,2743242752,3210338304,2797252608,148,1898
1790171347998,224.375,125.125,99.25,2747109376,3214069760,2797252608,148,1898
1790171349005,228.9375,127.796875,101.140625,2679484416,3184062464,2797252608,144,1885
1790171350006,231.140625,128.90625,102.234375,2723418112,3218747392,2797252608,144,1885
1790171351021,237.3125,133.328125,103.984375,2800558080,3282477056,2806902784,148,1897
1790171352034,239.265625,134.15625,105.109375,2793230336,3274657792,2806902784,146,1891
1790171353039,240.921875,134.765625,106.15625,2793443328,3274813440,2806902784,143,1883
1790171354054,242.28125,135.109375,107.171875,2763513856,3244642304,2806902784,141,1876
1790171355058,247.265625,138.6875,108.578125,2850439168,3333779456,2859126784,147,1894
1790171356074,249.28125,139.703125,109.578125,2831990784,3313053696,2859126784,143,1882
1790171357091,250.546875,139.90625,110.640625,2831933440,3313025024,2859126784,140,1873
1790171358097,251.796875,140.265625,111.53125,2831958016,3313098752,2859126784,138,1868
1790171359099,253.375,140.734375,112.640625,2717036544,3217190912,2859126784,146,1891
1790171360110,257.640625,143.78125,113.859375,2827157504,3311198208,2859126784,144,1885
1790171361112,259,144.09375,114.90625,2826223616,3310477312,2859126784,143,1882
1790171362117,260.421875,144.5625,115.859375,2826231808,3310497792,2859126784,141,1877
1790171363119,261.65625,144.8125,116.84375,2826366976,3310694400,2859126784,140,1873
1790171364133,264.140625,146.109375,118.03125,2822344704,3306573824,2859126784,140,1873
1790171365147,265.34375,146.359375,118.984375,2822324224,3306418176,2859126784,138,1867
1790171366150,266.640625,146.59375,120.046875,2822295552,3306414080,2859126784,137,1864
1790171367169,267.890625,146.765625,121.125,2822344704,3306479616,2859126784,137,1864
1790171368187,269.625,147.421875,122.203125,2824130560,3308560384,2859126784,143,1882
1790171369205,271.28125,148.078125,123.203125,2778492928,3255226368,2859126784,137,1864
1790171370210,272.546875,148.34375,124.203125,2778791936,3255291904,2859126784,137,1864
1790171371211,273.8125,148.5625,125.25,2778791936,3255291904,2859126784,137,1864
1790171372225,275.03125,148.859375,126.171875,2778861568,3255414784,2859126784,138,1867
1790171373241,276.734375,149.40625,127.328125,2778972160,3255255040,2859126784,137,1873
1790171374255,277.875,149.578125,128.296875,2778841088,3255062528,2859126784,135,1867
1790171375270,279.21875,149.953125,129.265625,2778873856,3255009280,2859126784,134,1864
1790171376274,281.328125,151.078125,130.25,2778963968,3255271424,2859126784,136,1870
1790171377280,282.734375,151.40625,131.328125,2779209728,3255488512,2859126784,136,1870
1790171378286,283.921875,151.765625,132.15625,2779275264,3255549952,2859126784,134,1864
1790171379300,285.21875,152,133.21875,2779308032,3255672832,2859126784,135,1867
1790171380306,286.421875,152.1875,134.234375,2779308032,3255672832,2859126784,135,1867
1790171381308,287.953125,152.671875,135.28125,2779144192,3255640064,2859126784,137,1873
1790171382328,289.234375,152.96875,136.265625,2779021312,3255427072,2859126784,134,1864
1790171383331,290.46875,153.15625,137.3125,2779021312,3255427072,2859126784,134,1864
1790171384336,291.765625,153.375,138.390625,2778947584,3255316480,2859126784,133,1861
1790171385340,293.28125,153.984375,139.296875,2778963968,3255316480,2859126784,133,1861
1790171386352,294.484375,154.21875,140.265625,2778996736,3255439360,2859126784,134,1864
1790171387366,295.640625,154.375,141.265625,2779070464,3255619584,2859126784,133,1864
1790171388366,296.9375,154.6875,142.25,2779004928,3255664640,2859126784,131,1859
1790171389381,298.265625,155.078125,143.1875,2778963968,3255648256,2859126784,130,1855
1790171390389,299.46875,155.171875,144.296875,2779000832,3255648256,2859126784,130,1855
1790171391394,300.734375,155.53125,145.203125,2779013120,3255648256,2859126784,130,1855
1790171392408,301.96875,155.6875,146.28125,2779013120,3255648256,2859126784,130,1855
1790171393410,303.34375,156,147.34375,2779168768,3256094720,2859126784,134,1867
1790171394411,304.53125,156.171875,148.359375,2779062272,3255844864,2859126784,130,1855
1790171395413,305.75,156.375,149.375,2779062272,3255844864,2859126784,130,1855
1790171396415,306.921875,156.578125,150.34375,2779062272,3255844864,2859126784,130,1855
1790171397430,308.890625,157.5,151.390625,2779275264,3255996416,2859126784,130,1855
1790171398431,310.0625,157.75,152.3125,2779422720,3256205312,2859126784,130,1855
1790171399435,311.265625,157.9375,153.328125,2779422720,3256205312,2859126784,130,1855
1790171400455,312.5,158.078125,154.421875,2779422720,3256205312,2859126784,130,1855
1790171401458,313.90625,158.453125,155.453125,2779447296,3256217600,2859126784,130,1855
1790171402471,315.125,158.765625,156.359375,2779471872,3256217600,2859126784,130,1855
1790171403472,316.375,158.96875,157.40625,2779471872,3256217600,2859126784,130,1855
1790171404488,317.671875,159.28125,158.390625,2779770880,3256217600,2859126784,130,1855
1790171405490,319.046875,159.625,159.421875,2779770880,3256217600,2859126784,130,1855
1790171406506,320.28125,159.84375,160.4375,2779770880,3256217600,2859126784,130,1855
