epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790171522639,221.78125,124.8125,96.96875,2287988736,2761072640,2461331456,145,1876
1790171523655,229.09375,130.328125,98.765625,2312159232,2783899648,2461331456,145,1876
1790171524675,232.90625,132.453125,100.453125,2322526208,2805911552,2461331456,143,1870
1790171525677,234.40625,132.953125,101.453125,2321625088,2804862976,2461331456,141,1864
1790171526679,240.078125,137.15625,102.921875,2384580608,2868744192,2461331456,145,1876
1790171527685,242.90625,138.78125,104.125,2345811968,2830434304,2461331456,139,1859
1790171528691,244.984375,139.890625,105.09375,2348367872,2833207296,2461331456,139,1858
1790171529693,246.46875,140.421875,106.046875,2348560384,2833317888,2461331456,135,1846
1790171530713,248.609375,141.453125,107.15625,2280402944,2780442624,2461331456,144,1873
1790171531723,251.515625,143.21875,108.296875,2314809344,2804768768,2461331456,139,1858
1790171532725,253.203125,143.921875,109.28125,2315251712,2805305344,2461331456,136,1850
1790171533739,254.4375,144.15625,110.28125,2315583488,2805645312,2461331456,136,1849
1790171534754,255.875,144.609375,111.265625,2316017664,2805579776,2461331456,135,1846
1790171535757,259.28125,146.796875,112.484375,2325028864,2810114048,2461331456,142,1867
1790171536761,260.84375,147.40625,113.4375,2326097920,2811363328,2461331456,139,1859
1790171537767,262.453125,147.984375,114.46875,2326274048,2811379712,2461331456,136,1849
1790171538774,263.859375,148.28125,115.578125,2326339584,2811703296,2461331456,137,1853
1790171539780,266.015625,149.34375,116.671875,2333081600,2818736128,2461331456,140,1861
1790171540794,267.859375,150.15625,117.703125,2329341952,2814697472,2461331456,135,1846
1790171541809,269.1875,150.453125,118.734375,2329317376,2814545920,2461331456,133,1840
1790171542824,271.09375,151.390625,119.703125,2329686016,2815037440,2461331456,136,1849
1790171543831,272.421875,151.8125,120.609375,2329878528,2815365120,2461331456,137,1852
1790171544836,275.046875,153.234375,121.8125,2337042432,2823311360,2461331456,140,1861
1790171545841,276.3125,153.578125,122.734375,2330288128,2816159744,2461331456,136,1852
1790171546859,277.625,153.828125,123.796875,2330292224,2816163840,2461331456,136,1852
1790171547865,278.921875,154.171875,124.75,2330267648,2816049152,2461331456,134,1846
1790171548878,280.65625,154.8125,125.84375,2330529792,2811236352,2461331456,138,1858
1790171549880,281.859375,155.09375,126.765625,2330411008,2811039744,2461331456,134,1845
1790171550880,283.109375,155.40625,127.703125,2330443776,2810974208,2461331456,133,1842
1790171551885,284.375,155.65625,128.71875,2330472448,2810974208,2461331456,133,1842
1790171552887,285.53125,155.84375,129.6875,2330501120,2811039744,2461331456,133,1842
1790171553889,287.546875,156.703125,130.84375,2330746880,2811564032,2461331456,134,1845
1790171554908,288.875,157.046875,131.828125,2330767360,2811572224,2461331456,133,1842
1790171555913,290.109375,157.25,132.859375,2330787840,2811572224,2461331456,133,1842
1790171556916,291.34375,157.484375,133.859375,2330787840,2811572224,2461331456,133,1842
1790171557918,294.25,159.296875,134.953125,2331041792,2811944960,2461331456,133,1842
1790171558922,295.453125,159.453125,136,2331086848,2812010496,2461331456,133,1842
1790171559926,296.765625,159.765625,137,2331025408,2811899904,2461331456,132,1839
1790171560931,297.953125,159.953125,138,2331025408,2811899904,2461331456,132,1839
1790171561932,299.265625,160.375,138.890625,2331054080,2811985920,2461331456,132,1839
1790171562935,300.546875,160.625,139.921875,2330935296,2811932672,2461331456,130,1832
1790171563953,302.015625,161.09375,140.921875,2331037696,2812112896,2461331456,129,1829
1790171564970,303.375,161.34375,142.03125,2331037696,2812112896,2461331456,129,1829
1790171565973,304.75,161.765625,142.984375,2331037696,2812112896,2461331456,129,1829
1790171566988,306.015625,162.09375,143.921875,2331049984,2812112896,2461331456,129,1829
1790171568003,307.296875,162.453125,144.84375,2331049984,2812112896,2461331456,129,1829
1790171569009,308.53125,162.703125,145.828125,2331090944,2812231680,2461331456,130,1832
1790171570014,309.96875,163.125,146.84375,2331066368,2812379136,2461331456,130,1834
1790171571033,311.1875,163.359375,147.828125,2331029504,2812309504,2461331456,129,1829
1790171572035,313.03125,164.21875,148.8125,2331090944,2812375040,2461331456,129,1829
1790171573038,314.25,164.546875,149.703125,2331090944,2812375040,2461331456,129,1829
1790171574047,315.453125,164.734375,150.71875,2331271168,2812960768,2461331456,131,1836
1790171575060,316.703125,165.078125,151.625,2331205632,2812833792,2461331456,129,1830
1790171576076,317.96875,165.25,152.71875,2331205632,2812833792,2461331456,129,1830
1790171577083,319.234375,165.5,153.734375,2332250112,2813878272,2461331456,129,1830
1790171578098,320.453125,165.734375,154.71875,2332250112,2813878272,2461331456,129,1830
1790171579100,321.90625,166.09375,155.8125,2332303360,2814021632,2461331456,130,1833
1790171580105,323.234375,166.40625,156.828125,2331877376,2813140992,2461331456,128,1826
1790171581109,324.40625,166.65625,157.75,2331877376,2813140992,2461331456,128,1826
1790171582113,325.765625,166.953125,158.8125,2331893760,2813140992,2461331456,128,1826
