epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790167419213,1002.96875,891.421875,111.734375,3251052544,3738828800,3300642816,142,1886
1790167420233,1016.375,903.4375,112.9375,3050020864,3579248640,3300642816,138,1874
1790167421242,1030.265625,916.09375,114.171875,3099873280,3620921344,3300642816,139,1878
1790167422257,1044.140625,928.84375,115.296875,3111145472,3630878720,3300642816,138,1874
1790167423262,1057.375,940.9375,116.4375,3115376640,3633414144,3300642816,136,1868
1790167424278,1070.90625,953.28125,117.625,3113230336,3643904000,3300642816,137,1871
1790167425282,1084.875,966.09375,118.78125,3135377408,3651387392,3300642816,137,1871
1790167426302,1098.171875,978.203125,119.96875,3136258048,3651526656,3300642816,136,1868
1790167427311,1111.65625,990.421875,121.234375,3138338816,3651973120,3300642816,135,1865
1790167428325,1125.609375,1003.15625,122.453125,3139919872,3652755456,3300642816,135,1865
1790167429344,1138.84375,1015.265625,123.578125,3140157440,3652984832,3300642816,135,1865
1790167430358,1152.40625,1027.578125,124.828125,3142688768,3654234112,3300642816,141,1883
1790167431366,1165.65625,1039.734375,125.921875,3145048064,3654463488,3300642816,134,1863
1790167432380,1178.8125,1051.765625,127.046875,3145854976,3655131136,3300642816,135,1865
1790167433388,1192.140625,1064.046875,128.09375,3148214272,3655372800,3300642816,135,1865
1790167434393,1205.40625,1075.984375,129.421875,3148222464,3655294976,3300642816,133,1859
1790167435402,1218.84375,1088.28125,130.5625,3154882560,3657670656,3300642816,134,1862
1790167436421,1232.09375,1100.265625,131.828125,3154993152,3657912320,3300642816,135,1865
1790167437426,1245.25,1112.4375,132.8125,3154956288,3657805824,3300642816,133,1860
1790167438433,1258.40625,1124.46875,133.9375,3155644416,3658010624,3300642816,134,1863
1790167439450,1271.8125,1136.375,135.4375,3155718144,3658006528,3300642816,133,1859
1790167440455,1285.03125,1148.578125,136.453125,3155972096,3657539584,3300642816,134,1862
1790167441461,1298.171875,1160.625,137.546875,3156160512,3657469952,3300642816,133,1859
1790167442466,1311.640625,1172.796875,138.84375,3157520384,3658764288,3300642816,133,1859
1790167443472,1324.75,1184.734375,140.015625,3157573632,3658829824,3300642816,133,1859
1790167444489,1338.015625,1196.796875,141.21875,3157762048,3658829824,3300642816,133,1859
1790167445492,1351.390625,1208.828125,142.5625,3157827584,3658829824,3300642816,133,1859
1790167446511,1364.359375,1220.515625,143.84375,3157905408,3658829824,3300642816,133,1859
1790167447538,1377.59375,1232.515625,145.09375,3157905408,3658956800,3300642816,133,1859
1790167448554,1390.859375,1244.71875,146.140625,3158167552,3659153408,3300642816,133,1859
1790167449556,1403.984375,1256.875,147.109375,3159896064,3659153408,3300642816,133,1859
1790167450575,1417.390625,1269.078125,148.3125,3160174592,3659538432,3300642816,132,1856
1790167451603,1430.953125,1281.46875,149.484375,3160666112,3660587008,3300642816,136,1868
1790167452625,1444.375,1293.625,150.75,3161653248,3662004224,3300642816,135,1868
1790167453631,1457.5,1305.6875,151.8125,3161640960,3661844480,3300642816,131,1856
1790167454647,1470.9375,1317.890625,153.046875,3162423296,3661766656,3300642816,129,1849
1790167455669,1484.0625,1329.75,154.3125,3162841088,3662176256,3300642816,129,1849
1790167456685,1497.4375,1341.96875,155.46875,3162955776,3662172160,3300642816,128,1847
1790167457701,1510.546875,1353.890625,156.65625,3163017216,3662471168,3300642816,129,1848
1790167458722,1523.765625,1365.90625,157.859375,3163017216,3662471168,3300642816,129,1848
1790167459726,1537.15625,1378.09375,159.0625,3163082752,3662471168,3300642816,129,1848
1790167460740,1550.15625,1390.03125,160.125,3163144192,3656138752,3300642816,130,1851
1790167461743,1563.375,1402.015625,161.359375,3163201536,3656212480,3300642816,129,1848
1790167462767,1576.578125,1414.140625,162.4375,3163267072,3656212480,3300642816,129,1848
1790167463784,1590.46875,1426.796875,163.671875,3172921344,3665760256,3300642816,131,1854
1790167464812,1604.515625,1439.421875,165.09375,3192094720,3680919552,3300642816,136,1869
1790167465825,1619.34375,1453.09375,166.25,3201368064,3686912000,3300642816,135,1867
1790167466840,1634.015625,1466.625,167.390625,3234705408,3720421376,3300642816,133,1862
1790167467850,1648.671875,1480.046875,168.625,3231313920,3715932160,3300642816,132,1858
1790167468861,1661.84375,1492.140625,169.703125,3223023616,3706990592,3300642816,129,1850
1790167469878,1675.25,1504.4375,170.8125,3223031808,3706990592,3300642816,129,1850
1790167470883,1688.828125,1516.875,171.953125,3034509312,3520389120,3300642816,128,1845
1790167471902,1701.71875,1528.421875,173.296875,3035140096,3520978944,3300642816,128,1845
1790167472917,1714.71875,1540.328125,174.390625,3037872128,3523731456,3300642816,128,1845
1790167473951,1728.328125,1552.84375,175.484375,3066572800,3559657472,3300642816,128,1845
1790167474968,1741.640625,1564.984375,176.65625,3071741952,3564564480,3300642816,128,1845
