epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790165542955,773.09375,761.484375,11.65625,1771962368,1826131968,1920843776,110,1436
1790165543995,788.4375,776.046875,12.390625,1788313600,1848827904,1920843776,110,1435
1790165544999,803.3125,790.390625,12.921875,1784602624,1848164352,1920843776,110,1435
1790165546017,815.890625,802.796875,13.09375,1781542912,1844289536,1920843776,107,1426
1790165547027,828.203125,815.015625,13.1875,1782484992,1845129216,1920843776,105,1420
1790165548036,840.734375,827.34375,13.390625,1563033600,1654128640,1920843776,103,1415
1790165549043,852.65625,839.171875,13.484375,1577480192,1668431872,1920843776,103,1415
1790165550053,864.765625,851.171875,13.59375,1578655744,1669341184,1920843776,101,1408
1790165551058,876.65625,862.890625,13.765625,1622900736,1731334144,1920843776,102,1411
1790165552079,889,875.109375,13.890625,1623646208,1731395584,1920843776,103,1414
1790165553087,900.9375,886.890625,14.046875,1623339008,1730048000,1920843776,101,1408
1790165554095,913.046875,898.875,14.171875,1626243072,1730498560,1920843776,103,1414
1790165555100,925.21875,911,14.21875,1626357760,1730453504,1920843776,102,1411
1790165556107,937.140625,922.8125,14.328125,1626492928,1730457600,1920843776,102,1411
1790165557114,949.125,934.640625,14.484375,1629863936,1731387392,1920843776,102,1411
1790165558122,960.9375,946.328125,14.609375,1633329152,1733156864,1920843776,102,1412
1790165559144,972.828125,958.171875,14.65625,1633333248,1733156864,1920843776,102,1412
1790165560154,984.953125,970.203125,14.75,1636913152,1734275072,1920843776,100,1405
1790165561163,997.203125,982.328125,14.875,1636982784,1734275072,1920843776,100,1405
1790165562173,1009.140625,994.109375,15.03125,1638490112,1734635520,1920843776,100,1405
1790165563178,1021.15625,1006,15.15625,1638555648,1734635520,1920843776,100,1405
1790165564187,1033.4375,1018.125,15.3125,1642827776,1775636480,1920843776,99,1402
1790165565193,1045.265625,1029.84375,15.421875,1626447872,1721880576,1920843776,102,1411
1790165566195,1057.21875,1041.734375,15.484375,1626464256,1721765888,1920843776,100,1406
1790165567203,1069.28125,1053.703125,15.578125,1626632192,1721708544,1920843776,99,1402
1790165568215,1081.25,1065.5625,15.6875,1626701824,1721708544,1920843776,99,1402
1790165569225,1093.34375,1077.53125,15.8125,1626832896,1721708544,1920843776,99,1402
1790165570232,1105.390625,1089.5,15.890625,1626906624,1721708544,1920843776,99,1402
1790165571251,1117.8125,1101.84375,15.96875,1625165824,1719910400,1920843776,99,1402
1790165572257,1129.984375,1113.953125,16.03125,1627561984,1720791040,1920843776,99,1402
1790165573268,1142.015625,1125.953125,16.0625,1627758592,1720791040,1920843776,99,1402
1790165574276,1154.09375,1137.9375,16.15625,1628180480,1720918016,1920843776,101,1408
1790165575285,1166.171875,1149.828125,16.34375,1628213248,1720852480,1920843776,100,1405
1790165576292,1178.203125,1161.75,16.453125,1628319744,1720791040,1920843776,99,1402
1790165577305,1190.4375,1173.859375,16.578125,1629114368,1721499648,1920843776,99,1402
1790165578309,1202.53125,1185.78125,16.75,1629016064,1722163200,1920843776,99,1402
1790165579318,1214.734375,1197.90625,16.828125,1632505856,1723289600,1920843776,102,1411
1790165580328,1227.296875,1210.21875,17.078125,1641041920,1727967232,1920843776,106,1424
1790165581335,1239.703125,1222.40625,17.296875,1645543424,1729646592,1920843776,99,1405
1790165582339,1251.96875,1234.453125,17.515625,1649684480,1731280896,1920843776,102,1411
1790165583361,1264.3125,1246.6875,17.625,1650712576,1731653632,1920843776,100,1405
1790165584370,1276.390625,1258.625,17.765625,1650667520,1731571712,1920843776,99,1402
1790165585380,1288.265625,1270.34375,17.921875,1648541696,1728856064,1920843776,99,1402
1790165586383,1300.328125,1282.265625,18.0625,1648590848,1728794624,1920843776,98,1399
1790165587392,1312.40625,1294.265625,18.140625,1648717824,1728761856,1920843776,97,1395
1790165588397,1324.609375,1306.359375,18.25,1648791552,1728761856,1920843776,97,1395
1790165589408,1336.6875,1318.359375,18.328125,1648799744,1728761856,1920843776,97,1395
1790165590421,1348.703125,1330.25,18.453125,1648816128,1728679936,1920843776,96,1392
1790165591429,1360.890625,1342.359375,18.53125,1648889856,1728679936,1920843776,96,1392
1790165592435,1374.125,1355.28125,18.84375,1672863744,1742467072,1920843776,102,1411
1790165593443,1387.109375,1367.984375,19.125,1675956224,1743355904,1920843776,100,1404
1790165594478,1401.96875,1382.359375,19.609375,1741590528,1802502144,1920843776,102,1410
1790165595480,1416,1396.1875,19.8125,1732911104,1792135168,1920843776,102,1410
1790165596493,1430.25,1410.3125,19.9375,1732661248,1791397888,1920843776,95,1391
1790165597515,1443.9375,1423.859375,20.078125,1725710336,1783832576,1920843776,95,1391
1790165598527,1456.59375,1436.421875,20.171875,1561448448,1647001600,1920843776,93,1385
1790165599538,1468.78125,1448.484375,20.296875,1564827648,1651011584,1920843776,93,1385
1790165600542,1480.671875,1460.265625,20.40625,1570291712,1674039296,1920843776,93,1385
1790165601552,1493.03125,1472.5625,20.46875,1611051008,1703493632,1920843776,92,1382
1790165602555,1505.234375,1484.4375,20.796875,1663115264,1735479296,1920843776,102,1411
