epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790166181854,69.65625,61.109375,8.546875,1610706944,1665609728,1650200576,112,1450
1790166182866,72.453125,63.59375,8.859375,1616297984,1671745536,1650200576,110,1445
1790166183869,73.3125,63.734375,9.578125,1619578880,1686888448,1650200576,108,1439
1790166184879,77.53125,67.546875,9.984375,1565728768,1650593792,1657499648,109,1442
1790166185880,78.03125,67.953125,10.078125,1576632320,1656565760,1657499648,103,1424
1790166186891,78.09375,67.953125,10.140625,1576722432,1656549376,1657499648,101,1418
1790166187906,78.21875,68.03125,10.1875,1577684992,1657507840,1657499648,101,1418
1790166188915,80.53125,70.078125,10.453125,1661358080,1731194880,1661440000,107,1436
1790166189922,81.296875,70.828125,10.46875,1534066688,1602650112,1676570624,105,1431
1790166190927,81.46875,70.96875,10.5,1541165056,1610686464,1676570624,103,1425
1790166191932,81.625,71.046875,10.578125,1541165056,1610686464,1676570624,103,1425
1790166192941,81.671875,71.046875,10.625,1541242880,1610620928,1676570624,102,1421
1790166193941,83.046875,72.1875,10.859375,1605500928,1675202560,1676570624,101,1418
1790166194949,83.125,72.25,10.875,1605672960,1675309056,1676570624,102,1421
1790166195957,83.203125,72.265625,10.9375,1606021120,1675497472,1676570624,100,1415
1790166196968,83.25,72.265625,10.984375,1606021120,1675497472,1676570624,100,1415
1790166197981,84.484375,73.3125,11.171875,1631924224,1699794944,1676570624,107,1436
1790166199003,84.53125,73.3125,11.21875,1631793152,1699573760,1676570624,104,1429
1790166200006,84.65625,73.375,11.28125,1629343744,1697021952,1676570624,101,1420
1790166201013,84.703125,73.390625,11.3125,1629421568,1697021952,1676570624,100,1415
1790166202029,85.0625,73.703125,11.359375,1631678464,1699262464,1676570624,100,1415
1790166203034,85.375,73.90625,11.46875,1629630464,1697214464,1676570624,101,1418
1790166204042,85.46875,73.9375,11.53125,1629597696,1697153024,1676570624,100,1415
1790166205050,85.5625,74,11.5625,1629782016,1697394688,1676570624,102,1421
1790166206057,85.625,74.015625,11.609375,1629728768,1697284096,1676570624,100,1416
1790166207081,85.9375,74.265625,11.671875,1629810688,1697275904,1676570624,99,1412
1790166208085,86.0625,74.3125,11.75,1629913088,1697402880,1676570624,100,1416
1790166209098,86.234375,74.421875,11.8125,1630027776,1697480704,1676570624,100,1416
1790166210100,86.4375,74.515625,11.921875,1629982720,1697406976,1676570624,99,1412
1790166211109,86.796875,74.8125,11.984375,1633796096,1701482496,1676570624,100,1415
1790166212116,87.15625,75.140625,12.015625,1630466048,1697746944,1676570624,101,1418
1790166213124,87.1875,75.140625,12.046875,1630433280,1697685504,1676570624,100,1415
1790166214132,87.28125,75.15625,12.125,1630433280,1697685504,1676570624,100,1415
1790166215136,87.390625,75.203125,12.1875,1630474240,1697726464,1676570624,100,1415
1790166216158,87.5,75.296875,12.203125,1630539776,1697792000,1676570624,100,1415
1790166217167,87.5625,75.3125,12.25,1630515200,1697738752,1676570624,99,1412
1790166218176,87.609375,75.3125,12.296875,1630515200,1697738752,1676570624,99,1412
1790166219181,87.703125,75.359375,12.34375,1630515200,1697738752,1676570624,99,1412
1790166220183,87.75,75.359375,12.390625,1630515200,1697738752,1676570624,99,1412
1790166221195,87.8125,75.375,12.4375,1630617600,1697869824,1676570624,100,1415
1790166222201,88.0625,75.5625,12.5,1630691328,1697935360,1676570624,100,1415
1790166223207,88.109375,75.5625,12.546875,1630691328,1697935360,1676570624,100,1415
1790166224216,88.734375,76.109375,12.625,1630928896,1698131968,1676570624,100,1415
1790166225224,88.84375,76.171875,12.671875,1630994432,1698197504,1676570624,100,1415
1790166226229,88.953125,76.234375,12.71875,1631043584,1698246656,1676570624,100,1415
1790166227237,88.984375,76.234375,12.75,1631010816,1698185216,1676570624,99,1412
1790166228248,89.078125,76.28125,12.796875,1630973952,1698119680,1676570624,98,1409
1790166229256,89.15625,76.3125,12.84375,1630965760,1698086912,1676570624,97,1405
1790166230264,89.203125,76.3125,12.890625,1630965760,1698086912,1676570624,97,1405
1790166231275,89.28125,76.328125,12.953125,1630965760,1698086912,1676570624,97,1405
1790166232291,89.3125,76.328125,12.984375,1630871552,1697964032,1676570624,96,1402
1790166233297,89.328125,76.328125,13,1630871552,1697964032,1676570624,96,1402
1790166234304,89.375,76.34375,13.03125,1630871552,1697964032,1676570624,96,1402
1790166235306,89.46875,76.390625,13.078125,1630871552,1697964032,1676570624,96,1402
1790166236314,89.5625,76.421875,13.140625,1630887936,1697951744,1676570624,95,1399
1790166237326,89.65625,76.484375,13.171875,1630887936,1697951744,1676570624,95,1399
1790166238346,90.328125,77.109375,13.21875,1630904320,1697882112,1676570624,93,1395
1790166239350,90.46875,77.203125,13.265625,1630904320,1697882112,1676570624,93,1395
1790166240352,90.546875,77.21875,13.328125,1630904320,1697882112,1676570624,93,1395
1790166241356,90.59375,77.21875,13.375,1630904320,1697882112,1676570624,93,1395
