epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790166019437,66.03125,58.671875,7.359375,1471156224,1525030912,1534099456,102,1414
1790166020457,68.109375,60.53125,7.578125,1487171584,1541709824,1534099456,99,1407
1790166021463,69.171875,61.015625,8.15625,1488977920,1554538496,1534099456,96,1397
1790166022470,69.3125,61.09375,8.21875,1418776576,1504636928,1534099456,102,1415
1790166023478,69.59375,61.265625,8.328125,1423290368,1508610048,1534099456,92,1386
1790166024486,69.640625,61.265625,8.375,1424044032,1509277696,1534099456,91,1382
1790166025489,69.71875,61.28125,8.4375,1424678912,1509879808,1534099456,90,1379
1790166026500,69.796875,61.296875,8.5,1427193856,1511280640,1534099456,90,1379
1790166027508,69.890625,61.34375,8.546875,1427193856,1511280640,1534099456,90,1379
1790166028511,69.921875,61.34375,8.578125,1427230720,1511313408,1534099456,90,1379
1790166029519,70.015625,61.375,8.640625,1436712960,1518444544,1534099456,90,1379
1790166030524,70.21875,61.46875,8.75,1436758016,1518444544,1534099456,90,1379
1790166031533,70.265625,61.515625,8.75,1436856320,1518542848,1534099456,90,1379
1790166032540,70.40625,61.59375,8.8125,1441247232,1520726016,1534099456,100,1409
1790166033548,70.421875,61.59375,8.828125,1441300480,1520693248,1534099456,97,1401
1790166034556,70.5,61.625,8.875,1441267712,1520570368,1534099456,94,1393
1790166035567,70.546875,61.640625,8.90625,1441267712,1520570368,1534099456,94,1393
1790166036575,70.609375,61.65625,8.953125,1441189888,1520402432,1534099456,91,1384
1790166037582,70.65625,61.65625,9,1441157120,1520336896,1534099456,90,1379
1790166038590,70.703125,61.671875,9.03125,1441157120,1520336896,1534099456,90,1379
1790166039597,70.75,61.671875,9.078125,1441157120,1520336896,1534099456,90,1379
1790166040601,70.796875,61.6875,9.109375,1441189888,1520336896,1534099456,90,1379
1790166041603,70.890625,61.71875,9.171875,1441316864,1520463872,1534099456,90,1379
1790166042605,70.9375,61.734375,9.203125,1441820672,1520771072,1534099456,93,1388
1790166043612,70.984375,61.734375,9.25,1442242560,1521033216,1534099456,90,1379
1790166044623,71.015625,61.734375,9.28125,1442197504,1520955392,1534099456,89,1376
1790166045631,71.078125,61.75,9.328125,1442263040,1521020928,1534099456,89,1376
1790166046632,71.140625,61.765625,9.375,1443811328,1522233344,1534099456,89,1376
1790166047640,71.203125,61.78125,9.421875,1443811328,1522233344,1534099456,89,1376
1790166048644,71.25,61.78125,9.46875,1444032512,1522364416,1534099456,89,1376
1790166049654,71.3125,61.8125,9.5,1444032512,1522364416,1534099456,89,1376
1790166050661,71.359375,61.8125,9.546875,1444032512,1522364416,1534099456,89,1376
1790166051676,71.4375,61.828125,9.609375,1444032512,1522364416,1534099456,89,1376
1790166052683,71.484375,61.84375,9.640625,1444179968,1522606080,1534099456,92,1385
1790166053690,71.53125,61.84375,9.6875,1444122624,1522487296,1534099456,90,1380
1790166054699,71.65625,61.921875,9.734375,1444098048,1522429952,1534099456,89,1376
1790166055704,71.703125,61.921875,9.78125,1444098048,1522429952,1534099456,89,1376
1790166056707,71.8125,61.984375,9.828125,1444360192,1522692096,1534099456,89,1376
1790166057712,71.875,62,9.875,1444364288,1523744768,1534099456,89,1376
1790166058713,71.875,62,9.875,1444462592,1522827264,1534099456,90,1379
1790166059717,72.09375,62.15625,9.9375,1452703744,1530834944,1534099456,91,1382
1790166060731,72.140625,62.15625,9.984375,1452666880,1530769408,1534099456,90,1379
1790166061735,72.21875,62.203125,10.015625,1454551040,1531494400,1534099456,89,1376
1790166062742,72.296875,62.21875,10.078125,1454645248,1531617280,1534099456,90,1379
1790166063746,72.359375,62.265625,10.09375,1455759360,1532350464,1534099456,88,1374
1790166064768,72.40625,62.265625,10.140625,1455759360,1532350464,1534099456,88,1374
1790166065775,72.5,62.296875,10.203125,1455759360,1532350464,1534099456,88,1374
1790166066778,72.53125,62.296875,10.234375,1455751168,1532317696,1534099456,87,1370
1790166067795,72.578125,62.296875,10.28125,1455751168,1532317696,1534099456,87,1370
1790166068807,72.640625,62.3125,10.328125,1455751168,1532317696,1534099456,87,1370
1790166069815,72.6875,62.3125,10.375,1455697920,1532235776,1534099456,86,1366
1790166070827,72.71875,62.3125,10.40625,1455763456,1532301312,1534099456,86,1366
1790166071834,72.765625,62.3125,10.453125,1455763456,1532301312,1534099456,86,1366
1790166072839,72.828125,62.34375,10.484375,1455886336,1532493824,1534099456,88,1372
1790166073858,72.890625,62.359375,10.53125,1455915008,1532481536,1534099456,88,1372
1790166074865,72.9375,62.359375,10.578125,1455890432,1532424192,1534099456,87,1369
1790166075868,73,62.375,10.625,1455849472,1532354560,1534099456,85,1365
1790166076875,73.046875,62.375,10.671875,1455788032,1532227584,1534099456,83,1359
1790166077883,73.109375,62.390625,10.71875,1455788032,1532227584,1534099456,83,1359
1790166078887,73.15625,62.40625,10.75,1455804416,1532227584,1534099456,83,1359
