epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790165686582,72.53125,63.875,8.65625,1845972992,1921265664,1898450944,111,1437
1790165687589,74.140625,65.1875,8.953125,1620049920,1693331456,1898450944,111,1438
1790165688595,76.234375,66.84375,9.390625,1632751616,1707421696,1898450944,111,1438
1790165689600,80,70.28125,9.71875,1741455360,1816899584,1898450944,105,1420
1790165690612,80.09375,70.328125,9.765625,1741250560,1816567808,1898450944,101,1408
1790165691620,80.25,70.40625,9.84375,1534783488,1630273536,1898450944,101,1408
1790165692632,80.296875,70.421875,9.875,1535369216,1631596544,1898450944,101,1408
1790165693640,82.828125,72.640625,10.1875,1644077056,1718718464,1898450944,106,1424
1790165694657,82.890625,72.65625,10.234375,1643728896,1718161408,1898450944,99,1402
1790165695660,83.03125,72.75,10.28125,1643737088,1718161408,1898450944,99,1402
1790165696667,83.0625,72.75,10.3125,1643761664,1718161408,1898450944,99,1402
1790165697675,84,73.59375,10.40625,1657917440,1731174400,1898450944,109,1432
1790165698681,84.34375,73.90625,10.4375,1645752320,1718808576,1898450944,104,1417
1790165699690,84.53125,74.078125,10.453125,1645707264,1718710272,1898450944,103,1414
1790165700698,84.578125,74.09375,10.484375,1645666304,1718640640,1898450944,102,1411
1790165701707,84.640625,74.125,10.515625,1645649920,1718452224,1898450944,99,1402
1790165702711,85.421875,74.71875,10.703125,1647542272,1718722560,1898450944,101,1408
1790165703715,85.46875,74.734375,10.734375,1647575040,1718661120,1898450944,100,1405
1790165704720,85.515625,74.75,10.765625,1647665152,1718661120,1898450944,100,1405
1790165705730,85.5625,74.75,10.8125,1648148480,1718587392,1898450944,99,1403
1790165706738,86.265625,75.21875,11.046875,1656557568,1726660608,1898450944,106,1424
1790165707747,86.703125,75.578125,11.125,1649557504,1719107584,1898450944,104,1417
1790165708759,86.75,75.59375,11.15625,1649487872,1718980608,1898450944,102,1411
1790165709889,86.859375,75.65625,11.203125,1649446912,1718894592,1898450944,101,1408
1790165710895,86.921875,75.65625,11.265625,1649356800,1718743040,1898450944,99,1403
1790165711910,87.828125,76.46875,11.359375,1649594368,1719009280,1898450944,101,1408
1790165712926,87.890625,76.484375,11.40625,1649491968,1718816768,1898450944,98,1400
1790165713933,87.9375,76.484375,11.453125,1649491968,1718816768,1898450944,98,1400
1790165714941,87.984375,76.5,11.484375,1649491968,1718816768,1898450944,98,1400
1790165715947,88.328125,76.734375,11.59375,1649561600,1718939648,1898450944,100,1406
1790165716953,88.359375,76.734375,11.625,1649500160,1718816768,1898450944,98,1400
1790165717963,88.421875,76.765625,11.65625,1649500160,1718816768,1898450944,98,1400
1790165718969,88.484375,76.78125,11.703125,1649500160,1718816768,1898450944,98,1400
1790165719981,88.59375,76.796875,11.796875,1649815552,1719238656,1898450944,103,1415
1790165721000,88.65625,76.828125,11.828125,1649725440,1719062528,1898450944,100,1405
1790165722005,88.703125,76.84375,11.859375,1649676288,1718951936,1898450944,98,1400
1790165723012,88.765625,76.84375,11.921875,1649717248,1719021568,1898450944,99,1403
1790165724019,88.890625,76.921875,11.96875,1654681600,1723928576,1898450944,99,1402
1790165725027,89.03125,77.015625,12.015625,1649831936,1719058432,1898450944,99,1403
1790165726033,89.078125,77.03125,12.046875,1649831936,1719058432,1898450944,99,1403
1790165727050,89.28125,77.21875,12.0625,1649852416,1719062528,1898450944,99,1403
1790165728055,89.375,77.265625,12.109375,1649807360,1718984704,1898450944,98,1399
1790165729062,89.4375,77.28125,12.15625,1649831936,1718984704,1898450944,98,1399
1790165730069,89.546875,77.34375,12.203125,1649864704,1719050240,1898450944,99,1402
1790165731074,89.796875,77.484375,12.3125,1649934336,1719132160,1898450944,100,1405
1790165732085,89.859375,77.515625,12.34375,1649836032,1718976512,1898450944,98,1400
1790165733093,89.9375,77.546875,12.390625,1649799168,1718906880,1898450944,97,1397
1790165734103,89.984375,77.5625,12.421875,1649799168,1718906880,1898450944,97,1397
1790165735107,90.0625,77.578125,12.484375,1649799168,1718906880,1898450944,97,1397
1790165736125,90.296875,77.765625,12.53125,1649790976,1718874112,1898450944,96,1393
1790165737131,90.78125,78.21875,12.5625,1648058368,1717018624,1898450944,96,1393
1790165738137,90.828125,78.21875,12.609375,1648005120,1716932608,1898450944,95,1389
1790165739142,90.890625,78.21875,12.671875,1648005120,1716932608,1898450944,95,1389
1790165740147,90.953125,78.25,12.703125,1648029696,1716932608,1898450944,95,1389
1790165741156,91.109375,78.34375,12.765625,1648046080,1716932608,1898450944,95,1389
1790165742161,91.1875,78.375,12.8125,1648017408,1716854784,1898450944,94,1386
1790165743163,91.234375,78.390625,12.84375,1648017408,1716854784,1898450944,94,1386
1790165744169,91.28125,78.390625,12.890625,1647976448,1716785152,1898450944,92,1382
1790165745175,91.328125,78.40625,12.921875,1647976448,1716785152,1898450944,92,1382
1790165746181,91.421875,78.453125,12.96875,1647906816,1716686848,1898450944,91,1379
