epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790165064340,1329.15625,1306.09375,23.0625,2207309824,2259116032,2314088448,90,1373
1790165065358,1335.09375,1311.34375,23.75,1765974016,1820565504,2314088448,91,1374
1790165066363,1338.4375,1314.296875,24.140625,1765040128,1833803776,2314088448,89,1366
1790165067366,1341.921875,1317.609375,24.3125,1760563200,1823346688,2314088448,91,1372
1790165068376,1345.671875,1321.09375,24.578125,1760894976,1823440896,2314088448,91,1372
1790165069384,1348.03125,1323.28125,24.75,1761832960,1823989760,2314088448,84,1352
1790165070389,1348.109375,1323.328125,24.78125,1761804288,1823989760,2314088448,85,1354
1790165071397,1348.609375,1323.765625,24.84375,1565782016,1658036224,2314088448,86,1357
1790165072404,1348.953125,1324.0625,24.890625,1603194880,1687879680,2314088448,83,1349
1790165073412,1349.328125,1324.375,24.953125,1605959680,1690062848,2314088448,82,1345
1790165074420,1350.4375,1325.375,25.0625,1619668992,1701523456,2314088448,82,1346
1790165075438,1352.859375,1327.734375,25.125,1650167808,1728540672,2314088448,84,1352
1790165076443,1354.15625,1328.96875,25.1875,1557438464,1616441344,2314088448,82,1345
1790165077449,1354.34375,1329.09375,25.25,1559830528,1619660800,2314088448,82,1346
1790165078461,1354.765625,1329.453125,25.3125,1559904256,1619746816,2314088448,82,1346
1790165079473,1355.0625,1329.71875,25.34375,1571168256,1631125504,2314088448,80,1340
1790165080483,1355.375,1330,25.375,1584656384,1644974080,2314088448,80,1340
1790165081495,1355.859375,1330.4375,25.421875,1584943104,1645232128,2314088448,80,1340
1790165082504,1356.171875,1330.71875,25.453125,1585410048,1645690880,2314088448,80,1340
1790165083511,1356.4375,1330.9375,25.5,1588785152,1648996352,2314088448,80,1340
1790165084520,1356.90625,1331.3125,25.59375,1588985856,1649274880,2314088448,81,1343
