epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790167637998,52.578125,45.375,7.203125,1738448896,1817698304,1760808960,99,1377
1790167639004,53.78125,46.40625,7.375,1732853760,1809653760,1760808960,99,1378
1790167640017,54.53125,46.546875,7.984375,1737940992,1826275328,1760808960,94,1364
1790167641024,54.609375,46.5625,8.046875,1738129408,1826459648,1760808960,93,1360
1790167642033,54.65625,46.5625,8.09375,1738158080,1826426880,1760808960,92,1357
1790167643037,54.703125,46.5625,8.140625,1684676608,1781694464,1760808960,93,1361
1790167644044,54.8125,46.609375,8.203125,1688199168,1786019840,1760808960,92,1357
1790167645050,54.859375,46.625,8.234375,1688576000,1786310656,1760808960,91,1354
1790167646054,54.90625,46.625,8.28125,1688629248,1786298368,1760808960,89,1349
1790167647063,54.984375,46.65625,8.328125,1688698880,1786331136,1760808960,89,1349
1790167648066,55.078125,46.65625,8.421875,1690415104,1788112896,1760808960,93,1362
1790167649081,55.15625,46.671875,8.484375,1690394624,1787994112,1760808960,91,1354
1790167650088,55.21875,46.71875,8.5,1690345472,1787883520,1760808960,89,1348
1790167651094,55.28125,46.734375,8.546875,1690406912,1787944960,1760808960,89,1348
1790167652099,55.296875,46.734375,8.5625,1690636288,1788174336,1760808960,89,1348
1790167653109,55.3125,46.734375,8.578125,1691140096,1788624896,1760808960,89,1348
1790167654115,55.359375,46.734375,8.625,1691140096,1788624896,1760808960,89,1348
1790167655121,55.40625,46.734375,8.671875,1691140096,1788624896,1760808960,89,1348
1790167656127,55.453125,46.734375,8.71875,1691140096,1788624896,1760808960,89,1348
1790167657136,55.546875,46.796875,8.75,1692426240,1789562880,1760808960,89,1348
1790167658140,55.6875,46.875,8.8125,1692545024,1789714432,1760808960,90,1351
1790167659148,55.734375,46.875,8.859375,1692524544,1789636608,1760808960,88,1345
1790167660155,55.796875,46.875,8.921875,1692524544,1789636608,1760808960,88,1345
1790167661166,55.84375,46.890625,8.953125,1692753920,1789865984,1760808960,88,1345
1790167662175,55.890625,46.890625,9,1692753920,1789865984,1760808960,88,1345
1790167663187,55.953125,46.90625,9.046875,1693962240,1791102976,1760808960,88,1345
1790167664199,55.984375,46.90625,9.078125,1693962240,1791102976,1760808960,88,1345
1790167665207,56.03125,46.90625,9.125,1693962240,1791102976,1760808960,88,1345
1790167666209,56.078125,46.90625,9.171875,1693962240,1791102976,1760808960,88,1345
1790167667224,56.109375,46.90625,9.203125,1693962240,1791102976,1760808960,88,1345
1790167668231,56.171875,46.921875,9.25,1695223808,1792319488,1760808960,89,1348
1790167669233,56.21875,46.921875,9.296875,1695195136,1792258048,1760808960,88,1345
1790167670240,56.3125,46.921875,9.390625,1695195136,1792258048,1760808960,88,1345
1790167671243,56.375,46.9375,9.4375,1695199232,1792258048,1760808960,88,1345
1790167672252,56.4375,46.953125,9.484375,1695260672,1792319488,1760808960,88,1345
1790167673262,56.484375,46.96875,9.515625,1695490048,1792454656,1760808960,89,1348
1790167674282,56.734375,47.140625,9.59375,1713815552,1808195584,1760808960,89,1348
1790167675291,56.796875,47.171875,9.625,1713819648,1808195584,1760808960,89,1348
1790167676296,56.984375,47.265625,9.71875,1719197696,1812721664,1760808960,89,1348
1790167677303,57.078125,47.3125,9.765625,1719214080,1812705280,1760808960,88,1345
1790167678319,57.15625,47.328125,9.828125,1721389056,1814507520,1760808960,88,1345
1790167679324,57.21875,47.34375,9.875,1721335808,1814425600,1760808960,87,1342
1790167680331,57.265625,47.359375,9.90625,1721335808,1814425600,1760808960,87,1342
1790167681334,57.296875,47.359375,9.9375,1721335808,1814425600,1760808960,87,1342
1790167682345,57.359375,47.390625,9.96875,1723080704,1816047616,1760808960,86,1338
1790167683353,57.421875,47.40625,10.015625,1723146240,1816113152,1760808960,86,1338
1790167684364,57.5,47.4375,10.0625,1723146240,1816113152,1760808960,86,1338
1790167685373,57.5625,47.46875,10.09375,1723719680,1816285184,1760808960,85,1335
1790167686379,57.625,47.5,10.125,1723719680,1816285184,1760808960,85,1335
1790167687382,57.6875,47.515625,10.171875,1723822080,1816391680,1760808960,85,1335
1790167688396,57.75,47.546875,10.203125,1723797504,1816334336,1760808960,84,1332
1790167689401,57.796875,47.546875,10.25,1723752448,1816256512,1760808960,83,1329
1790167690407,57.84375,47.546875,10.296875,1723756544,1816256512,1760808960,83,1329
1790167691414,57.953125,47.59375,10.359375,1724260352,1816743936,1760808960,81,1325
1790167692423,58.03125,47.625,10.40625,1724260352,1816743936,1760808960,81,1325
1790167693426,58.078125,47.625,10.453125,1724514304,1816997888,1760808960,81,1325
1790167694429,58.125,47.625,10.5,1724518400,1816997888,1760808960,81,1325
1790167695434,58.1875,47.65625,10.53125,1724518400,1816997888,1760808960,81,1325
1790167696455,58.21875,47.65625,10.5625,1724518400,1816997888,1760808960,81,1325
1790167697459,58.28125,47.671875,10.609375,1724678144,1817157632,1760808960,81,1325
