epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790167786792,48.296875,41.75,6.546875,1732255744,1813491712,1738584064,99,1393
1790167787804,49.34375,42.59375,6.75,1734467584,1815138304,1745379328,97,1389
1790167788807,50.078125,42.765625,7.3125,1737011200,1829363712,1745379328,94,1380
1790167789819,50.15625,42.78125,7.375,1737101312,1829400576,1745379328,93,1377
1790167790833,50.21875,42.796875,7.421875,1737138176,1829408768,1745379328,92,1373
1790167791838,50.28125,42.8125,7.46875,1662050304,1757200384,1745379328,91,1370
1790167792846,50.484375,42.9375,7.546875,1692479488,1788309504,1745379328,93,1376
1790167793851,50.59375,42.984375,7.609375,1690890240,1786687488,1745379328,92,1373
1790167794857,50.625,42.984375,7.640625,1691467776,1787142144,1745379328,89,1364
1790167795877,50.703125,43.03125,7.671875,1691729920,1787502592,1745379328,94,1379
1790167796893,50.765625,43.03125,7.734375,1664135168,1756622848,1745379328,90,1367
1790167797894,50.84375,43.03125,7.8125,1664761856,1757831168,1745379328,89,1364
1790167798904,50.90625,43.078125,7.828125,1664995328,1758072832,1745379328,89,1364
1790167799915,50.953125,43.078125,7.875,1664995328,1758072832,1745379328,89,1364
1790167800925,50.984375,43.078125,7.90625,1665200128,1758232576,1745379328,89,1364
1790167801927,51.046875,43.125,7.921875,1676156928,1769586688,1745379328,89,1364
1790167802933,51.09375,43.140625,7.953125,1676210176,1769639936,1745379328,89,1364
1790167803937,51.15625,43.140625,8.015625,1676210176,1769639936,1745379328,89,1364
1790167804944,51.1875,43.140625,8.046875,1676292096,1769730048,1745379328,89,1364
1790167805948,51.25,43.15625,8.09375,1677135872,1770532864,1745379328,91,1370
1790167806958,51.3125,43.171875,8.140625,1677168640,1770475520,1745379328,89,1364
1790167807972,51.390625,43.1875,8.203125,1677512704,1770610688,1745379328,88,1361
1790167808979,51.453125,43.1875,8.265625,1677512704,1770610688,1745379328,88,1361
1790167809987,51.515625,43.21875,8.296875,1678614528,1771642880,1745379328,88,1361
1790167810997,51.59375,43.28125,8.3125,1678614528,1771642880,1745379328,88,1361
1790167812005,51.625,43.28125,8.34375,1678680064,1771708416,1745379328,88,1361
1790167813020,51.6875,43.28125,8.40625,1678680064,1771708416,1745379328,88,1361
1790167814020,51.734375,43.28125,8.453125,1678745600,1771773952,1745379328,88,1361
1790167815023,51.765625,43.28125,8.484375,1678745600,1771773952,1745379328,88,1361
1790167816031,51.84375,43.3125,8.53125,1678843904,1771872256,1745379328,88,1361
1790167817035,51.921875,43.34375,8.578125,1679683584,1772781568,1745379328,88,1361
1790167818043,51.984375,43.359375,8.625,1679683584,1772781568,1745379328,88,1361
1790167819052,52.046875,43.359375,8.6875,1679683584,1772781568,1745379328,88,1361
1790167820054,52.09375,43.359375,8.734375,1679777792,1772875776,1745379328,88,1361
1790167821057,52.140625,43.375,8.765625,1679777792,1772875776,1745379328,88,1361
1790167822064,52.25,43.4375,8.8125,1683922944,1777090560,1745379328,88,1361
1790167823071,52.5,43.609375,8.890625,1701257216,1794007040,1745379328,90,1367
1790167824075,52.546875,43.609375,8.9375,1701183488,1793875968,1745379328,88,1361
1790167825084,52.65625,43.671875,8.984375,1702096896,1794748416,1745379328,88,1361
1790167826095,52.6875,43.671875,9.015625,1702432768,1795190784,1745379328,92,1373
1790167827100,52.96875,43.90625,9.0625,1664053248,1756364800,1745379328,90,1367
1790167828102,53.015625,43.90625,9.109375,1664393216,1757286400,1745379328,89,1364
1790167829111,53.078125,43.921875,9.15625,1665445888,1758322688,1745379328,88,1361
1790167830114,53.09375,43.921875,9.171875,1665445888,1758322688,1745379328,88,1361
1790167831122,53.140625,43.9375,9.203125,1665441792,1758289920,1745379328,87,1357
1790167832128,53.1875,43.9375,9.25,1665536000,1758380032,1745379328,87,1357
1790167833134,53.234375,43.9375,9.296875,1665732608,1758502912,1745379328,86,1354
1790167834145,53.28125,43.9375,9.34375,1665638400,1758408704,1745379328,85,1351
1790167835150,53.328125,43.9375,9.390625,1665638400,1758408704,1745379328,85,1351
1790167836164,53.390625,43.953125,9.4375,1667104768,1759776768,1745379328,84,1348
1790167837170,53.453125,43.96875,9.484375,1667104768,1759776768,1745379328,84,1348
1790167838178,53.5,43.96875,9.53125,1667702784,1760305152,1745379328,83,1345
1790167839181,53.53125,43.96875,9.5625,1667702784,1760305152,1745379328,83,1345
1790167840184,53.625,43.984375,9.640625,1667661824,1760235520,1745379328,81,1341
1790167841191,53.6875,44.03125,9.65625,1667665920,1760235520,1745379328,81,1341
1790167842196,53.71875,44.03125,9.6875,1667862528,1760428032,1745379328,81,1341
1790167843206,53.796875,44.0625,9.734375,1674326016,1766662144,1745379328,81,1341
1790167844212,53.84375,44.0625,9.78125,1674342400,1766662144,1745379328,81,1341
1790167845218,53.890625,44.078125,9.8125,1674342400,1766662144,1745379328,81,1341
1790167846234,53.984375,44.125,9.859375,1674412032,1766727680,1745379328,81,1341
