epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790173173979,795.8125,786.515625,12.453125,2804023296,2874957824,2813759488,110,1434
1790173175072,811.828125,798.921875,12.90625,2837917696,2909007872,2860773376,110,1434
1790173176096,827.203125,813.390625,13.8125,2838814720,2917707776,2860773376,110,1435
1790173177099,841.640625,827.171875,14.46875,2843254784,2926690304,2860773376,108,1427
1790173178106,855.015625,840.40625,14.609375,2615083008,2732707840,2860773376,106,1422
1790173179127,867.75,852.9375,14.8125,2666807296,2779308032,2860773376,104,1415
1790173180135,880.46875,865.34375,15.125,3156144128,3260956672,3159883776,103,1412
1790173181152,892.46875,877.265625,15.203125,3156832256,3261087744,3159883776,101,1406
1790173182172,904.84375,889.453125,15.390625,3158794240,3283546112,3169861632,101,1407
1790173183180,917.046875,901.5625,15.484375,3082485760,3158827008,3169861632,103,1412
1790173184200,929.3125,913.6875,15.625,3086065664,3163029504,3169861632,103,1412
1790173185219,941.953125,926.1875,15.765625,3137658880,3215237120,3169861632,102,1410
1790173186235,953.96875,938.09375,15.875,3138633728,3215867904,3169861632,101,1406
1790173187252,966.078125,950.0625,16.015625,3138818048,3215933440,3169861632,100,1403
1790173188267,978.375,962.265625,16.109375,3142664192,3219963904,3169861632,100,1403
1790173189283,990.6875,974.390625,16.296875,3143999488,3221147648,3169861632,100,1404
1790173190289,1002.75,986.203125,16.546875,3144200192,3228848128,3169861632,100,1403
1790173191296,1014.890625,998.25,16.640625,3148967936,3232198656,3169861632,100,1403
1790173192304,1027.234375,1010.4375,16.796875,3148967936,3232198656,3169861632,100,1403
1790173193314,1039.3125,1022.421875,16.890625,3151183872,3234078720,3169861632,100,1403
1790173194328,1051.640625,1034.46875,17.171875,3151155200,3234004992,3169861632,99,1401
1790173195342,1063.75,1046.46875,17.28125,3151286272,3234004992,3169861632,99,1401
1790173196350,1075.96875,1058.5625,17.40625,3151351808,3234004992,3169861632,99,1401
1790173197357,1088.140625,1070.53125,17.609375,3152437248,3234615296,3169861632,99,1401
1790173198364,1099.890625,1082.15625,17.734375,3152695296,3235549184,3169861632,99,1401
1790173199372,1112.15625,1094.328125,17.828125,3154030592,3236737024,3169861632,99,1401
1790173200381,1124.375,1106.390625,17.984375,3154161664,3236737024,3169861632,99,1401
1790173201391,1136.390625,1118.28125,18.109375,3154165760,3236737024,3169861632,99,1401
1790173202398,1148.546875,1130.296875,18.25,3154231296,3236737024,3169861632,99,1401
1790173203401,1160.46875,1142.0625,18.40625,3154374656,3236876288,3169861632,99,1401
1790173204424,1172.5625,1154.09375,18.46875,3155705856,3237818368,3169861632,99,1400
1790173205433,1184.890625,1166.28125,18.609375,3166863360,3247505408,3170009088,100,1403
1790173206454,1196.96875,1178.25,18.71875,3166826496,3247439872,3170009088,99,1400
1790173207458,1209.03125,1190.140625,18.890625,3166826496,3247439872,3170009088,99,1400
1790173208473,1221.234375,1202.234375,19,3167031296,3247579136,3170009088,99,1400
1790173209475,1233.703125,1214.390625,19.328125,3177893888,3256332288,3181137920,105,1421
1790173210490,1245.78125,1226.328125,19.453125,3181539328,3259613184,3181715456,100,1403
1790173211496,1257.71875,1238.046875,19.671875,3182071808,3259957248,3182071808,99,1400
1790173212527,1269.4375,1249.625,19.8125,3183599616,3261018112,3183599616,99,1400
1790173213530,1281.015625,1261.078125,19.9375,3182714880,3260100608,3183775744,100,1403
1790173214548,1293.203125,1273.15625,20.046875,3184074752,3261337600,3191394304,98,1397
1790173215553,1305.1875,1285,20.1875,3184140288,3261337600,3191394304,98,1397
1790173216557,1317.25,1296.90625,20.34375,3184140288,3261337600,3191394304,98,1397
1790173217577,1329.40625,1308.859375,20.546875,3184132096,3261304832,3191394304,97,1393
1790173218584,1341.484375,1320.75,20.734375,3184164864,3261366272,3191394304,98,1396
1790173219587,1353.421875,1332.578125,20.84375,3184132096,3261304832,3191394304,97,1393
1790173220594,1365.265625,1344.21875,21.046875,3191463936,3268546560,3191463936,96,1391
1790173221600,1377.8125,1356.4375,21.375,3205513216,3280769024,3207024640,103,1411
1790173222614,1390.890625,1369.15625,21.734375,3218497536,3293487104,3218636800,99,1399
1790173223615,1402.921875,1381.015625,21.90625,3209183232,3283509248,3218636800,98,1397
1790173224628,1415,1392.953125,22.046875,3209175040,3283378176,3218636800,96,1390
1790173225651,1427.484375,1405.125,22.359375,3228540928,3301474304,3228540928,100,1402
1790173226663,1441.90625,1419.3125,22.59375,3260186624,3333238784,3265187840,98,1398
1790173227681,1455.390625,1432.484375,22.90625,3266834432,3338891264,3290624000,95,1389
1790173228705,1467.46875,1444.296875,23.171875,3237527552,3309297664,3290624000,93,1384
1790173229706,1479.359375,1456.015625,23.34375,3237531648,3309301760,3290624000,93,1384
1790173230713,1491.671875,1468.125,23.546875,3237543936,3309207552,3290624000,92,1380
1790173231733,1504.171875,1480.390625,23.78125,3237814272,3309342720,3290624000,92,1380
1790173232740,1516.71875,1492.8125,23.90625,3237945344,3309473792,3290624000,92,1380
1790173233757,1528.625,1504.640625,23.984375,3241168896,3312693248,3290624000,92,1380
