epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790169696644,64.96875,57.1875,7.78125,1938911232,2014224384,2049822720,100,1409
1790169697651,66.15625,58.21875,7.9375,1978195968,2048671744,2049822720,99,1406
1790169698657,66.921875,58.375,8.546875,1980649472,2063785984,2049822720,97,1402
1790169699663,67,58.40625,8.59375,1980698624,2063720448,2049822720,93,1388
1790169700677,67.078125,58.421875,8.65625,1980764160,2063785984,2049822720,93,1388
1790169701679,67.203125,58.5,8.703125,1979654144,2062659584,2049822720,93,1389
1790169702694,67.234375,58.5,8.734375,1979674624,2062618624,2049822720,91,1382
1790169703699,67.375,58.5625,8.8125,1980047360,2063003648,2049822720,92,1385
1790169704707,67.421875,58.5625,8.859375,1980047360,2063003648,2049822720,92,1385
1790169705714,67.453125,58.5625,8.890625,1979994112,2062893056,2049822720,90,1380
1790169706726,67.53125,58.59375,8.9375,1980461056,2063618048,2049822720,99,1406
1790169707735,67.609375,58.609375,9,1980260352,2063216640,2049822720,92,1386
1790169708738,67.640625,58.625,9.015625,1980227584,2063155200,2049822720,91,1382
1790169709740,67.71875,58.65625,9.0625,1980194816,2063093760,2049822720,90,1379
1790169710742,67.765625,58.671875,9.09375,1980194816,2063093760,2049822720,90,1379
1790169711744,67.84375,58.703125,9.140625,1980293120,2063220736,2049822720,91,1382
1790169712751,67.84375,58.703125,9.140625,1980293120,2063220736,2049822720,91,1382
1790169713761,67.921875,58.71875,9.203125,1980321792,2063278080,2049822720,92,1385
1790169714765,68,58.734375,9.265625,1980325888,2063224832,2049822720,90,1380
1790169715775,68.203125,58.90625,9.296875,1980391424,2063290368,2049822720,90,1380
1790169716785,68.3125,58.96875,9.34375,1980866560,2063949824,2049822720,99,1407
1790169717789,68.4375,59.046875,9.390625,1980690432,2063601664,2049822720,93,1388
1790169718794,68.5,59.0625,9.4375,1980653568,2063536128,2049822720,92,1385
1790169719800,68.546875,59.078125,9.46875,1980555264,2063351808,2049822720,89,1376
1790169720812,68.59375,59.09375,9.5,1980555264,2063351808,2049822720,89,1376
1790169721815,68.65625,59.109375,9.546875,1980555264,2063351808,2049822720,89,1376
1790169722822,68.703125,59.125,9.578125,1980555264,2063351808,2049822720,89,1376
1790169723828,68.75,59.125,9.625,1980555264,2063351808,2049822720,89,1376
1790169724833,68.828125,59.140625,9.6875,1980555264,2063351808,2049822720,89,1376
1790169725848,68.875,59.15625,9.71875,1980555264,2063351808,2049822720,89,1376
1790169726849,68.921875,59.15625,9.765625,1980768256,2063650816,2049822720,92,1385
1790169727849,68.984375,59.171875,9.8125,1980776448,2063601664,2049822720,90,1380
1790169728852,69.09375,59.1875,9.90625,1980751872,2063548416,2049822720,89,1376
1790169729856,69.15625,59.21875,9.9375,1980809216,2063663104,2049822720,91,1382
1790169730876,69.234375,59.25,9.984375,1980751872,2063548416,2049822720,89,1377
1790169731884,69.28125,59.25,10.03125,1980751872,2063548416,2049822720,89,1377
1790169732894,69.34375,59.265625,10.078125,1980788736,2063613952,2049822720,90,1380
1790169733897,69.40625,59.28125,10.125,1980751872,2063548416,2049822720,89,1376
1790169734908,69.453125,59.28125,10.171875,1980751872,2063548416,2049822720,89,1376
1790169735922,69.515625,59.296875,10.21875,1980751872,2063548416,2049822720,89,1376
1790169736928,69.578125,59.296875,10.28125,1980801024,2063597568,2049822720,89,1376
1790169737934,69.859375,59.5,10.359375,1981112320,2063798272,2049822720,90,1379
1790169738941,69.921875,59.515625,10.40625,1981071360,2063728640,2049822720,89,1376
1790169739942,70.03125,59.578125,10.453125,1981079552,2063736832,2049822720,89,1376
1790169740956,70.0625,59.578125,10.484375,1981071360,2063704064,2049822720,88,1372
1790169741963,70.125,59.578125,10.546875,1981054976,2063687680,2049822720,88,1372
1790169742969,70.140625,59.59375,10.546875,1981026304,2063630336,2049822720,87,1369
1790169743977,70.171875,59.59375,10.578125,1980973056,2063548416,2049822720,86,1366
1790169744987,70.21875,59.59375,10.625,1980973056,2063548416,2049822720,86,1366
1790169745992,70.28125,59.59375,10.6875,1980973056,2063548416,2049822720,86,1366
1790169746997,70.375,59.625,10.75,1981104128,2063679488,2049822720,86,1366
1790169748004,70.4375,59.625,10.8125,1981063168,2063601664,2049822720,85,1363
1790169749008,70.484375,59.625,10.859375,1981026304,2063532032,2049822720,83,1359
1790169750017,70.5625,59.640625,10.921875,1981026304,2063532032,2049822720,83,1359
1790169751023,70.65625,59.703125,10.953125,1981026304,2063532032,2049822720,83,1359
1790169752031,70.703125,59.703125,11,1981026304,2063532032,2049822720,83,1359
1790169753038,70.75,59.71875,11.03125,1980973056,2063450112,2049822720,82,1356
1790169754045,70.796875,59.71875,11.078125,1980977152,2063519744,2049822720,82,1356
1790169755052,70.859375,59.71875,11.140625,1980981248,2063519744,2049822720,82,1356
1790169756055,70.90625,59.734375,11.171875,1980981248,2063519744,2049822720,82,1356
