epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790169845998,68.015625,59.890625,8.125,1376239616,1445662720,1464545280,98,1399
1790169847006,69.234375,60.828125,8.40625,1402990592,1471492096,1464545280,97,1396
1790169848014,70.046875,61.078125,8.96875,1406529536,1487859712,1464545280,92,1381
1790169849025,70.140625,61.140625,9,1406611456,1487912960,1464545280,91,1378
1790169850028,70.21875,61.1875,9.03125,1406746624,1488048128,1464545280,91,1378
1790169851049,70.3125,61.25,9.0625,1407385600,1488678912,1464545280,93,1384
1790169852053,70.375,61.265625,9.109375,1407397888,1488633856,1464545280,91,1378
1790169853054,70.484375,61.328125,9.15625,1407737856,1488973824,1464545280,91,1378
1790169854059,70.546875,61.328125,9.21875,1407651840,1488793600,1464545280,88,1369
1790169855080,70.609375,61.34375,9.265625,1407651840,1488793600,1464545280,88,1369
1790169856086,70.703125,61.40625,9.296875,1408020480,1489182720,1464545280,91,1379
1790169857097,70.8125,61.421875,9.390625,1408102400,1489248256,1464545280,91,1379
1790169858106,70.875,61.421875,9.453125,1408077824,1489182720,1464545280,90,1375
1790169859127,70.9375,61.453125,9.484375,1408012288,1489055744,1464545280,88,1369
1790169860129,71,61.453125,9.546875,1408012288,1489055744,1464545280,88,1369
1790169861130,71.046875,61.46875,9.578125,1408012288,1489055744,1464545280,88,1369
1790169862145,71.21875,61.59375,9.625,1408077824,1489121280,1464545280,88,1369
1790169863147,71.34375,61.640625,9.703125,1408143360,1489248256,1464545280,90,1375
1790169864152,71.375,61.65625,9.71875,1408077824,1489121280,1464545280,88,1369
1790169865174,71.421875,61.671875,9.75,1408077824,1489121280,1464545280,88,1369
1790169866182,71.515625,61.71875,9.796875,1408278528,1489321984,1464545280,88,1369
1790169867192,71.59375,61.765625,9.828125,1408241664,1489244160,1464545280,87,1366
1790169868208,71.6875,61.78125,9.90625,1408241664,1489244160,1464545280,87,1366
1790169869220,71.734375,61.78125,9.953125,1408241664,1489244160,1464545280,87,1366
1790169870236,71.828125,61.84375,9.984375,1408692224,1489612800,1464545280,87,1366
1790169871241,71.9375,61.921875,10.015625,1339473920,1420242944,1464545280,90,1375
1790169872253,72,61.953125,10.046875,1339383808,1420058624,1464545280,87,1368
1790169873260,72.0625,61.96875,10.09375,1339387904,1420058624,1464545280,87,1368
1790169874267,72.109375,61.984375,10.125,1339797504,1420468224,1464545280,87,1368
1790169875275,72.171875,62,10.171875,1339797504,1420468224,1464545280,87,1368
1790169876278,72.265625,62.0625,10.203125,1340530688,1421217792,1464545280,89,1374
1790169877299,72.328125,62.0625,10.265625,1340538880,1421164544,1464545280,88,1369
1790169878302,72.40625,62.078125,10.328125,1340538880,1421164544,1464545280,88,1369
1790169879312,72.515625,62.171875,10.34375,1345773568,1426882560,1464545280,89,1372
1790169880318,72.5625,62.171875,10.390625,1345888256,1426948096,1464545280,88,1369
1790169881322,72.625,62.1875,10.4375,1346019328,1427046400,1464545280,87,1366
1790169882331,72.96875,62.453125,10.515625,1372418048,1454919680,1464545280,89,1372
1790169883334,73.015625,62.453125,10.5625,1372344320,1454784512,1464545280,87,1367
1790169884335,73.0625,62.453125,10.609375,1373421568,1455931392,1464545280,88,1370
1790169885344,73.125,62.484375,10.640625,1373384704,1455861760,1464545280,87,1366
1790169886362,73.25,62.5625,10.6875,1373839360,1455845376,1464545280,87,1367
1790169887368,73.28125,62.5625,10.71875,1373806592,1455779840,1464545280,86,1363
1790169888372,73.390625,62.578125,10.8125,1373810688,1455779840,1464545280,86,1363
1790169889379,73.4375,62.609375,10.828125,1373814784,1455779840,1464545280,86,1363
1790169890390,73.484375,62.609375,10.875,1373806592,1455747072,1464545280,85,1359
1790169891395,73.546875,62.625,10.921875,1373814784,1455747072,1464545280,85,1359
1790169892405,73.640625,62.640625,11,1373814784,1455747072,1464545280,85,1359
1790169893425,73.6875,62.640625,11.046875,1373790208,1455665152,1464545280,84,1356
1790169894432,73.734375,62.640625,11.09375,1373790208,1455665152,1464545280,84,1356
1790169895441,73.796875,62.640625,11.15625,1373945856,1455800320,1464545280,84,1356
1790169896443,73.875,62.65625,11.21875,1374044160,1455800320,1464545280,84,1356
1790169897454,73.96875,62.6875,11.28125,1373999104,1455726592,1464545280,83,1353
1790169898459,74,62.6875,11.3125,1373958144,1455656960,1464545280,81,1349
1790169899467,74.109375,62.703125,11.40625,1373958144,1455656960,1464545280,81,1349
1790169900474,74.140625,62.71875,11.421875,1373966336,1455656960,1464545280,81,1349
1790169901488,74.203125,62.734375,11.46875,1374449664,1456046080,1464545280,81,1349
1790169902492,74.25,62.75,11.5,1375588352,1457152000,1464545280,80,1346
1790169903498,74.3125,62.75,11.5625,1375674368,1457217536,1464545280,80,1346
1790169904503,74.359375,62.765625,11.59375,1375752192,1457217536,1464545280,80,1346
