epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790168233399,83.9375,74.578125,9.359375,1625206784,1692610560,1715425280,110,1437
1790168234419,85.859375,76.25,9.609375,1632178176,1700003840,1715425280,107,1428
1790168235427,86.734375,76.53125,10.203125,1633914880,1713483776,1715425280,104,1419
1790168236434,90.953125,80.28125,10.671875,1679912960,1759150080,1715425280,110,1437
1790168237452,91.53125,80.765625,10.765625,1669545984,1748561920,1715425280,103,1416
1790168238464,91.671875,80.859375,10.8125,1669615616,1748692992,1715425280,105,1422
1790168239473,92,81.140625,10.859375,1640554496,1719304192,1715425280,103,1417
1790168240477,92.265625,81.3125,10.953125,1640828928,1719746560,1715425280,110,1439
1790168241492,94.015625,82.84375,11.171875,1597693952,1677430784,1715425280,107,1428
1790168242502,94.0625,82.84375,11.21875,1597509632,1677049856,1715425280,101,1410
1790168243509,94.15625,82.890625,11.265625,1601564672,1681379328,1715425280,102,1413
1790168244515,94.25,82.921875,11.328125,1534066688,1615958016,1715425280,101,1410
1790168245524,96.75,85.15625,11.59375,1713713152,1798303744,1723351040,110,1437
1790168246532,96.828125,85.21875,11.609375,1700933632,1783996416,1723351040,107,1429
1790168247548,96.859375,85.21875,11.640625,1700933632,1783996416,1723351040,107,1429
1790168248552,96.984375,85.265625,11.71875,1700806656,1783652352,1723351040,102,1413
1790168249559,97.59375,85.78125,11.8125,1643974656,1723793408,1723351040,104,1420
1790168250568,98.4375,86.515625,11.921875,1641934848,1721368576,1723351040,103,1416
1790168251583,98.5,86.53125,11.96875,1641934848,1721339904,1723351040,103,1418
1790168252598,98.59375,86.578125,12.015625,1641889792,1721262080,1723351040,102,1413
1790168253606,98.6875,86.625,12.0625,1641869312,1721212928,1723351040,101,1410
1790168254614,99.59375,87.453125,12.140625,1642790912,1721606144,1723351040,103,1416
1790168255622,99.734375,87.53125,12.203125,1642631168,1721327616,1723351040,99,1404
1790168256633,99.828125,87.578125,12.25,1642631168,1721327616,1723351040,99,1404
1790168257635,99.890625,87.59375,12.296875,1642631168,1721327616,1723351040,99,1404
1790168258646,100.859375,88.390625,12.46875,1650900992,1730166784,1723351040,102,1413
1790168259649,101.28125,88.765625,12.515625,1642897408,1721610240,1723351040,100,1407
1790168260658,101.359375,88.8125,12.546875,1642897408,1721610240,1723351040,100,1407
1790168261668,101.421875,88.828125,12.59375,1642897408,1721610240,1723351040,100,1407
1790168262677,101.484375,88.84375,12.640625,1642942464,1721663488,1723351040,101,1410
1790168263682,102.5625,89.828125,12.734375,1643347968,1721659392,1723351040,99,1404
1790168264684,102.625,89.859375,12.765625,1643347968,1721659392,1723351040,99,1404
1790168265693,102.8125,89.90625,12.90625,1643409408,1721659392,1723351040,99,1405
1790168266701,102.859375,89.921875,12.9375,1643470848,1721778176,1723351040,101,1411
1790168267720,103.625,90.59375,13.03125,1643765760,1721884672,1723351040,100,1407
1790168268729,103.734375,90.65625,13.078125,1643704320,1721790464,1723351040,99,1404
1790168269736,103.96875,90.828125,13.140625,1643704320,1721790464,1723351040,99,1404
1790168270740,104.015625,90.828125,13.1875,1643704320,1721790464,1723351040,99,1404
1790168271745,104.09375,90.859375,13.234375,1643749376,1721856000,1723351040,100,1407
1790168272755,104.1875,90.90625,13.28125,1643782144,1721909248,1723351040,101,1410
1790168273769,104.3125,90.984375,13.328125,1643724800,1721790464,1723351040,99,1405
1790168274771,104.34375,90.984375,13.359375,1643675648,1722761216,1723351040,98,1401
1790168275776,104.421875,91.046875,13.375,1643696128,1721733120,1723351040,98,1401
1790168276781,104.5,91.0625,13.4375,1643708416,1721733120,1723351040,98,1401
1790168277785,104.578125,91.109375,13.46875,1643712512,1721733120,1723351040,98,1401
1790168278795,104.609375,91.109375,13.5,1643704320,1721700352,1723351040,97,1397
1790168279800,104.765625,91.21875,13.546875,1643765760,1721700352,1723351040,97,1397
1790168280806,104.828125,91.21875,13.609375,1643679744,1721585664,1723351040,96,1394
1790168281815,104.875,91.21875,13.65625,1643679744,1721585664,1723351040,96,1394
1790168282819,104.96875,91.265625,13.703125,1643704320,1721585664,1723351040,96,1394
1790168283826,105.125,91.375,13.75,1643765760,1721708544,1723351040,98,1400
1790168284841,105.203125,91.40625,13.796875,1643659264,1721511936,1723351040,95,1392
1790168285849,105.296875,91.453125,13.84375,1643659264,1721511936,1723351040,95,1392
1790168286853,105.390625,91.46875,13.921875,1643618304,1721442304,1723351040,93,1388
1790168287867,105.640625,91.6875,13.953125,1643618304,1721442304,1723351040,93,1388
1790168288873,105.71875,91.71875,14,1643618304,1721442304,1723351040,93,1388
1790168289878,105.765625,91.71875,14.046875,1643548672,1721344000,1723351040,92,1384
1790168290884,105.796875,91.71875,14.078125,1643552768,1721344000,1723351040,92,1384
1790168291890,105.90625,91.78125,14.125,1643552768,1721344000,1723351040,92,1384
1790168292898,105.953125,91.78125,14.171875,1643667456,1721344000,1723351040,92,1384
