epoch_ms,cpu_s,user_s,kernel_s,working_set_bytes,private_bytes,peak_working_set_bytes,threads,handles
1790168382368,81.828125,72.234375,9.59375,1771847680,1825648640,1857531904,110,1435
1790168383391,83.6875,73.796875,9.890625,1777917952,1832443904,1857531904,110,1436
1790168384396,84.640625,74.140625,10.5,1780224000,1846366208,1857531904,105,1420
1790168385400,87.65625,76.8125,10.84375,1845207040,1911914496,1857531904,110,1436
1790168386406,91.4375,80.40625,11.03125,1972572160,2040651776,2017628160,108,1430
1790168387415,91.546875,80.4375,11.109375,1819766784,1886466048,2017628160,101,1409
1790168388423,91.75,80.5625,11.1875,1820319744,1887047680,2017628160,103,1415
1790168389430,91.828125,80.578125,11.25,1820229632,1886863360,2017628160,100,1405
1790168390431,94.53125,83,11.53125,1822519296,1888980992,2017628160,107,1427
1790168391437,94.6875,83.109375,11.578125,1822511104,1888911360,2017628160,105,1421
1790168392442,94.8125,83.1875,11.625,1708810240,1786834944,2017628160,104,1417
1790168393446,94.90625,83.21875,11.6875,1708785664,1786580992,2017628160,100,1405
1790168394449,96.53125,84.53125,12,1814802432,1883693056,2017628160,109,1432
1790168395458,97.015625,85,12.015625,1810452480,1878437888,2017628160,101,1408
1790168396464,97.140625,85.078125,12.0625,1807425536,1875324928,2017628160,100,1405
1790168397478,97.21875,85.125,12.09375,1807527936,1875460096,2017628160,101,1408
1790168398481,97.3125,85.15625,12.15625,1807495168,1875394560,2017628160,100,1405
1790168399490,97.53125,85.265625,12.265625,1807974400,1875734528,2017628160,104,1417
1790168400500,97.609375,85.296875,12.3125,1807863808,1875533824,2017628160,101,1408
1790168401508,97.671875,85.328125,12.34375,1807941632,1875599360,2017628160,101,1408
1790168402526,97.734375,85.34375,12.390625,1808039936,1875714048,2017628160,102,1411
1790168403529,97.921875,85.40625,12.515625,1808179200,1875714048,2017628160,100,1406
1790168404548,98.015625,85.421875,12.59375,1808179200,1875714048,2017628160,100,1406
1790168405552,98.109375,85.46875,12.640625,1808232448,1875714048,2017628160,100,1406
1790168406552,98.171875,85.46875,12.703125,1808195584,1875644416,2017628160,99,1402
1790168407558,98.25,85.5,12.75,1808195584,1875644416,2017628160,99,1402
1790168408566,98.5,85.65625,12.84375,1810345984,1877839872,2017628160,101,1408
1790168409572,98.59375,85.703125,12.890625,1810264064,1877696512,2017628160,99,1402
1790168410579,98.640625,85.703125,12.9375,1810264064,1877696512,2017628160,99,1402
1790168411584,98.703125,85.71875,12.984375,1810407424,1877934080,2017628160,102,1411
1790168412593,98.953125,85.875,13.078125,1810628608,1878147072,2017628160,103,1415
1790168413602,99.015625,85.90625,13.109375,1810591744,1878020096,2017628160,100,1407
1790168414607,99.125,85.96875,13.15625,1810567168,1877962752,2017628160,99,1402
1790168415614,99.265625,86.03125,13.234375,1810599936,1878028288,2017628160,100,1405
1790168416626,99.6875,86.40625,13.28125,1812668416,1879998464,2017628160,99,1402
1790168417631,99.75,86.4375,13.3125,1812668416,1879998464,2017628160,99,1402
1790168418635,99.984375,86.640625,13.34375,1813712896,1881088000,2017628160,101,1408
1790168419642,100.03125,86.640625,13.390625,1813741568,1881088000,2017628160,100,1405
1790168420648,100.4375,86.96875,13.46875,1813848064,1881223168,2017628160,101,1408
1790168421656,100.5,87,13.5,1813811200,1881157632,2017628160,100,1405
1790168422659,100.703125,87.125,13.578125,1815076864,1883324416,2017628160,101,1408
1790168423666,100.734375,87.140625,13.59375,1815019520,1882185728,2017628160,100,1405
1790168424671,100.828125,87.1875,13.640625,1814941696,1882046464,2017628160,98,1399
1790168425675,100.9375,87.21875,13.71875,1814941696,1882046464,2017628160,98,1399
1790168426686,101.015625,87.265625,13.75,1814933504,1882013696,2017628160,97,1395
1790168427690,101.109375,87.296875,13.8125,1814999040,1882079232,2017628160,97,1395
1790168428698,101.34375,87.421875,13.921875,1817153536,1884360704,2017628160,101,1407
1790168429709,101.421875,87.453125,13.96875,1816965120,1884020736,2017628160,96,1392
1790168430713,101.5,87.484375,14.015625,1816965120,1884020736,2017628160,96,1392
1790168431717,101.5625,87.515625,14.046875,1817022464,1884139520,2017628160,98,1398
1790168432722,101.609375,87.515625,14.09375,1817030656,1884086272,2017628160,96,1392
1790168433727,101.6875,87.546875,14.140625,1816981504,1884004352,2017628160,95,1389
1790168434730,101.75,87.5625,14.1875,1816981504,1884004352,2017628160,95,1389
1790168435738,101.8125,87.5625,14.25,1816940544,1883934720,2017628160,93,1385
1790168436743,102.140625,87.796875,14.34375,1816940544,1883934720,2017628160,93,1385
1790168437749,102.21875,87.796875,14.421875,1816940544,1883934720,2017628160,93,1385
1790168438756,102.3125,87.84375,14.46875,1816883200,1883848704,2017628160,92,1382
1790168439764,102.359375,87.859375,14.5,1816883200,1883848704,2017628160,92,1382
1790168440772,102.515625,87.953125,14.5625,1817968640,1884934144,2017628160,92,1382
1790168441780,102.578125,87.984375,14.59375,1818157056,1885126656,2017628160,93,1385
