fluid,set,T,P_MPa,Tr,Pr,phase,band,rho_ref,cp_ref,h_ref,lnphi_ref,drho_a,dcp_a,dh_a,dlnphi_a,mismatch_a,dh_pct_a,drho_b,dcp_b,dh_b,dlnphi_b,mismatch_b,dh_pct_b
Nitrogen,isobar,66.9892,0.1,0.530852,0.0294481,liquid-like,0,30393.9,56.2168,-12675.3,-1.42712,-0.595712,-7.58248,99.3106,0.0331264,0,0.7835,1.0674,-7.58248,99.2562,0.0330286,0,0.783071
Nitrogen,isobar,70.8275,0.1,0.561268,0.0294481,liquid-like,0,29809.8,56.4852,-12459,-0.853542,-0.353235,-6.77201,83.7647,0.0242231,0,0.672323,1.28542,-6.77201,83.7102,0.0241306,0,0.671886
Nitrogen,isobar,74.6657,0.1,0.591683,0.0294481,liquid-like,0,29208.2,56.8542,-12241.5,-0.348112,-0.164359,-5.8247,70.0438,0.0175166,0,0.572183,1.44684,-5.8247,69.9894,0.0174289,0,0.571738
Nitrogen,isobar,76.7435,0.1,0.608149,0.0294481,liquid-like,0,28874.3,57.1071,-12123.1,-0.0991964,-0.08791,-5.25443,63.4819,0.0146074,0,0.523643,1.50703,-5.25443,63.4274,0.0145221,0,0.523194
Nitrogen,isobar,77.7435,0.1,0.616073,0.0294481,vapour-like,0,161.464,31.4006,-6495.21,-0.0408627,-0.269672,-3.78168,16.8457,0.0022295,0,0.259356,-0.260924,-3.78168,16.7913,0.00214524,0,0.258518
Nitrogen,isobar,78.5039,0.1,0.622099,0.0294481,vapour-like,0,159.692,31.3112,-6471.36,-0.0396848,-0.240361,-3.58902,15.9672,0.00198369,0,0.246737,-0.231704,-3.58902,15.9128,0.00190024,0,0.245895
Nitrogen,isobar,82.3422,0.1,0.652515,0.0294481,vapour-like,0,151.374,30.931,-6351.95,-0.0344124,-0.122677,-2.78099,12.1877,0.000982252,0,0.191873,-0.114452,-2.78099,12.1332,0.000902698,0,0.191016
Nitrogen,isobar,86.1804,0.1,0.682931,0.0294481,vapour-like,0,143.957,30.6406,-6233.81,-0.0300686,-0.0426854,-2.18108,9.27296,0.000286785,0,0.148753,-0.0348508,-2.18108,9.2185,0.000210774,0,0.147879
Nitrogen,isobar,90.0186,0.1,0.713347,0.0294481,vapour-like,0,137.288,30.4137,-6116.65,-0.0264482,0.0118419,-1.72706,6.99535,-0.000195486,0,0.114366,0.0193217,-1.72706,6.94088,-0.000268256,0,0.113475
Nitrogen,isobar,93.8569,0.1,0.743763,0.0294481,vapour-like,0,131.251,30.233,-6000.28,-0.0233998,0.0488442,-1.37831,5.19689,-0.00052734,0,0.0866108,0.0560003,-1.37831,5.14242,-0.000597134,0,0.0857031
Nitrogen,isobar,97.6951,0.1,0.774178,0.0294481,vapour-like,0,125.752,30.0868,-5884.53,-0.0208101,0.0736184,-1.10709,3.76474,-0.00075205,0,0.063977,0.0804781,-1.10709,3.71028,-0.000819102,0,0.0630514
Nitrogen,isobar,101.533,0.1,0.804594,0.0294481,vapour-like,0,120.719,29.967,-5769.28,-0.0185923,0.0897738,-0.893902,2.61648,-0.000899898,0,0.045352,0.0963611,-0.893902,2.56202,-0.000964416,0,0.0444079
Nitrogen,isobar,105.372,0.1,0.83501,0.0294481,vapour-like,0,116.091,29.8676,-5654.46,-0.0166795,0.0998118,-0.72474,1.69081,-0.000992352,0,0.0299022,0.106148,-0.72474,1.63634,-0.00105452,0,0.028939
Nitrogen,isobar,109.21,0.1,0.865426,0.0294481,vapour-like,0,111.819,29.7843,-5539.99,-0.0150191,0.10549,-0.589389,0.941427,-0.00104479,0,0.0169933,0.111594,-0.589389,0.886961,-0.00110478,0,0.0160102
Nitrogen,isobar,113.048,0.1,0.895842,0.0294481,vapour-like,0,107.862,29.7138,-5425.81,-0.0135693,0.108059,-0.480281,0.332925,-0.00106835,0,0.00613596,0.113947,-0.480281,0.27846,-0.00112629,0,0.00513214
Nitrogen,isobar,116.886,0.1,0.926258,0.0294481,vapour-like,0,104.184,29.6536,-5311.88,-0.0122966,0.108415,-0.391728,-0.162105,-0.00107113,0,-0.00305174,0.114102,-0.391728,-0.21657,-0.00112717,0,-0.00407709
Nitrogen,isobar,120.725,0.1,0.956673,0.0294481,vapour-like,0,100.755,29.6019,-5198.16,-0.011174,0.107208,-0.319427,-0.565096,-0.00105907,0,-0.0108711,0.112708,-0.319427,-0.619561,-0.00111333,0,-0.0119189
Nitrogen,isobar,124.563,0.1,0.987089,0.0294481,vapour-like,0,97.5518,29.5572,-5084.63,-0.0101792,0.104911,-0.260078,-0.892971,-0.00103656,0,-0.0175622,0.110236,-0.260078,-0.947436,-0.00108915,0,-0.0186333
Nitrogen,isobar,128.401,0.1,1.01751,0.0294481,vapour-like,0,94.5504,29.5182,-4971.26,-0.0092942,0.10187,-0.211128,-1.1592,-0.00100685,0,-0.0233181,0.10703,-0.211128,-1.21367,-0.00105786,0,-0.0244137
Nitrogen,isobar,132.239,0.1,1.04792,0.0294481,vapour-like,0,91.7323,29.484,-4858.03,-0.00850376,0.0983371,-0.170581,-1.3746,-0.000972322,0,-0.0282954,0.103343,-0.170581,-1.42907,-0.00102186,0,-0.0294166
Nitrogen,isobar,136.077,0.1,1.07834,0.0294481,vapour-like,0,89.0808,29.4539,-4744.92,-0.00779529,0.0945,-0.136871,-1.5479,-0.000934771,0,-0.0326222,0.0993612,-0.136871,-1.60236,-0.00098291,0,-0.0337701
Nitrogen,isobar,139.916,0.1,1.10875,0.0294481,vapour-like,0,86.5812,29.4272,-4631.92,-0.00715821,0.0904949,-0.108752,-1.6862,-0.000895511,0,-0.0364039,0.0952193,-0.108752,-1.74066,-0.00094233,0,-0.0375798
Nitrogen,isobar,143.754,0.1,1.13917,0.0294481,vapour-like,0,84.2204,29.4035,-4519.02,-0.00658355,0.0864218,-0.0852309,-1.79531,-0.000855515,0,-0.039728,0.0910171,-0.0852309,-1.84978,-0.000901084,0,-0.0409332
Nitrogen,isobar,147.592,0.1,1.16958,0.0294481,vapour-like,0,81.9871,29.3823,-4406.2,-0.00606372,0.0823534,-0.0655102,-1.88002,-0.000815496,0,-0.0426676,0.0868264,-0.0655102,-1.93449,-0.00085988,0,-0.0439037
Nitrogen,isobar,151.43,0.1,1.2,0.0294481,vapour-like,0,79.871,29.3633,-4293.46,-0.00559222,0.0783418,-0.048944,-1.94427,-0.000775972,0,-0.0452844,0.082699,-0.048944,-1.99873,-0.000819231,0,-0.046553
Nitrogen,isobar,66.9892,0.5,0.530852,0.147241,liquid-like,0,30421,56.1445,-12666.4,-3.01294,-0.605821,-7.63205,99.9865,0.0332693,0,0.789381,1.05846,-7.63205,99.7142,0.0327804,0,0.787231
Nitrogen,isobar,70.8275,0.5,0.561268,0.147241,liquid-like,0,29840.1,56.3974,-12450.5,-2.44021,-0.359858,-6.83497,84.3416,0.0243047,0,0.677416,1.28027,-6.83497,84.0693,0.0238423,0,0.675229
Nitrogen,isobar,74.6657,0.5,0.591683,0.147241,liquid-like,0,29242.1,56.7465,-12233.4,-1.9355,-0.166134,-5.90503,70.4895,0.0175533,0,0.576206,1.44691,-5.90503,70.2172,0.0171146,0,0.57398
Nitrogen,isobar,78.5039,0.5,0.622099,0.147241,liquid-like,0,28624.5,57.2223,-12014.7,-1.48852,-0.0341533,-4.84156,58.7162,0.0124748,0,0.488703,1.54849,-4.84156,58.4439,0.0120576,0,0.486436
Nitrogen,isobar,82.3422,0.5,0.652515,0.147241,liquid-like,0,27983.7,57.8629,-11793.9,-1.09091,0.024269,-3.6347,49.333,0.00862884,0,0.418292,1.57275,-3.6347,49.0606,0.00823107,0,0.415983
Nitrogen,isobar,86.1804,0.5,0.682931,0.147241,liquid-like,0,27314.9,58.7214,-11570.2,-0.735912,-0.0059229,-2.26448,42.7067,0.00564995,0,0.369108,1.50408,-2.26448,42.4343,0.00526989,0,0.366754
Nitrogen,isobar,90.0186,0.5,0.713347,0.147241,liquid-like,0,26611.8,59.876,-11342.8,-0.417955,-0.144577,-0.696706,39.3023,0.00322764,0,0.346497,1.32188,-0.696706,39.03,0.00286379,0,0.344096
Nitrogen,isobar,93.495,0.5,0.740895,0.147241,liquid-like,0,25937.8,61.2788,-11132.3,-0.158102,-0.386437,0.941407,39.5247,0.00128546,0,0.355045,1.03538,0.941407,39.2523,0.000935138,0,0.352599
Nitrogen,isobar,94.495,0.5,0.748819,0.147241,vapour-like,0,731.059,37.3001,-6227.49,-0.120705,-0.0485942,-9.01449,36.1135,-0.00158369,0,0.579905,-0.00879974,-9.01449,35.8412,-0.00193031,0,0.575532
Nitrogen,isobar,97.6951,0.5,0.774178,0.147241,vapour-like,0,695.868,35.9709,-6110.37,-0.108737,0.178816,-7.08514,26.742,-0.00288704,0,0.437649,0.216867,-7.08514,26.4696,-0.00322231,0,0.433192
Nitrogen,isobar,101.533,0.5,0.804594,0.147241,vapour-like,0,659.13,34.812,-5974.64,-0.0964952,0.347446,-5.43989,18.3004,-0.00392789,0,0.306301,0.383608,-5.43989,18.028,-0.00425048,0,0.301743
Nitrogen,isobar,105.372,0.5,0.83501,0.147241,vapour-like,0,627.006,33.9491,-5842.76,-0.0860956,0.44634,-4.24919,11.9473,-0.00457589,0,0.204481,0.480808,-4.24919,11.675,-0.00488672,0,0.19982
Nitrogen,isobar,109.21,0.5,0.865426,0.147241,vapour-like,0,598.523,33.2812,-5713.79,-0.0771764,0.501815,-3.35653,7.06713,-0.00495422,0,0.123686,0.534753,-3.35653,6.7948,-0.00525414,0,0.118919
Nitrogen,isobar,113.048,0.5,0.895842,0.147241,vapour-like,0,572.994,32.75,-5587.1,-0.0694646,0.529417,-2.67107,3.2663,-0.0051453,0,0.0584615,0.560967,-2.67107,2.99398,-0.00543502,0,0.0535873
Nitrogen,isobar,116.886,0.5,0.926258,0.147241,vapour-like,0,549.913,32.3185,-5462.25,-0.0627498,0.538818,-2.13543,0.278522,-0.0052057,0,0.00509903,0.569102,-2.13543,0.00619542,-0.00548591,0,0.000113422
Nitrogen,isobar,120.725,0.5,0.956673,0.147241,vapour-like,0,528.895,31.9623,-5338.91,-0.0568666,0.536257,-1.71146,-2.08443,-0.00517505,0,-0.0390422,0.565382,-1.71146,-2.35675,-0.00544635,0,-0.044143
Nitrogen,isobar,124.563,0.5,0.987089,0.147241,vapour-like,0,509.64,31.6643,-5216.82,-0.0516835,0.525866,-1.37244,-3.95978,-0.00508144,0,-0.0759042,0.553924,-1.37244,-4.23211,-0.00534439,0,-0.0811243
