node,pressure_ref_Pa,pressure_rel,temperature_dK,mass_rel,hc_moles_rel,liquid_volume_rel,water_volume_rel,vapor_volume_rel,kappa_eos_per_Pa,pressure_term,anchor_term,first_order_liquid_rel,exact_formulation_rel,check_residual_of_deviation,water_kappa_per_Pa,water_first_order_rel
1,150647.264202,1.6338e-07,3.8942e-06,2.8084e-05,2.8084e-05,1.0247e-03,-9.3158e-04,-4.5532e-05,1.2439e-09,4.5105e-04,5.9169e-04,1.0708e-03,9.8886e-04,0.0451,4.5653e-10,-1.0051e-03
2,150503.865595,2.2596e-07,4.3409e-06,2.8313e-05,2.8313e-05,1.0249e-03,-9.3113e-04,-4.5438e-05,1.2438e-09,4.5096e-04,5.9179e-04,1.0711e-03,9.8887e-04,0.0450,4.5653e-10,-1.0051e-03
3,150124.400959,2.1803e-08,5.7097e-07,2.8376e-05,2.8376e-05,1.0250e-03,-9.3076e-04,-4.5166e-05,1.2436e-09,4.5070e-04,5.9204e-04,1.0712e-03,9.8886e-04,0.0450,4.5656e-10,-1.0053e-03
4,149703.735019,-1.4731e-07,-2.9521e-06,2.8537e-05,2.8537e-05,1.0252e-03,-9.3019e-04,-4.4867e-05,1.2434e-09,4.5044e-04,5.9233e-04,1.0713e-03,9.8886e-04,0.0450,4.5658e-10,-1.0055e-03
5,149517.957462,-2.8123e-07,-6.0395e-06,2.8579e-05,2.8579e-05,1.0254e-03,-9.2984e-04,-4.4718e-05,1.2434e-09,4.5048e-04,5.9249e-04,1.0716e-03,9.8905e-04,0.0450,4.5661e-10,-1.0055e-03
6,149518.525611,-2.7665e-07,-5.9502e-06,2.8583e-05,2.8583e-05,1.0254e-03,-9.2984e-04,-4.4719e-05,1.2434e-09,4.5048e-04,5.9249e-04,1.0716e-03,9.8905e-04,0.0450,4.5661e-10,-1.0055e-03
7,149708.810871,-1.2738e-07,-2.6321e-06,2.8558e-05,2.8558e-05,1.0252e-03,-9.3017e-04,-4.4872e-05,1.2434e-09,4.5043e-04,5.9232e-04,1.0713e-03,9.8885e-04,0.0450,4.5658e-10,-1.0055e-03
8,150118.849488,7.3586e-08,1.3834e-06,2.8446e-05,2.8446e-05,1.0250e-03,-9.3068e-04,-4.5168e-05,1.2436e-09,4.5067e-04,5.9204e-04,1.0712e-03,9.8882e-04,0.0450,4.5655e-10,-1.0053e-03
9,150439.528500,1.3917e-07,3.4966e-06,2.8206e-05,2.8206e-05,1.0247e-03,-9.3134e-04,-4.5398e-05,1.2437e-09,4.5079e-04,5.9181e-04,1.0708e-03,9.8872e-04,0.0451,4.5653e-10,-1.0052e-03
10,150469.864552,1.9276e-07,5.1282e-06,2.8187e-05,2.8187e-05,1.0244e-03,-9.3154e-04,-4.5438e-05,1.2436e-09,4.5061e-04,5.9175e-04,1.0706e-03,9.8849e-04,0.0451,4.5651e-10,-1.0052e-03
