interval 1: warm 247.730 K 1259156 Pa | cold 144.431 K 1050641 Pa liquid false crystal 9.522897e-02 | substeps 3 rejected 0
interval 2: warm 245.840 K 1225882 Pa | cold 148.034 K 1092660 Pa liquid false crystal 1.818378e-01 | substeps 1 rejected 0
interval 3: warm 244.355 K 1200174 Pa | cold 150.653 K 1124301 Pa liquid false crystal 2.407501e-01 | substeps 1 rejected 0
interval 4: warm 243.273 K 1181696 Pa | cold 152.441 K 1146556 Pa liquid false crystal 2.782087e-01 | substeps 1 rejected 0
interval 5: warm 242.593 K 1170198 Pa | cold 153.514 K 1160190 Pa liquid false crystal 2.993256e-01 | substeps 1 rejected 0
interval 6: warm 242.325 K 1165684 Pa | cold 153.927 K 1165496 Pa liquid false crystal 3.071444e-01 | substeps 2 rejected 1
interval 7: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 26 rejected 12
interval 8: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 2 rejected 0
interval 9: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 4 rejected 1
interval 10: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 4 rejected 1
interval 11: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 12: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 13: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 4 rejected 1
interval 14: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 15: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 4 rejected 1
interval 16: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 17: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 18: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 19: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 20: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 21: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 22: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 23: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 24: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 25: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 26: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 27: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 28: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 29: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 30: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 31: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 32: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 33: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 34: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 35: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 36: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 37: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 38: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 39: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
interval 40: warm 242.320 K 1165597 Pa | cold 153.935 K 1165597 Pa liquid false crystal 3.072911e-01 | substeps 1 rejected 0
