# Jaubert, Qian, Lasala, Privat 2022, Fluid Phase Equilibria 560, 113456, Supporting Information Table S4 (file 1-s2.0-S0378381222000814-mmc1.docx).
# Group-binary interaction parameters Akl = Alk and Bkl = Blk in MPa (E-PPR78 convention), lower triangle as printed; NA = not available in the table; the diagonal is 0.
# Extracted 2026-09-25 from the MathType previews (WMF text records) of the docx by tools/eppr78-table-s4-extraction; every one of the 820 lower-triangle cells parsed.
k	l	group_k	group_l	Akl_MPa	Bkl_MPa
1	1	CH3	CH3	0	0
2	1	CH2	CH3	65.54	105.7
2	2	CH2	CH2	0	0
3	1	CH	CH3	214.9	294.9
3	2	CH	CH2	39.05	41.59
3	3	CH	CH	0	0
4	1	C	CH3	431.6	575.0
4	2	C	CH2	134.5	183.9
4	3	C	CH	-86.13	85.10
4	4	C	C	0	0
5	1	CH4	CH3	28.48	20.25
5	2	CH4	CH2	37.75	74.81
5	3	CH4	CH	131.4	157.5
5	4	CH4	C	309.5	35.69
5	5	CH4	CH4	0	0
6	1	C2H6	CH3	3.775	8.922
6	2	C2H6	CH2	29.85	65.88
6	3	C2H6	CH	156.1	96.77
6	4	C2H6	C	388.1	-224.8
6	5	C2H6	CH4	9.951	13.73
6	6	C2H6	C2H6	0	0
7	1	CHaro	CH3	98.83	136.2
7	2	CHaro	CH2	25.05	64.51
7	3	CHaro	CH	56.62	129.7
7	4	CHaro	C	170.5	284.1
7	5	CHaro	CH4	67.26	167.5
7	6	CHaro	C2H6	41.18	50.79
7	7	CHaro	CHaro	0	0
8	1	Caro	CH3	103.60	103.60
8	2	Caro	CH2	5.147	-7.549
8	3	Caro	CH	48.73	-89.22
8	4	Caro	C	128.3	189.1
8	5	Caro	CH4	106.7	190.8
8	6	Caro	C2H6	67.94	210.7
8	7	Caro	CHaro	-16.47	16.47
8	8	Caro	Caro	0	0
9	1	Cfused aromatic rings	CH3	624.9	774.10
9	2	Cfused aromatic rings	CH2	-17.84	-4.118
9	3	Cfused aromatic rings	CH	NA	NA
9	4	Cfused aromatic rings	C	NA	NA
9	5	Cfused aromatic rings	CH4	249.1	408.3
9	6	Cfused aromatic rings	C2H6	NA	NA
9	7	Cfused aromatic rings	CHaro	52.50	251.2
9	8	Cfused aromatic rings	Caro	-328.0	-569.3
9	9	Cfused aromatic rings	Cfused aromatic rings	0	0
10	1	CH2,cyclic	CH3	43.58	60.05
10	2	CH2,cyclic	CH2	8.579	27.79
10	3	CH2,cyclic	CH	73.09	71.37
10	4	CH2,cyclic	C	208.6	294.4
10	5	CH2,cyclic	CH4	33.97	5.490
10	6	CH2,cyclic	C2H6	12.70	73.43
10	7	CH2,cyclic	CHaro	28.82	65.54
10	8	CH2,cyclic	Caro	37.40	53.53
10	9	CH2,cyclic	Cfused aromatic rings	140.7	277.6
10	10	CH2,cyclic	CH2,cyclic	0	0
11	1	CHcyclic/Ccyclic	CH3	293.4	170.9
11	2	CHcyclic/Ccyclic	CH2	63.48	-74.46
11	3	CHcyclic/Ccyclic	CH	-120.8	18.53
11	4	CHcyclic/Ccyclic	C	25.05	81.33
11	5	CHcyclic/Ccyclic	CH4	188.0	473.9
11	6	CHcyclic/Ccyclic	C2H6	118.0	-212.8
11	7	CHcyclic/Ccyclic	CHaro	129.0	36.72
11	8	CHcyclic/Ccyclic	Caro	-99.17	-193.5
11	9	CHcyclic/Ccyclic	Cfused aromatic rings	-99.17	-193.5
11	10	CHcyclic/Ccyclic	CH2,cyclic	139.0	35.69
11	11	CHcyclic/Ccyclic	CHcyclic/Ccyclic	0	0
12	1	CO2	CH3	144.8	401.5
12	2	CO2	CH2	141.4	237.1
12	3	CO2	CH	191.8	380.9
12	4	CO2	C	377.5	162.7
12	5	CO2	CH4	136.6	214.8
12	6	CO2	C2H6	136.2	235.7
12	7	CO2	CHaro	98.48	253.6
12	8	CO2	Caro	154.4	374.4
12	9	CO2	Cfused aromatic rings	331.1	276.6
12	10	CO2	CH2,cyclic	144.1	354.1
12	11	CO2	CHcyclic/Ccyclic	216.2	-132.8
12	12	CO2	CO2	0	0
13	1	N2	CH3	38.09	88.19
13	2	N2	CH2	83.73	188.7
13	3	N2	CH	383.6	375.4
13	4	N2	C	341.8	635.2
