# Le T.T., Trebble M.A. (2007). Measurement of Carbon Dioxide Freezing in Mixtures of Methane, Ethane, and Nitrogen in the
# Solid-Vapor Equilibrium Region. J. Chem. Eng. Data 52(3), 683-686. DOI 10.1021/je060194j (paywalled; not read).
# Frost points (solid CO2 + vapour), non-sampling visual observation. TRC files the frost temperature as
# 'Solid-liquid equilibrium temperature' between a fluid and crystal CO2. Set 1: CH4 + CO2, 55 points, x_CO2 0.01 to 0.0293,
# 962.1 to 3008.2 kPa, 168.6 to 187.7 K. Set 2: + C2H6, 24 points. Set 3: + N2, 24 points (x_CO2 = 0.0194 as a constraint).
# DEFECT IN THE TRC FILE (sets 2 and 3): the column labelled Mole fraction[C2H6] (set 2) or [N2] (set 3) holds 0.9605 to
# 0.9706, which is physically the CH4 fraction (the paper adds 1 to 2 % C2H6 or N2 at 2 % CO2; Riva 2016 thesis Table 3.11
# gives y_N2 = 0.01 to 0.02). The C2H6 or N2 fraction is then 1 - x_CO2 - value. Verify against the paper before use.
# Holdout role: P5 context (CO2 frost points in CH4-rich gas) and P4 context (N2 as a minor component); no CO2 + N2 binary.
# Source: NIST TRC ThermoML Archive (IUPAC ThermoML), https://trc.nist.gov/ThermoML/10.1021/je060194j.xml, retrieved 2026-09-25;
# archive DOI 10.18434/mds2-2422. TRC terms: no warranty by the publisher, editors or NIST/TRC; TRC requests that works
# using ThermoML Archive data cite them. The XML is TRC's compilation of the paper's tables, not the paper itself.
# Flattened with thermoml_to_tsv.py (this folder): one row per property value, digits exactly as in the XML.
# U95 = nCombExpandUncertValue, expanded uncertainty at 95 % assessed by the TRC data-file compiler (not the authors' own
# statement unless the paper gives the same number). Labels abbreviated: fluid/liquid/gas/crystal, CO2/CH4/N2/C2H6.
# Transcribed 2026-09-25, batch 2026-09-24-coolprop-low-temperature.
# XML file: thermoml/le-trebble-2007-jced-52-683-je060194j.xml (sha256 451eea612430b0660acad39f1057be6ac578e5ec958ed71077dfb1dcd7efd9d9)
set	system	phases	property	method	value	U95	Mole fraction[CO2]@fluid	Pressure, kPa@fluid	Mole fraction[C2H6]@fluid	constraint:Mole fraction[CO2]@fluid	Mole fraction[N2]@fluid
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	168.6	1.2	0.01	962.1			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	171	1.6	0.01	1103.8			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	170.5	1.6	0.01	1109.5			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	170.7	1.2	0.01	1141.3			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	171.1	1.3	0.01	1149.3			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	173.4	1.2	0.01	1319			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	173.7	1.2	0.01	1426			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	173.6	1.2	0.01	1435.2			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	175.1	1.2	0.01	1694.1			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	175.2	1.2	0.01	1708.3			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	175.5	1.2	0.01	1809.1			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	176.3	1.3	0.01	1931			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	175.6	1.2	0.01	1951.5			
1	CH4 + CO2	fluid | crystal[CO2]	Solid-liquid equilibrium temperature, K @fluid	VISOBS:UFactor:8	176.2	1.5	0.01	2009.1			
