# Maltby T.W., Aasen A., Hammer M., Wilhelmsen O. (2025). Review of Experimental Data and Evaluation of Equations of State
# for Modeling Formation of Solid CO2 in CCS and Natural Gas Applications. Ind. Eng. Chem. Res. 64(50), 24253-24263.
# doi:10.1021/acs.iecr.5c04028. CC BY 4.0 (stated on the article's first page). Local copy maltby-2025-iecr-64-24253.pdf
# (sha256 744c2ba3bab6a828ce233f1cb2be23101f0a61af84ad80182aace81baa9874e9). Transcribed from the PDF text layer (the
# publisher's PDF has one; columns aligned cleanly for these two tables).
# block T2 = Table 2, "Overview of the Experimental Data for the CO2 Mixtures", p. 24256: mixture, SFE type, reference
#   number(s) of the article's reference list, marker (a) = pressure assumed constant, (b) = pressure assumed equal to the
#   SVLE curve, year, Npoints, xCO2 range in % (NA for SVLE-locus sets), T range K, p range MPa. 47 rows.
# block T3 = Table 3, "Comparison of MAPD Values across Different EoS Models", p. 24257: MAPD in % of the equilibrium
#   temperature (eq. 8: predicted T at the measured composition and pressure), solid EoS = Trusler 2011 + erratum, fluid EoS
#   columns EoS-CG, GERG(-2008), tc-PR* (alpha refitted with sublimation data, their Table 1), PR, SRK, SAFT-VR Mie,
#   PC-SAFT, PCP-SAFT; kij regressed on the same VLE data for all EoS (SI Table SI.1). The last four rows are the
#   averages per SFE type and overall (each data set weighted equally). 37 data rows + 4 average rows. Table 3 has no rows
#   for the SVLE-locus sets without compositions (the NA rows of Table 2).
# Reference numbers (article list): 4 Sampson 2023; 19 Lovseth 2018; 41 Pikaar 1959 (thesis; two SVE sets); 42 Donnelly and
#   Katz 1954; 43 Davis, Rodewald, Kurata 1962; 44 Sterner 1961; 45 Kurata and Im 1971; 46 Agrawal and Laverman 1974;
#   47 Le and Trebble 2007; 48 Zhang 2012 (NTNU thesis); 49 Shen 2012; 50 Gao 2012; 51 Xiong 2015; 52 GPSA 1998;
#   53 ZareNezhad 2006; 54 Smith, Sonntag, Van Wylen 1963 (Adv. Cryog. Eng. 8, 162); 55 Sonntag, Van Wylen 1962
#   (Adv. Cryog. Eng. 7, 99); 56 Kurata 1974 (GPA RR-10); 57 Yakimenko 1975; 58 De Stefani 2002; 59 Zaitsev 1986;
#   60 Sobocinski and Kurata 1959; 61 Klemenc and Bankowski 1932; 62 Thiel and Schulte 1920; 63 Riva and Stringari 2018;
#   64 He 2022; 65 Souza 2020; 66 Lange 2015; 67 Jensen and Kurata 1971; 68 Fandino 2015.
# Sanity check: T2 ranges have min <= max in every row; T3 average rows lie within the spread of their block.
# Digits as printed, one sanity check, not re-verified (owner: not looking for 100 % correct data).
# Transcribed 2026-09-25, batch 2026-09-24-coolprop-low-temperature.
block	mixture	sfe	ref	marker	year	Npoints	xCO2_range_pct	T_range_K	p_range_MPa	EoS_CG	GERG	tc_PR_star	PR	SRK	VR_Mie	PC_SAFT	PCP_SAFT
T2	CO2/CH4	SVE	48		2011	17	10.8000,54.2000	191.1,210.3	0.2930,4.4460								
T2	CO2/CH4	SVE	47		2007	55	1.0000,2.9300	168.6,187.7	0.9621,3.0082								
T2	CO2/C2H6/CH4	SVE	47		2007	24	1.9500,1.9600	173.6,183.6	1.2677,2.2503								
T2	CO2/N2/CH4	SVE	47		2007	24	1.9400,1.9400	173.9,183.5	1.2437,2.2615								
T2	CO2/CH4	SVE	41		1959	38	1.0000,20.0000	158.2,210.5	0.1966,4.8322								
T2	CO2/CH4	SVE	52,53		1998	43	2.0000,16.0000	170.1,199.8	0.6893,2.7571								
T2	CO2/CH4	SVE	46		1974	42	0.1200,10.6700	137.5,198.1	0.1724,2.7855								
T2	CO2/N2/CH4	SVE	46		1974	19	0.9300,0.9600	154.1,172.8	0.1724,2.4407								
T2	CO2/CH4	SVE	51		2015	64	0.1000,34.0700	153.2,193.2	0.2190,3.0380								
T2	CO2/CH4/N2	SVE	51		2015	77	0.1200,34.7900	153.2,193.2	0.2670,2.2000								
T2	CO2/CH4/C2H6	SVE	51		2015	53	0.6500,33.6500	153.2,193.2	0.2720,2.1950								
T2	CO2/CH4	SVE	41		1959	66	0.0265,58.0000	132.6,210.1	0.1560,4.7896								
T2	CO2/N2	SVE	54,55		1963	125	0.0180,7.7800	140.0,190.0	0.5066,20.2650								
T2	CO2/Ar	SVE	19		2018	4	13.1320,42.3570	213.1,213.1	1.0495,6.8449								
T2	CO2/CH4	SLE	4		2023	6	0.0052,0.0500	106.3,122.8	6.9800,10.1000								
T2	CO2/CH4	SLE	56	a	1974	11	0.1600,20.5000	129.7,201.3	5.0000,5.0000								
T2	CO2/CH4	SLE	49		2012	9	0.0213,2.8960	112.0,169.9	0.0930,2.3150								
T2	CO2/CH4/N2	SLE	49		2012	27	0.0225,2.7700	112.0,169.9	0.1550,3.1500								
T2	CO2/CH4/C2H6	SLE	49		2012	27	0.0577,3.3100	120.0,169.9	0.1620,2.2280								
T2	CO2/CH4/N2	SLE	50		2012	32	0.0003,0.0900	83.1,123.1	0.1240,2.0230								
T2	CO2/CH4	SLE	41		1959	23	0.0320,20.0000	113.5,201.3	1.0132,9.7272								
T2	CO2/Ar	SLE	19		2018	3	78.6300,86.6210	213.1,213.1	6.8455,16.1441								
T2	CO2/N2	SLE	57		1975	29	0.0002,0.0214	78.0,115.0	3.6477,9.1192								
T2	CO2/O2	SLE	58	a	2002	12	0.0004,0.0098	90.77,110.4	5.8900,5.8900								
T2	CO2/O2	SLE	59		1986	14	0.00001,0.2068	77.4,140.0	5.8900,9.5000								
T2	CO2/H2S	SLE	60	b	1959	12	12.3473,99.7893	178.4,216.8	0.0214,0.4176								
T2	CO2/H2S	SLE	61		1932	9	9.7900,25.0100	177.9,191.1	0.0338,0.1018								
