# Shen T., Gao T., Lin W., Gu A. (2012). Determination of CO2 Solubility in Saturated Liquid CH4 + N2 and CH4 + C2H6 Mixtures
# above Atmospheric Pressure. J. Chem. Eng. Data 57(8), 2296-2303. DOI 10.1021/je3002859 (paywalled; not read).
# SLVE: liquid CO2 mole fraction and pressure at solid-liquid-vapour coexistence, static analytic, 112.0 to 169.9 K.
# Sets 1-2: CH4 + CO2, 9 points (x_CO2 0.000213 to 0.02896, 93 to 2315 kPa). Sets 3-4: CH4 + N2 solvent (x_CH4 of the solvent
# 0.9 to 0.98) + CO2, 27 points. Sets 5-6: CH4 + C2H6 solvent + CO2, 27 points. Each point appears twice (pressure row and
# composition row), both keyed by T and the solvent fraction.
# Holdout role: P5/G5 liquidus (CO2 solubility in liquid CH4) far below the CO2 triple point.
# Source: NIST TRC ThermoML Archive (IUPAC ThermoML), https://trc.nist.gov/ThermoML/10.1021/je3002859.xml, retrieved 2026-09-25;
# archive DOI 10.18434/mds2-2422. TRC terms: no warranty by the publisher, editors or NIST/TRC; TRC requests that works
# using ThermoML Archive data cite them. The XML is TRC's compilation of the paper's tables, not the paper itself.
# Flattened with thermoml_to_tsv.py (this folder): one row per property value, digits exactly as in the XML.
# U95 = nCombExpandUncertValue, expanded uncertainty at 95 % assessed by the TRC data-file compiler (not the authors' own
# statement unless the paper gives the same number). Labels abbreviated: fluid/liquid/gas/crystal, CO2/CH4/N2/C2H6.
# Transcribed 2026-09-25, batch 2026-09-24-coolprop-low-temperature.
# XML file: thermoml/shen-2012-jced-57-2296-je3002859.xml (sha256 ffb9840ad4a7c7817aa567d4a34ab1efdbb544c48e829549a3417997eac08cc8)
set	system	phases	property	method	value	U95	Temperature, K@liquid	Solvent: Mole fraction[CH4]@liquid
1	CH4 + CO2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	93	14	112	
1	CH4 + CO2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	241	14	124	
1	CH4 + CO2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	350	15	129.7	
1	CH4 + CO2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	489	15	135.2	
1	CH4 + CO2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	617	16	139.4	
1	CH4 + CO2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	800	17	144.5	
1	CH4 + CO2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1055	19	150.4	
1	CH4 + CO2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1718	21	162	
1	CH4 + CO2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	2315	23	169.9	
2	CH4 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000213	1.3e-05	112	
2	CH4 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000823	3.1e-05	124	
2	CH4 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.001413	4.6e-05	129.7	
2	CH4 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.002479	7.7e-05	135.2	
2	CH4 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.003678	0.000114	139.4	
2	CH4 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.005665	0.000159	144.5	
2	CH4 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.008225	0.000245	150.4	
2	CH4 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.01764	0.000468	162	
2	CH4 + CO2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.02896	0.00074	169.9	
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	318	15	112	0.9
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	268	14	112	0.95
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	155	14	112	0.98
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	580	15	124	0.9
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	418	14	124	0.95
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	326	14	124	0.98
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	748	16	129.7	0.9
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	545	15	129.7	0.95
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	446	15	129.7	0.98
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	968	17	135.2	0.9
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	725	16	135.2	0.95
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	596	15	135.2	0.98
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1146	18	139.4	0.9
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	880	17	139.4	0.95
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	724	16	139.4	0.98
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1397	18	144.5	0.9
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1095	18	144.5	0.95
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	929	17	144.5	0.98
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1678	20	150.4	0.9
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1385	20	150.4	0.95
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1168	19	150.4	0.98
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	2448	23	162	0.9
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	2097	21	162	0.95
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	1845	21	162	0.98
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	3150	26	169.9	0.9
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	2685	24	169.9	0.95
3	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	2421	23	169.9	0.98
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000254	1.5e-05	112	0.9
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000238	1.5e-05	112	0.95
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000225	1.4e-05	112	0.98
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000917	3.4e-05	124	0.9
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000909	3.4e-05	124	0.95
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.000889	3.3e-05	124	0.98
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.001591	5e-05	129.7	0.9
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.001577	4.9e-05	129.7	0.95
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.001501	4.7e-05	129.7	0.98
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.002652	7.8e-05	135.2	0.9
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.00256	7.6e-05	135.2	0.95
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.002495	7.6e-05	135.2	0.98
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.003768	0.000108	139.4	0.9
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.003745	0.00011	139.4	0.95
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.003701	0.000111	139.4	0.98
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.005366	0.000152	144.5	0.9
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.005423	0.000154	144.5	0.95
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.005502	0.000156	144.5	0.98
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.008156	0.000232	150.4	0.9
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.008204	0.000235	150.4	0.95
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.00821	0.000244	150.4	0.98
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.0159	0.000413	162	0.9
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.01616	0.000425	162	0.95
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.01745	0.000458	162	0.98
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.02521	0.000638	169.9	0.9
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.02678	0.000686	169.9	0.95
4	CH4 + CO2 + N2	liquid | gas | crystal[CO2]	Mole fraction [CO2] @liquid		0.02771	0.000701	169.9	0.98
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	162	14	120	0.9
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	171	14	120	0.95
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	175	14	120	0.98
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	218	14	124	0.9
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	229	15	124	0.95
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	233	15	124	0.98
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	315	15	129.7	0.9
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	331	15	129.7	0.95
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	342	15	129.7	0.98
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	437	15	135.2	0.9
5	CH4 + C2H6 + CO2	liquid | crystal[CO2] | gas	Vapor or sublimation pressure, kPa @liquid	Closed cell (Static) method	459	15	135.2	0.95
