# Span R., Wagner W. (1996), J. Phys. Chem. Ref. Data 25, 1509, DOI 10.1063/1.555991, Table 6 "Summary of the data sets
# for the sublimation pressure of carbon dioxide", journal p.1521 (PDF page 13 of the NIST reprint, see
# span-wagner-1996-co2-melting-sublimation-equations.tsv for the file). Group 1 = used in the fit of eq. (3.12),
# group 2 = used for comparison, group 3 = not used. dT in mK, dp_sub as printed (Pa or %). Blank = not printed.
# Digits verbatim from a 170 dpi render. This is a map of the primary sublimation data (all paywalled or pre-1960);
# Giauque and Egan appear here as "1936", 12 points, group 2. Transcribed 2026-09-25.
source	year	n_data	T_range_K	dT_mK	dp_sub	group
Bols and Wills	1899	8	149-196			3
Kuenen and Robson	1902	6	195-215	+-32		3
Onnes and Weber	1913	9	90-106			3
Siemens	1913	29	118-195	+-20		3
Weber and Onnes	1913	15	104-138			3
Henning	1914	18	192-195		+-100 Pa	3
Heuse and Otto	1931	19	193-195	+-2		3
Heuse and Otto	1932	7	195	+-1		3
Meyers and Van Dusen	1933	28	195-217		+-0.02%	3
Giauque and Egan	1936	12	154-196	+-1	+-3 Pa	2
Tickner and Lossing	1951	13	106-154	+-300		3
Ambrose	1955	16	179-198	+-1	+-4 Pa	1
Hiza	1970	1	216	+-10		3
Bilkadi et al.	1974	132	154-217	+-20		1
Bryson et al.	1974	62	70-103			2
Bedford et al.	1984	1	195	+-3		1
Fernandez-Fassnacht and del Rio	1984	21	194-243	+-1	+-100 Pa	1
