# Trusler J.P.M. (2011). Equation of State for Solid Phase I of Carbon Dioxide Valid for Temperatures up to 800 K and
# Pressures up to 12 GPa. J. Phys. Chem. Ref. Data 40, 043105. DOI 10.1063/1.3664915.
# ERRATUM: J. Phys. Chem. Ref. Data 41, 039901 (2012), DOI 10.1063/1.4745598 ("three corrections", two found by A. Jaeger).
# The erratum's content is paywalled and was not read; the local PDF (../solid-co2/trusler-2011-jpcrd-40-043105.pdf,
# downloaded 16 Mar 2013 per its footer) is the uncorrected original. Do not adopt any Trusler coefficient before the
# erratum has been read (owner request list).
# Block A: auxiliary equations of section 9.1, p.043105-16/17 (PDF pages 16-17). T_t = 216.592 K, p_t = 0.51795 MPa (p.043105-7).
#   (47) p = p_t [1 + d1 (T/T_t - 1) + d2 (T/T_t - 1)^2 + d3 (T/T_t - 1)^3], weighted fit to melting data, D_AAD = 2.5 %
#   (48) ln(p/p_t) = (T_t/T) [d4 (1 - T/T_t) + d5 (1 - T/T_t)^1.5 + d6 (1 - T/T_t)^2.5], fitted to sublimation pressures
#        computed from the solid EOS with the Span-Wagner fluid EOS between 150 and 216 K; reproduces them within 0.04 %.
#   Eq. (48) is derived from Trusler's EOS + Span-Wagner, so it is not independent of the fluid reference; secondary holdout.
# Block B: Table 2 (p.043105-4), "Summary of phase-change data on the sublimation curve": u(T), u(p) standard uncertainties,
#   ur relative standard uncertainty; group 1 = primary. dsubH = enthalpy of sublimation.
# Digits verbatim; eq. (47) and Table 2 checked against 170-200 dpi renders, eq. (48) from the text layer (it reproduces
# Span-Wagner eq. (3.12) within 0.1 % at 194.69 K, which confirms the signs). Table 2 assigns Eucken and Donath to group 2
# although the prose on p.043105-5 says both dsubH sources were assigned to group 1. Transcribed 2026-09-25.
block	item	source_or_equation	year	T_K	u_T_K	u_p_Pa	u_r	group	d_a	d_b	d_c
A	melting pressure	eq. (47)							2010.04	1704.40	171.695
A	sublimation pressure	eq. (48)		150 to 216					-14.97366	1.805904	-2.834695
B	psub	Meyers and Van Dusen	1933	194 to 216			0.02%	2			
B	psub	Giauque and Egan	1937	195	0.02	3		2			
B	psub	Tickner and Lossing	1951	106 to 154	0.3			2			
B	psub	Ambrose	1956	178 to 198	0.003	40		1			
B	psub	Baughman et al.	1974	202 to 212	0.01	200		2			
B	psub	Bryson et al.	1974	67 to 111			3%	2			
B	psub	Bilkadi et al.	1975	154 to 216	0.02	10		1			
B	psub	Fernandez-Fassnecht and del Rio	1984	194 to 216	0.001	100		1			
B	dsubH	Maass and Barnes	1926	195				2			
B	dsubH	Eucken and Donath	1926	140 to 170			0.2%	2			
B	dsubH	Giauque and Egan	1937	195			0.08%	1			
