# Xiong X., Lin W., Jia R., Song Y., Gu A. (2015). Measurement and Calculation of CO2 Frost Points in CH4 + CO2/CH4 + CO2 + N2/
# CH4 + CO2 + C2H6 Mixtures at Low Temperatures. J. Chem. Eng. Data 60(11), 3077-3086. DOI 10.1021/acs.jced.5b00059.
# Frost (sublimation) pressure of the gas at given T and gas composition, static analytic with sampling, 153.15 to 193.15 K,
# 219 to 3038 kPa. Set 3: CH4 + CO2, 64 points, y_CO2 0.001 to 0.3407. Set 1: CH4 + CO2 + N2, 141 rows = the same 64 binary
# points with y_N2 = 0 plus 77 points with y_N2 up to 0.0574. Set 2: CH4 + C2H6 + CO2, 117 rows = the 64 binary points with
# y_C2H6 = 0 plus 53 points with y_C2H6 up to 0.0594. Unique points: 194. Do not count the binary rows three times.
# Holdout role: P5 context (frost points in CH4) and the N2 effect at 3 to 6 % N2; no CO2 + N2 binary.
# Source: NIST TRC ThermoML Archive (IUPAC ThermoML), https://trc.nist.gov/ThermoML/10.1021/acs.jced.5b00059.xml, retrieved 2026-09-25;
# archive DOI 10.18434/mds2-2422. TRC terms: no warranty by the publisher, editors or NIST/TRC; TRC requests that works
# using ThermoML Archive data cite them. The XML is TRC's compilation of the paper's tables, not the paper itself.
# Flattened with thermoml_to_tsv.py (this folder): one row per property value, digits exactly as in the XML.
# U95 = nCombExpandUncertValue, expanded uncertainty at 95 % assessed by the TRC data-file compiler (not the authors' own
# statement unless the paper gives the same number). Labels abbreviated: fluid/liquid/gas/crystal, CO2/CH4/N2/C2H6.
# Transcribed 2026-09-25, batch 2026-09-24-coolprop-low-temperature.
# XML file: thermoml/xiong-2015-jced-60-3077-acs.jced.5b00059.xml (sha256 00876ad7d95f570aab9a063986f21fdbbd2e976da0b23046279465c400481e6a)
set	system	phases	property	method	value	U95	Temperature, K@gas	Mole fraction[CO2]@gas	Mole fraction[N2]@gas	Mole fraction[C2H6]@gas
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1235	53	153.15	0.001	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	996	42	153.15	0.0013	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	878	42	153.15	0.0016	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	726	43	153.15	0.002	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	652	46	153.15	0.0022	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	559	39	153.15	0.0025	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	490	41	153.15	0.0029	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	437	31	153.15	0.0032	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	380	32	153.15	0.0036	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	270	49	153.15	0.005	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	219	21	153.15	0.0063	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1183	104	153.15	0.0016	0.0318	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	970	61	153.15	0.0013	0.0313	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	786	143	153.15	0.0015	0.0311	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	590	52	153.15	0.0025	0.0304	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	423	52	153.15	0.0032	0.0297	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	273	42	153.15	0.0048	0.0293	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1067	26	153.15	0.0012	0.0567	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	882	39	153.15	0.0024	0.0532	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	679	46	153.15	0.0021	0.0486	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	525	80	153.15	0.0027	0.0434	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	400	42	153.15	0.0031	0.0497	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	279	63	153.15	0.0042	0.0513	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1074	39	158.15	0.0048	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	970	41	158.15	0.0041	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	865	31	158.15	0.0033	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	761	20	158.15	0.0039	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	649	32	158.15	0.0048	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	561	81	158.15	0.0056	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	474	33	158.15	0.0066	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	415	36	158.15	0.0075	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	341	32	158.15	0.0092	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	271	34	158.15	0.0113	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1510	34	168.15	0.0082	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1335	35	168.15	0.0071	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	1130	39	168.15	0.0091	0	
1	CH4 + CO2 + N2	gas | crystal[CO2]	Vapor or sublimation pressure, kPa @gas	Closed cell (Static) method	953	28	168.15	0.0108	0	
