# Zhang L., Burgass R., Chapoy A., Tohidi B., Solbraa E. (2011). Measurement and Modeling of CO2 Frost Points in the
# CO2-Methane Systems. J. Chem. Eng. Data 56(6), 2971-2975. DOI 10.1021/je200261a (paywalled; not read).
# 17 frost points (gas + crystal CO2), y_CO2 0.108 to 0.542, 293.1 to 4446.1 kPa, 191.1 to 210.3 K. TRC files the frost
# temperature as 'Boiling temperature at pressure P' of the gas phase; method field 'DTA' as compiled by TRC.
# Holdout role: P5/G5 CO2-rich frost points in CH4 (the upper end of the SVE region, next to the SLV line).
# Source: NIST TRC ThermoML Archive (IUPAC ThermoML), https://trc.nist.gov/ThermoML/10.1021/je200261a.xml, retrieved 2026-09-25;
# archive DOI 10.18434/mds2-2422. TRC terms: no warranty by the publisher, editors or NIST/TRC; TRC requests that works
# using ThermoML Archive data cite them. The XML is TRC's compilation of the paper's tables, not the paper itself.
# Flattened with thermoml_to_tsv.py (this folder): one row per property value, digits exactly as in the XML.
# U95 = nCombExpandUncertValue, expanded uncertainty at 95 % assessed by the TRC data-file compiler (not the authors' own
# statement unless the paper gives the same number). Labels abbreviated: fluid/liquid/gas/crystal, CO2/CH4/N2/C2H6.
# Transcribed 2026-09-25, batch 2026-09-24-coolprop-low-temperature.
# XML file: thermoml/zhang-2011-jced-56-2971-je200261a.xml (sha256 f6c1c07069ab6a680628433700f9795fc47d3dca0b1928ac08dfaeacc72999fa)
set	system	phases	property	method	value	U95	Mole fraction[CO2]@gas	Pressure, kPa@gas
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	197.5	0.2	0.108	1342.4
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	200.5	0.1	0.108	2031
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	205.3	0.1	0.108	4446.1
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	191.1	0.4	0.178	497.3
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	197.4	0.3	0.178	869.5
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	205.1	0.2	0.178	1581.5
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	210.3	0.1	0.178	2943.2
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	194.2	0.9	0.334	307.1
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	199.5	0.7	0.334	447.6
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	202.6	0.5	0.334	572
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	203.8	0.3	0.334	727
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	209.5	0.3	0.334	1144
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	196.5	0.7	0.424	293.1
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	202.5	0.5	0.424	478.1
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	209.5	0.4	0.424	854
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	202.7	0.6	0.542	328.7
1	CH4 + CO2	gas | crystal[CO2]	Boiling temperature at pressure P, K @gas	DTA	209.1	0.6	0.542	567.8
