cut | NBP K | SG(60F) | Kw | Tc K | Pc kPa | omega | PR Tsat(101.325 kPa)-NBP K | PR-MB at 1 / 5 / 13 kPa K | P_PR/P_MB at 13 kPa | anchored Tc K (dTc) | anchored omega (domega) | anchored: PR-MB at 1 / 5 / 13 kPa K | anchored-minus-current PR Tsat at 101.325 / 250 / 1000 kPa K | PR-MB at 250 kPa current / anchored K
crude_pc01 | 331.4 | 0.7123 | 11.82 | 509.0 | 3638.9 | 0.238 | 0.01 | -1.6 / -0.8 / -0.3 | 1.02 | 504.5 (-4.5) | 0.269 (+0.031) | -0.12 / 0.43 / 0.58 | -0.01 / -0.66 / -2.16 | -0.06 / -0.72
crude_pc02 | 383.5 | 0.7573 | 11.67 | 570.1 | 3079.1 | 0.301 | 0.01 | -2.5 / -1.5 / -0.9 | 1.04 | 563.8 (-6.2) | 0.347 (+0.046) | -0.11 / 0.38 / 0.51 | -0.01 / -1.01 / -3.30 | 0.47 / -0.53
crude_pc03 | 431.8 | 0.7919 | 11.61 | 623.6 | 2634.1 | 0.363 | 0.01 | -3.1 / -2.1 / -1.5 | 1.06 | 616.2 (-7.4) | 0.421 (+0.057) | -0.09 / 0.30 / 0.38 | -0.01 / -1.30 / -4.25 | 1.04 / -0.26
crude_pc04 | 480.2 | 0.8214 | 11.60 | 674.6 | 2259.6 | 0.431 | 0.01 | -4.0 / -2.9 / -2.2 | 1.08 | 666.0 (-8.6) | 0.499 (+0.068) | -0.06 / 0.19 / 0.22 | -0.01 / -1.65 / -5.39 | 1.71 / 0.06
crude_pc05 | 529.1 | 0.8474 | 11.61 | 723.9 | 1943.7 | 0.502 | 0.01 | -5.4 / -4.1 / -3.1 | 1.10 | 713.4 (-10.5) | 0.594 (+0.092) | -0.04 / 0.09 / 0.08 | -0.01 / -2.22 / -7.19 | 2.57 / 0.35
crude_pc06 | 577.9 | 0.8704 | 11.64 | 771.2 | 1681.1 | 0.580 | 0.01 | -6.9 / -5.4 / -4.2 | 1.13 | 759.0 (-12.2) | 0.697 (+0.117) | -0.01 / -0.03 / -0.09 | -0.01 / -2.80 / -9.06 | 3.47 / 0.66
crude_pc07 | 626.7 | 0.8909 | 11.68 | 816.8 | 1462.0 | 0.666 | 0.01 | -8.4 / -6.7 / -5.3 | 1.16 | 803.2 (-13.6) | 0.808 (+0.143) | 0.02 / -0.16 / -0.27 | -0.01 / -3.38 / -10.87 | 4.38 / 0.99
crude_pc08 | 687.0 | 0.9135 | 11.75 | 871.0 | 1238.7 | 0.785 | 0.01 | -10.1 / -8.2 / -6.5 | 1.18 | 856.4 (-14.6) | 0.960 (+0.175) | 0.06 / -0.34 / -0.51 | -0.01 / -4.03 / -12.86 | 5.44 / 1.41
crude_pc09 | 766.0 | 0.9406 | 11.83 | 939.6 | 1012.7 | 0.970 | 0.01 | -11.9 / -9.9 / -7.9 | 1.21 | 924.7 (-14.8) | 1.187 (+0.217) | 0.13 / -0.59 / -0.86 | -0.01 / -4.66 / -14.72 | 6.63 / 1.97
crude_pc10 | 868.2 | 0.9721 | 11.94 | 1024.8 | 798.6 | 1.279 | 0.01 | -12.8 / -10.9 / -8.9 | 1.22 | 1011.6 (-13.2) | 1.539 (+0.259) | 0.22 / -0.93 / -1.33 | -0.01 / -4.89 / -13.65 | 7.55 / 2.66
crude_pc11 | 965.0 | 1.0043 | 11.97 | 1106.3 | 669.2 | 1.648 | 0.01 | -12.6 / -11.1 / -9.2 | 1.23 | 1095.1 (-11.2) | 1.939 (+0.291) | 0.31 / -1.27 / -1.78 | -0.01 / -4.68 / -11.65 | 7.94 / 3.26
crude_pc12 | 1095.1 | 1.0508 | 11.93 | 1220.1 | 568.6 | 2.258 | 0.01 | -12.9 / -11.7 / -9.8 | 1.24 | 1210.3 (-9.8) | 2.623 (+0.365) | 0.42 / -1.68 / -2.32 | -0.01 / -4.63 / -10.29 | 8.56 / 3.92
