fluid,L_m,v0_m_s,U_W_m2K,status,dp_Pa,dp_fraction,q0,qref,q1,q2,heat_ref,cp0_error,cp1_error,table_error,frozen_error,one_error,two_error,gated_error,flow_one_error,outlet_ref_K,vapor_in,vapor_out,one_self_mismatch,refinement_error,energy_residual,one_cpu_us,reference_cpu_us,reference_evals,detail
water-cooling,1.0,0.002,2.0,OK,0.008341827010661164,2.7806090035537214E-8,0.003795940340808883,0.0037710599498708263,0.0037693540845964092,0.0037691691105788717,18.663885238206113,9.030168158245248E-7,4.432909410195135E-7,7.3489607311592645E-6,5.747651205809467E-5,1.1824708095860374E-5,1.2310273712059288E-5,5.747651205809467E-5,4.5235697578223393E-4,358.8218245795987,0.0,0.0,6.930203963034413E-5,5.311307600941668E-9,2.9124247898797254E-14,0.0,15625.0,43,
water-cooling,1.0,0.002,15.0,OK,0.008341827010661164,2.7806090035537214E-8,0.003795940340808883,0.0036073462148879017,0.003612435016820793,0.0036036999314852007,130.9238789298683,5.0162728434628384E-5,2.2079309989115743E-5,1.5238802623364397E-5,0.003760552842773275,9.155934027138603E-5,9.193913919652785E-5,0.003760552842773275,0.0014106774425723374,351.35315474481274,0.0,0.0,0.0036686576026321105,NaN,1.5194611815337423E-15,0.0,0.0,43,
water-cooling,1.0,0.002,60.0,OK,0.008341827010661164,2.7806090035537214E-8,0.003795940340808883,0.003026571881262208,0.0031520092278592904,0.003046905586426757,399.06973213794913,7.400270111825025E-4,1.990614543814339E-4,1.053324246988668E-5,0.06933907538597016,0.013095687382372684,0.002170509148333642,0.06933907538597016,0.04144535518012196,328.5251277753744,0.0,0.0,0.05551636306824938,NaN,1.405985800568677E-15,0.0,15625.0,43,
water-cooling,1.0,0.02,2.0,OK,0.12747506871837624,4.2491689572792083E-7,0.037959403408088836,0.03796905747320123,0.037969750254361286,0.03796974743934686,18.831006783416903,1.2400090892550637E-8,9.80483344741952E-11,8.096313484806677E-7,1.0601915422413557E-6,7.91656175683218E-7,7.917286607511673E-7,1.0601915422413557E-6,1.82459404093926E-5,359.88195124344855,0.0,0.0,2.6853557914598734E-7,NaN,5.303320301453264E-13,0.0,0.0,43,
water-cooling,1.0,0.02,15.0,OK,0.12747506871837624,4.2491689572792083E-7,0.037959403408088836,0.03803126639536655,0.03803618500800963,0.03803603191724924,140.3343507120591,5.012606568153341E-7,2.452227117079953E-7,5.640760949022644E-6,1.9576334053036443E-5,4.688866228962871E-6,4.7184899543770605E-6,1.9576334053036443E-5,1.2933076148297803E-4,359.121625711288,0.0,0.0,1.4887537629745998E-5,NaN,8.101179091907131E-16,0.0,0.0,43,
water-cooling,1.0,0.02,60.0,OK,0.12747506871837624,4.2491689572792083E-7,0.037959403408088836,0.03823942222104168,0.03825524018405988,0.03825306723048488,549.2152359937359,7.693298838950417E-6,3.6740494764920798E-6,1.656165373824147E-5,2.3096533735058816E-4,4.5420563536609166E-6,6.192641330056258E-6,2.3096533735058816E-4,4.1365591056177607E-4,356.5800999085443,0.0,0.0,2.2642430942890052E-4,NaN,3.5189938169409943E-15,0.0,0.0,43,
water-cooling,1.0,0.2,2.0,OK,10.025771375905338,3.341923791968446E-5,0.3795940340808883,0.37959235523725465,0.37959213548366477,0.37959213547393744,18.847699431515224,1.237778738057845E-9,1.2167197899166415E-9,8.101071100665763E-8,8.057230992931731E-8,8.106731650773398E-8,8.106480687359581E-8,8.057230992931731E-8,5.789199567608193E-7,359.9881816051268,0.0,0.0,4.950066185455284E-10,NaN,3.408571263312598E-12,0.0,0.0,43,
water-cooling,1.0,0.2,15.0,OK,10.025771375905338,3.341923791968446E-5,0.3795940340808883,0.37958145067862037,0.37957980407612435,0.37957980354303633,141.26728340340424,9.301896593951038E-9,2.4805686372883655E-9,6.074495751071949E-7,5.829468313141993E-7,6.106556741884709E-7,6.106574784695757E-7,5.829468313141993E-7,4.337942470780692E-6,359.91141621784396,0.0,0.0,2.7708859794844188E-8,NaN,5.585066241660832E-13,0.0,0.0,43,
water-cooling,1.0,0.2,60.0,OK,10.025771375905338,3.341923791968446E-5,0.3795940340808883,0.37954369981052316,0.37953724486851204,0.37953723639758075,563.8187745964285,8.27561141053745E-8,3.62460903350114E-8,2.382669189370002E-6,1.9908652499875103E-6,2.4329224570927227E-6,2.4329882077566985E-6,1.9908652499875103E-6,1.700711147187345E-5,359.6464039358112,0.0,0.0,4.4205828259873576E-7,NaN,1.2904812049359625E-13,0.0,0.0,43,
water-cooling,1.0,1.0,2.0,OK,205.265960976472,6.842198699215734E-4,1.8979701704044414,1.8979698858728704,1.8979697781241218,1.8979697781238185,18.849184605166766,2.713774334096469E-10,2.8906750871115886E-10,1.6176552673026578E-8,1.6165661673824105E-8,1.616503629377541E-8,1.616519612568659E-8,1.6165661673824105E-8,5.6770525914084304E-8,359.99763614487097,0.0,0.0,6.253800588053431E-13,1.4431144096301253E-10,1.493335203711493E-11,0.0,0.0,43,
water-cooling,1.0,1.0,15.0,OK,205.265960976472,6.842198699215734E-4,1.8979701704044414,1.8979680367303464,1.8979672287148515,1.8979672287145477,141.35078465310252,1.858274438775862E-9,1.7240491118106827E-9,1.2151307287273196E-7,1.2134364664472222E-7,1.2157515229757914E-7,1.2157531235102887E-7,1.2134364664472222E-7,4.2572660830971513E-7,359.98227333914804,0.0,0.0,2.3150568100224307E-10,NaN,1.8186980262102151E-12,0.0,0.0,43,
water-cooling,1.0,1.0,60.0,OK,205.265960976472,6.842198699215734E-4,1.8979701704044414,1.8979616401418258,1.897958409364132,1.8979584092947817,565.1526190928225,7.441413667282589E-9,3.213460099185232E-9,4.85970543042542E-7,4.833123561344578E-7,4.869773376660338E-7,4.869763451361607E-7,4.833123561344578E-7,1.7022355064971408E-6,359.92912453512844,0.0,0.0,3.6649833163397702E-9,NaN,1.019485984294627E-12,0.0,0.0,43,
