fluid,L_m,v0_m_s,U_W_m2K,check,error,refinement
water-cooling,1.0,0.002,2.0,refinement,5.311307600941668E-9,2.0277067309435967E-7
water-cooling,1.0,1.0,2.0,refinement,1.4431144096301253E-10,4.256426290860642E-10
water-cooling,10.0,0.02,2.0,refinement,2.658541311798315E-9,6.905311879814086E-8
water-cooling,50.0,0.2,2.0,refinement,3.4368276396769895E-9,2.1392354280194255E-8
water-cooling,150.0,0.002,2.0,refinement,1.8011359057605362E-5,1.8184427412632834E-5
water-cooling,,,,rk4,4.824376776189244E-13,9.11343882056145E-13
water-heating,1.0,0.002,2.0,refinement,7.499624465771015E-9,6.579196930759906E-7
water-heating,1.0,1.0,2.0,refinement,3.515489888814642E-11,2.0154319222696023E-9
water-heating,10.0,0.02,2.0,refinement,7.499624199390194E-9,6.579196929883475E-7
water-heating,50.0,0.2,2.0,refinement,1.7645011563746194E-9,9.31459479291532E-8
water-heating,150.0,0.002,2.0,refinement,1.361428160437116E-5,2.188204554809458E-5
water-heating,,,,rk4,2.9493093482778947E-13,3.4847143742201823E-13
steam-condensing,1.0,0.002,2.0,refinement,1.5003767984941182E-4,1.618890603169682E-4
steam-condensing,1.0,1.0,2.0,refinement,6.445824392093727E-10,1.1329226746799975E-7
steam-condensing,10.0,0.02,2.0,refinement,1.50037679849301E-4,1.618890603170405E-4
steam-condensing,10.0,3.0,2.0,refinement,1.1278666379514676E-7,4.901294250522914E-7
steam-condensing,50.0,0.2,2.0,refinement,1.6107238081775075E-6,7.946620748933318E-5
steam-condensing,150.0,0.002,2.0,refinement,2.577563906219641E-4,2.5775639062211255E-4
steam-condensing,150.0,1.0,2.0,refinement,3.006534896337147E-7,1.4772959126665466E-5
steam-condensing,,,,rk4,6.548500794027797E-16,2.379288621830101E-14
steam-sensible,1.0,0.002,2.0,refinement,2.959486986712523E-4,2.95948698671255E-4
steam-sensible,1.0,1.0,2.0,refinement,1.5170140805102496E-9,9.59061885348622E-8
steam-sensible,10.0,0.02,2.0,refinement,2.959486986716315E-4,2.9594869867156476E-4
steam-sensible,10.0,3.0,2.0,refinement,3.007393137888567E-9,3.5351217090967285E-8
steam-sensible,50.0,0.2,2.0,refinement,1.5179237107562982E-4,1.5179237107595142E-4
steam-sensible,150.0,0.002,2.0,refinement,0.0,0.0
steam-sensible,150.0,1.0,2.0,refinement,5.0192822166920675E-5,5.019282514022753E-5
steam-sensible,,,,rk4,9.615459420231171E-14,2.7145684757792872E-14
methane-cooling,1.0,0.002,2.0,refinement,1.0907594884391955E-4,1.0907897990083941E-4
methane-cooling,1.0,1.0,2.0,refinement,6.065099067759207E-8,2.6491171185900704E-8
methane-cooling,10.0,0.02,2.0,refinement,1.090759488440889E-4,1.0907897990090514E-4
methane-cooling,10.0,3.0,2.0,refinement,5.785188675457115E-8,5.088131467111913E-8
methane-cooling,50.0,0.2,2.0,refinement,5.217529792092919E-5,5.2491464948399656E-5
methane-cooling,150.0,0.002,2.0,refinement,9.810523868362999E-6,9.81052386830532E-6
methane-cooling,150.0,1.0,2.0,refinement,1.9791349297312947E-5,1.9947733277627807E-5
methane-cooling,,,,rk4,5.619440516735197E-14,1.2372347728606628E-13
methane-heating,1.0,0.002,2.0,refinement,1.7657964164662126E-4,1.7657964164669696E-4
methane-heating,1.0,1.0,2.0,refinement,4.8097404149617366E-8,1.6121735315634885E-8
methane-heating,10.0,0.02,2.0,refinement,1.765796416461087E-4,1.7657964164614407E-4
methane-heating,10.0,3.0,2.0,refinement,4.885346615817E-8,3.6782677338640204E-8
methane-heating,50.0,0.2,2.0,refinement,9.15833993319022E-5,9.158347293723542E-5
methane-heating,150.0,0.002,2.0,refinement,0.0,0.0
methane-heating,150.0,1.0,2.0,refinement,1.6333888743178692E-5,1.664961852435812E-5
methane-heating,,,,rk4,1.4243647841677422E-14,1.0957897260017588E-13
pentane-liquid,1.0,0.002,2.0,refinement,2.7169959267952498E-8,2.9155813044758908E-8
pentane-liquid,1.0,1.0,2.0,refinement,2.9680932322351863E-9,4.329178055137456E-10
pentane-liquid,10.0,0.02,2.0,refinement,2.6599024040635016E-8,1.3906095997493022E-8
pentane-liquid,10.0,3.0,2.0,refinement,9.902988182576265E-9,1.2732809924837052E-9
pentane-liquid,50.0,0.2,2.0,refinement,2.652574279543009E-8,4.815544047914107E-9
pentane-liquid,150.0,0.002,2.0,refinement,1.5689521296210915E-5,1.568888448973921E-5
pentane-liquid,150.0,1.0,2.0,refinement,2.6090552443732144E-8,3.684317629894698E-9
