fluid,replicate,curve_build_ms,exchange_us,one_correction_us,reference_us
steam-condensing,0,3.7697,0.44891000000000003,9.8094,28229.722
steam-condensing,1,3.8995,0.44832,10.0544,28481.152000000002
steam-condensing,2,4.231,0.44542,9.829600000000001,29223.993
steam-condensing,3,4.2994,0.48563999999999996,9.8291,29830.155
steam-condensing,4,4.8206,0.60773,9.8585,29633.065
methane-cooling,0,4.3049,0.12891,6.4669,27815.299
methane-cooling,1,4.1261,0.17717,9.021700000000001,27747.591
methane-cooling,2,4.3631,0.1152,6.4666999999999994,27464.225
methane-cooling,3,4.41,0.17645,7.159,27962.238999999998
methane-cooling,4,5.0446,0.15705,7.9437,28009.618
heavy-liquid,0,4.0964,0.18345,7.2873,24800.618
heavy-liquid,1,4.5148,0.21620999999999999,7.7094,25056.017000000003
heavy-liquid,2,4.0016,0.18319000000000002,7.3808,25302.494
heavy-liquid,3,4.0985,0.18109,8.7032,24580.181
heavy-liquid,4,3.7431,0.1804,7.3462,25236.501
