fluid,L_m,v0_m_s,U_or_UA,check,error,refinement,outlet_vapor_mass_fraction
water-cooling,150.0,0.002,2.0,worst-reference,2.370738288034782E-5,2.710838479573658E-7,
water-cooling,10.0,0.002,15.0,worst-reference,8.402894388577153E-6,9.13586861113948E-8,
water-cooling,,,30.0,independent-rk,1.0186685927495236E-12,2.2784251397360457E-12,0.0
water-cooling,,,300.0,independent-rk,2.101145111503028E-13,2.354414454910285E-13,0.0
water-heating,50.0,0.002,15.0,worst-reference,7.123966056158575E-5,8.40757108292758E-7,
water-heating,10.0,0.002,60.0,worst-reference,5.230426346089363E-5,6.192170786056789E-7,
water-heating,,,30.0,independent-rk,9.114976018560519E-13,1.0187095128015697E-12,0.0
water-heating,,,300.0,independent-rk,7.223252293496045E-15,9.064473466348044E-14,0.0
steam-condensing,150.0,1.0,60.0,worst-reference,0.0028121279810248735,8.472391365648242E-5,
steam-condensing,150.0,0.2,15.0,worst-reference,3.625598884141124E-4,7.446293465267177E-6,
steam-condensing,,,30.0,independent-rk,4.4748088325685626E-14,8.796819314756342E-14,1.0
steam-condensing,,,300.0,independent-rk,3.74496258721546E-11,9.442228745174055E-11,0.9487516656076335
steam-sensible,1.0,0.2,15.0,worst-reference,2.717569112200905E-5,3.2015323887900326E-7,
steam-sensible,1.0,0.02,2.0,worst-reference,3.796805789666172E-5,4.4759235988988035E-7,
steam-sensible,,,30.0,independent-rk,3.9737357530260845E-14,1.6679878469491544E-14,1.0
steam-sensible,,,300.0,independent-rk,6.559026036653644E-15,2.1823668449229254E-14,1.0
methane-cooling,1.0,0.2,60.0,worst-reference,4.054923809668965E-5,4.6892016168821405E-7,
methane-cooling,1.0,0.02,15.0,worst-reference,1.10906979269042E-4,1.3781981198847228E-6,
methane-cooling,,,30.0,independent-rk,3.99107966667981E-15,5.108581973350136E-15,1.0
methane-cooling,,,300.0,independent-rk,5.301471518998691E-14,2.857573474066188E-13,1.0
methane-heating,10.0,0.2,2.0,worst-reference,2.500999246338941E-5,2.578029862601669E-7,
methane-heating,1.0,0.02,2.0,worst-reference,2.500999246331041E-5,2.578029860232271E-7,
methane-heating,,,30.0,independent-rk,1.9423157139717367E-15,7.121824284563021E-15,1.0
methane-heating,,,300.0,independent-rk,9.989198662178491E-15,1.4664993780644873E-14,1.0
pentane-liquid,50.0,0.002,2.0,worst-reference,6.05262108280243E-6,7.316337012004913E-8,
pentane-liquid,10.0,0.002,15.0,worst-reference,9.964959076118944E-6,1.1282355145417277E-7,
pentane-liquid,,,30.0,independent-rk,2.523554380782442E-13,3.243420889404866E-13,0.0
pentane-liquid,,,300.0,independent-rk,4.126638712960134E-14,1.223489049721037E-13,0.0
pentane-condensing,50.0,0.2,60.0,worst-reference,0.001199812510233785,3.3294875165231793E-6,
pentane-condensing,150.0,0.2,15.0,worst-reference,5.5437661596015986E-5,3.2237009187484378E-6,
pentane-condensing,,,30.0,independent-rk,6.0546908364473E-14,5.270824612086138E-14,1.0
pentane-condensing,,,300.0,independent-rk,1.0251518880785735E-11,1.8205982799238107E-11,0.9731866668130105
crude-cooling,1.0,0.002,2.0,worst-reference,1.4093758639802158E-5,7.66890194714552E-8,
crude-cooling,10.0,0.02,2.0,worst-reference,1.4093758639243536E-5,7.668901928524708E-8,
crude-cooling,,,30.0,independent-rk,3.7089108256021777E-14,4.329715641904849E-14,0.19170979154002313
crude-cooling,,,300.0,independent-rk,4.1002861130756875E-15,7.569909171616432E-13,0.0021296644641281798
heavy-liquid,1.0,0.002,60.0,worst-reference,2.3495267062483023E-5,1.6020655860304247E-7,
heavy-liquid,50.0,0.002,2.0,worst-reference,2.2950920565771034E-5,1.700217498401724E-7,
heavy-liquid,,,30.0,independent-rk,3.1140786550235805E-14,1.5442767100732172E-14,0.0
heavy-liquid,,,300.0,independent-rk,4.665510540910496E-15,1.6409726730099062E-14,0.0
