fluid,L_m,v0_m_s,U_W_m2K,nine_error,seventeen_error
water-cooling,1.0,0.002,2.0,7.3489607311592645E-6,3.3303754672729004E-6
water-cooling,1.0,0.002,15.0,1.5238802623364397E-5,3.991865001193886E-6
water-cooling,1.0,0.002,60.0,1.053324246988668E-5,2.6834152590481678E-6
water-cooling,1.0,0.02,2.0,8.096313484806677E-7,4.0931354803108707E-7
water-cooling,1.0,0.02,15.0,5.640760949022644E-6,2.6496893194990474E-6
water-cooling,1.0,0.02,60.0,1.656165373824147E-5,4.749932423242853E-6
water-cooling,1.0,0.2,2.0,8.101071100665763E-8,4.095551928903063E-8
water-cooling,1.0,0.2,15.0,6.074495751071949E-7,3.071005778845623E-7
water-cooling,1.0,0.2,60.0,2.382669189370002E-6,1.182042950574403E-6
water-cooling,1.0,1.0,2.0,1.6176552673026578E-8,8.15860916274934E-9
water-cooling,1.0,1.0,15.0,1.2151307287273196E-7,6.143181762443113E-8
water-cooling,1.0,1.0,60.0,4.85970543042542E-7,2.4568523822403223E-7
water-cooling,1.0,3.0,2.0,5.345226669182054E-9,2.6726134288303035E-9
water-cooling,1.0,3.0,15.0,4.051293353442666E-8,2.0481538662626757E-8
water-cooling,1.0,3.0,60.0,1.620102059058357E-7,8.190552435495416E-8
water-cooling,10.0,0.002,2.0,1.6074386660265935E-5,3.946900768382454E-6
water-cooling,10.0,0.002,15.0,1.3276891579576732E-6,2.969786974040894E-7
water-cooling,10.0,0.002,60.0,2.0694623137970805E-9,1.1001137659155727E-9
water-cooling,10.0,0.02,2.0,7.2906655178123585E-6,3.308323785565562E-6
water-cooling,10.0,0.02,15.0,1.5718591484742025E-5,3.992580410472552E-6
water-cooling,10.0,0.02,60.0,1.2317805861122537E-5,3.1459619415775646E-6
water-cooling,10.0,0.2,2.0,8.098724194739118E-7,4.094355583265854E-7
water-cooling,10.0,0.2,15.0,5.652173378395607E-6,2.654460649205008E-6
water-cooling,10.0,0.2,60.0,1.6639314724432226E-5,4.725554173503929E-6
water-cooling,10.0,1.0,2.0,1.620097163172686E-7,8.190527682146399E-8
water-cooling,10.0,1.0,15.0,1.2099255285009104E-6,6.0938856373072E-7
water-cooling,10.0,1.0,60.0,4.602528579399547E-6,2.2038575801035117E-6
water-cooling,50.0,0.002,2.0,5.197477450559628E-6,1.2900919747894316E-6
water-cooling,50.0,0.002,15.0,6.287944226186304E-11,3.384459838833597E-11
water-cooling,50.0,0.002,60.0,0.0,0.0
water-cooling,50.0,0.02,2.0,1.9415978426506003E-5,4.280419508302555E-6
water-cooling,50.0,0.02,15.0,1.1023302620164971E-5,2.7546590296505162E-6
water-cooling,50.0,0.02,60.0,4.776897684190848E-6,1.4163117948804263E-6
water-cooling,50.0,0.2,2.0,3.881547778788692E-6,1.8816454701873744E-6
water-cooling,50.0,0.2,15.0,1.841520024713522E-5,4.0331144280707686E-6
water-cooling,50.0,0.2,60.0,1.4717704482626479E-5,3.692882170708508E-6
water-cooling,50.0,1.0,2.0,8.098429788179169E-7,4.0942053359045147E-7
water-cooling,50.0,1.0,15.0,5.650760782707852E-6,2.6538702293000974E-6
water-cooling,50.0,1.0,60.0,1.6629532359547148E-5,4.7287054029661834E-6
water-cooling,150.0,0.002,2.0,1.3041758387441872E-6,6.174151247416107E-7
water-cooling,150.0,0.002,15.0,0.0,0.0
water-cooling,150.0,0.002,60.0,0.0,0.0
water-cooling,150.0,0.02,2.0,1.5283147153043737E-5,3.8133858007900187E-6
water-cooling,150.0,0.02,15.0,9.793521355438259E-7,2.6458596503507637E-7
water-cooling,150.0,0.02,60.0,2.6672029972744992E-9,1.4160694837499571E-9
water-cooling,150.0,0.2,2.0,1.0289664066387397E-5,4.307084168274613E-6
water-cooling,150.0,0.2,15.0,1.6340927798642987E-5,3.841914084113408E-6
water-cooling,150.0,0.2,60.0,9.638149113542999E-6,2.355551888426884E-6
water-heating,1.0,0.002,2.0,2.269452551945181E-6,1.142016957753704E-6
water-heating,1.0,0.002,15.0,4.956794563216538E-6,1.2293594180059921E-6
water-heating,1.0,0.002,60.0,5.689247228177354E-7,1.3349186437534182E-7
water-heating,1.0,0.02,2.0,2.5789624901988907E-7,1.4357344319186898E-7
water-heating,1.0,0.02,15.0,1.7670442657397803E-6,9.182419670043535E-7
water-heating,1.0,0.02,60.0,4.961815532171683E-6,1.676321927137097E-6
water-heating,1.0,0.2,2.0,2.5832893864225426E-8,1.4375222932964156E-8
water-heating,1.0,0.2,15.0,1.9365889641604627E-7,1.0781142276861839E-7
water-heating,1.0,0.2,60.0,7.57093232050217E-7,4.1407477598183973E-7
water-heating,1.0,1.0,2.0,5.1680400414406956E-9,2.8979664030390175E-9
water-heating,1.0,1.0,15.0,3.874139829505259E-8,2.156379066330197E-8
water-heating,1.0,1.0,60.0,1.5494643537821028E-7,8.626016892547199E-8
water-heating,1.0,3.0,2.0,1.7387550759981096E-9,8.693775379990548E-10
water-heating,1.0,3.0,15.0,1.2905986279790986E-8,7.187166049420226E-9
water-heating,1.0,3.0,60.0,5.1660668087161505E-8,2.875780403528474E-8
water-heating,10.0,0.002,2.0,3.971015934946162E-6,1.0585357140041863E-6
water-heating,10.0,0.002,15.0,4.360553051177282E-6,1.112316624726113E-6
water-heating,10.0,0.002,60.0,1.748234946797293E-5,3.180129766634057E-6
water-heating,10.0,0.02,2.0,2.269452551983234E-6,1.1420169577537033E-6
water-heating,10.0,0.02,15.0,4.956794563087705E-6,1.2293594180489352E-6
water-heating,10.0,0.02,60.0,5.645366824391882E-7,1.3162099879552022E-7
water-heating,10.0,0.2,2.0,2.581801946818589E-7,1.437307558030057E-7
water-heating,10.0,0.2,15.0,1.7799508873926675E-6,9.242424910467355E-7
water-heating,10.0,0.2,60.0,5.03957729907178E-6,1.652719683753864E-6
water-heating,10.0,1.0,2.0,5.165627845214357E-8,2.8758049759529263E-8
water-heating,10.0,1.0,15.0,3.856152163985057E-7,2.139631499371861E-7
water-heating,10.0,1.0,60.0,1.4546374810474353E-6,7.69266511145373E-7
water-heating,50.0,0.002,2.0,1.767562815290231E-6,4.6152444011981586E-7
water-heating,50.0,0.002,15.0,1.9157351198184994E-5,4.568114531808896E-6
water-heating,50.0,0.002,60.0,3.818935976220235E-8,1.8078038926364465E-8
water-heating,50.0,0.02,2.0,5.780700978939311E-6,1.3257370189113699E-6
water-heating,50.0,0.02,15.0,5.519873388471745E-7,1.5604641740826352E-7
water-heating,50.0,0.02,60.0,1.0536537019499094E-5,3.0528956166555275E-6
water-heating,50.0,0.2,2.0,1.2284650931876998E-6,6.573134679093504E-7
water-heating,50.0,0.2,15.0,5.526616686937039E-6,1.3896652542030016E-6
water-heating,50.0,0.2,60.0,2.7905747095939095E-6,6.868829245147087E-7
water-heating,50.0,1.0,2.0,2.582008270194808E-7,1.4374283985536764E-7
water-heating,50.0,1.0,15.0,1.7808686015303194E-6,9.246686612473878E-7
water-heating,50.0,1.0,60.0,5.045149665474964E-6,1.6508148752201796E-6
water-heating,150.0,0.002,2.0,1.0139700809602631E-5,2.262166290216996E-6
water-heating,150.0,0.002,15.0,4.529585101398414E-7,2.0764956454497437E-7
water-heating,150.0,0.002,60.0,0.0,0.0
water-heating,150.0,0.02,2.0,3.136556823593908E-6,7.837039492798745E-7
water-heating,150.0,0.02,15.0,1.0012492671713611E-5,2.2675981855897994E-6
water-heating,150.0,0.02,60.0,2.480494463273435E-6,1.0791553858435303E-6
water-heating,150.0,0.2,2.0,3.1938436067775396E-6,1.48849218407203E-6
water-heating,150.0,0.2,15.0,3.516247025713042E-6,9.212894355610505E-7
water-heating,150.0,0.2,60.0,3.305733332007063E-6,7.719142580115527E-7
steam-condensing,1.0,0.002,2.0,0.009640927865576703,0.002158849770227387
steam-condensing,1.0,0.002,15.0,5.429060128338767E-12,1.2017267904820583E-12
steam-condensing,1.0,0.002,60.0,0.0,0.0
steam-condensing,1.0,0.02,2.0,0.0033910046240247693,0.010457908441221445
steam-condensing,1.0,0.02,15.0,0.043565124734202904,0.00975928708952209
steam-condensing,1.0,0.02,60.0,1.8743567590992525E-6,4.178777144578241E-7
steam-condensing,1.0,0.2,2.0,4.12550305538946E-5,7.776126479807057E-5
steam-condensing,1.0,0.2,15.0,0.0033399737797853227,0.013238585695172679
steam-condensing,1.0,0.2,60.0,0.04846987263433127,0.011845927291847065
steam-condensing,1.0,1.0,2.0,4.807850911304781E-5,1.2952032617072316E-5
steam-condensing,1.0,1.0,15.0,0.006803269306501936,0.007173375677639173
steam-condensing,1.0,1.0,60.0,0.0045601193197279954,0.013684499795863982
steam-condensing,1.0,3.0,2.0,5.070493634466286E-5,1.46193136465965E-5
steam-condensing,1.0,3.0,15.0,5.326224798657407E-5,1.2596050636030834E-5
steam-condensing,1.0,3.0,60.0,0.010708167501714513,0.012192989175728437
steam-condensing,10.0,0.002,2.0,1.8353680135141796E-14,4.006789325277434E-15
steam-condensing,10.0,0.002,15.0,0.0,0.0
steam-condensing,10.0,0.002,60.0,0.0,0.0
steam-condensing,10.0,0.02,2.0,0.00964092786557663,0.0021588497702273134
steam-condensing,10.0,0.02,15.0,5.4291771844001775E-12,1.2016975264667045E-12
steam-condensing,10.0,0.02,60.0,0.0,0.0
steam-condensing,10.0,0.2,2.0,0.003391004624025906,0.010457908441220942
steam-condensing,10.0,0.2,15.0,0.04356512473420331,0.00975928708952219
steam-condensing,10.0,0.2,60.0,1.1166245417710994E-6,2.4887295217557875E-7
steam-condensing,10.0,1.0,2.0,0.00987936852728105,0.010931737695431288
steam-condensing,10.0,1.0,15.0,0.028409131343073043,0.0015463499090996597
steam-condensing,10.0,1.0,60.0,0.001495504306654021,3.346533169782451E-4
steam-condensing,10.0,3.0,2.0,4.8395330987479286E-5,1.2710804697962035E-5
steam-condensing,10.0,3.0,15.0,0.005883244822166706,0.014132923761440496
steam-condensing,10.0,3.0,60.0,0.048734675175940406,0.01198415473759558
steam-condensing,50.0,0.002,2.0,0.0,0.0
steam-condensing,50.0,0.002,15.0,0.0,0.0
steam-condensing,50.0,0.002,60.0,0.0,0.0
steam-condensing,50.0,0.02,2.0,3.632585798793063E-9,8.070116101522255E-10
steam-condensing,50.0,0.02,15.0,0.0,0.0
steam-condensing,50.0,0.02,60.0,0.0,0.0
steam-condensing,50.0,0.2,2.0,0.07683439674111475,0.026910141637291753
steam-condensing,50.0,0.2,15.0,4.0892160345229915E-8,9.097045505708933E-9
steam-condensing,50.0,0.2,60.0,0.0,0.0
