fluid,L_m,v0_m_s,U_W_m2K,status,dp_Pa,dp_fraction,q0,qref,q1,q2,heat_ref,cp0_error,cp1_error,table_error,frozen_error,one_error,two_error,gated_error,flow_one_error,outlet_ref_K,vapor_in,vapor_out,one_self_mismatch,refinement_error,energy_residual,one_cpu_us,reference_cpu_us,reference_evals,detail
water-cooling,10.0,0.02,15.0,OK,1.2747506871837626,4.249168957279209E-6,0.037959403408088836,0.03862028208253076,0.03864454224457753,0.03863367091000049,1315.8063344090722,4.411317977008128E-5,1.9584324588605052E-5,1.5718591484742025E-5,0.0012494874180411432,2.8806271372607554E-5,8.86061910577078E-6,0.0012494874180411432,6.281715393721499E-4,351.88330419706915,0.0,0.0,0.0012782568675995388,1.0984402160867224E-8,1.7279680139723162E-16,0.0,15625.0,43,
water-cooling,10.0,1.0,15.0,OK,2052.6596097647202,0.006842198699215734,1.8979701704044414,1.8979488391071704,1.8979407963069632,1.8979407958509533,1411.6300406288565,2.324642873842593E-8,5.726027244097027E-9,1.2099255285009104E-6,1.1933150419182895E-6,1.216188569496206E-6,1.2161884190552216E-6,1.1933150419182895E-6,4.237627506833994E-6,359.8229654489259,0.0,0.0,2.287355539647309E-8,3.3973700810415306E-9,8.295203551622088E-14,0.0,0.0,43,
water-cooling,100.0,0.02,15.0,OK,12.747506871837626,4.249168957279209E-5,0.037959403408088836,0.0371999487285457,0.03733324741764697,0.037216305361658306,7287.292917318075,0.0018544735348603775,2.603890769819434E-4,4.899178462228159E-6,0.01156332542782398,0.002044826321659872,2.470620157607116E-4,0.01156332542782398,0.0035833030328610406,313.2004014865264,0.0,0.0,0.009499075147271541,5.979378561019536E-6,4.982035158946537E-16,0.0,31250.0,43,
water-cooling,100.0,1.0,15.0,SCREENED_DP,20526.5960976472,0.06842198699215733
water-heating,10.0,0.02,15.0,OK,2.1855232768,7.2850775893333336E-6,0.03910155501225257,0.04235509907827548,0.04247912759970271,0.04220369614429756,-1323.6759082309484,1.2854600350141559E-5,4.913577988173209E-6,4.956794563087705E-6,0.005400187252775351,1.8507420162150267E-4,2.383769175395583E-4,0.005400187252775351,0.0029283020020333026,307.4776526908504,0.0,0.0,0.005584227957865879,1.4917610894378482E-8,2.919624973040836E-15,0.0,15625.0,43,
water-heating,10.0,1.0,15.0,OK,2329.2771007228853,0.007764257002409618,1.955077750612628,1.9553152357429187,1.9552820068900116,1.955281985557042,-1411.681138787525,8.765087695878486E-9,2.0798520192581674E-9,3.856152163985057E-7,5.606473260482809E-7,4.1010313629148616E-7,4.1011864419832946E-7,5.606473260482809E-7,1.69941154753974E-5,300.1727007408929,0.0,0.0,1.505442514954644E-7,1.3700873198466929E-9,3.5563362537984836E-13,0.0,0.0,43,
water-heating,100.0,0.02,15.0,OK,21.855232768000004,7.285077589333334E-5,0.03910155501225257,0.050867869072146826,0.050243764487936146,0.05085803522652629,-8544.743451929942,1.3184005470551753E-4,8.195862680068765E-5,5.228976216204688E-6,0.12380739247290248,0.0056061121471380915,8.247616608005756E-5,0.0056061121471380915,0.012269131685573486,340.18592251551934,0.0,0.0,0.11886766579085646,3.990852568172442E-6,6.422349703609312E-16,0.0,15625.0,43,
water-heating,100.0,1.0,15.0,SCREENED_DP,23292.771007228857,0.07764257002409619
steam-condensing,,,,PROFILE_FAILED,,,,,,,,,,,,,,,,,,,,,,,,,java.lang.IllegalArgumentException: Water-vapor approximation outside qualified partial-pressure range
steam-sensible,10.0,0.02,15.0,OK,0.04435528459113209,4.435528459113209E-7,1.701753736218435E-5,2.7591187516424962E-5,2.7598353566120347E-5,2.7598353566115935E-5,5.318262671362505,0.014210496528671148,1.670053689680919E-16,0.0,0.38322562767355134,2.597224092337353E-4,2.597224090739112E-4,2.597224092337353E-4,2.597224092337089E-4,400.0,1.0,1.0,0.3833857762053231,5.264123625808396E-4,1.6696200519385245E-16,0.0,62500.0,43,
steam-sensible,10.0,1.0,15.0,OK,2.2177642295566042,2.2177642295566042E-5,8.508768681092174E-4,0.0012384079629062187,0.0012507424858564332,0.0012408439283946313,238.6949456744688,0.014196802911030187,5.049592700434467E-6,5.056440944523524E-7,0.31289569115892946,0.009954628626201183,0.0019655877697723014,0.009954628626201183,0.009959983559269614,400.0046445125321,1.0,1.0,0.3196681421464352,2.6742365559178318E-5,1.1789763904357398E-16,0.0,31250.0,43,
steam-sensible,100.0,0.02,15.0,OK,0.443552845911321,4.43552845911321E-6,1.701753736218435E-5,2.7598353566120347E-5,2.7598353566120347E-5,2.7598353566115935E-5,5.319643943356449,0.014210496528671028,0.0,0.0,0.3833857762053231,0.0,1.597826389705168E-13,0.0,0.0,400.0,1.0,1.0,0.3833857762053231,1.0543166439288304E-10,1.6696200519385245E-16,0.0,31250.0,43,
steam-sensible,100.0,1.0,15.0,OK,22.177642295566045,2.2177642295566046E-4,8.508768681092174E-4,0.0012623588465059377,0.0012644065576275939,0.001264366067675206,243.32247125065552,0.01421049652867122,0.0,0.0,0.325962763706734,0.0016221307652130729,0.0015900559296780751,0.0016221307652130729,0.0016221307652130698,400.0,1.0,1.0,0.32705436951725575,2.2170946808161871E-4,1.1661759072415116E-16,0.0,31250.0,43,
