fluid,L_m,v0_m_s,U_W_m2K,check,error,refinement
water-cooling,10.0,0.02,15.0,refinement,1.0984402160867224E-8,1.979945846563223E-7
water-cooling,10.0,1.0,15.0,refinement,3.3973700810415306E-9,1.0641181045707123E-8
water-cooling,100.0,0.02,15.0,refinement,5.979378561019536E-6,1.0433268244666244E-5
water-cooling,,,,rk4,4.824376776189244E-13,9.11343882056145E-13
water-heating,10.0,0.02,15.0,refinement,1.4917610894378482E-8,2.154084448654392E-7
water-heating,10.0,1.0,15.0,refinement,1.3700873198466929E-9,5.028518256317443E-8
water-heating,100.0,0.02,15.0,refinement,3.990852568172442E-6,8.795335257705884E-6
water-heating,,,,rk4,2.9493093482778947E-13,3.4847143742201823E-13
steam-sensible,10.0,0.02,15.0,refinement,5.264123625808396E-4,5.264123625809069E-4
steam-sensible,10.0,1.0,15.0,refinement,2.6742365559178318E-5,2.6756623242712284E-5
steam-sensible,100.0,0.02,15.0,refinement,1.0543166439288304E-10,1.05431692737421E-10
steam-sensible,100.0,1.0,15.0,refinement,2.2170946808161871E-4,2.2170946808164297E-4
steam-sensible,,,,rk4,9.615459420231171E-14,2.7145684757792872E-14
methane-cooling,10.0,0.02,15.0,refinement,9.199057945045166E-4,9.19905794504495E-4
methane-cooling,10.0,1.0,15.0,refinement,7.855940818585329E-6,8.703620310994105E-6
methane-cooling,100.0,0.02,15.0,refinement,3.317898527032168E-4,3.317898527032299E-4
methane-cooling,100.0,1.0,15.0,refinement,1.0520446059938855E-4,1.0520446059942891E-4
methane-cooling,,,,rk4,5.619440516735197E-14,1.2372347728606628E-13
methane-heating,10.0,0.02,15.0,refinement,6.917253881347085E-4,6.917253881347136E-4
methane-heating,10.0,1.0,15.0,refinement,7.638304054738056E-6,9.185553967033811E-6
methane-heating,100.0,0.02,15.0,refinement,1.1398286374635043E-7,1.1398286372059086E-7
methane-heating,100.0,1.0,15.0,refinement,7.917399508302707E-5,7.917399508321168E-5
methane-heating,,,,rk4,1.4243647841677422E-14,1.0957897260017588E-13
pentane-liquid,10.0,0.02,15.0,refinement,7.574523213523878E-8,2.5812453065538174E-7
pentane-liquid,10.0,1.0,15.0,refinement,2.5604735786406896E-8,3.6847882575570695E-9
pentane-liquid,100.0,0.02,15.0,refinement,7.234030912250618E-8,5.300275013934433E-8
pentane-liquid,100.0,1.0,15.0,refinement,2.6346932300224216E-8,1.558749750955727E-9
pentane-liquid,,,,rk4,5.147648911142134E-14,3.5993326370878493E-14
pentane-condensing,10.0,0.02,15.0,refinement,2.6433781357110845E-4,2.643707712130081E-4
pentane-condensing,10.0,1.0,15.0,refinement,6.196597804905933E-7,1.3115330755353908E-6
pentane-condensing,100.0,0.02,15.0,refinement,9.502096565402724E-4,9.502096565402222E-4
pentane-condensing,100.0,1.0,15.0,refinement,3.0491020578422267E-5,4.106823414605159E-5
pentane-condensing,,,,rk4,1.648822148228283E-14,1.6690945516901338E-13
crude-cooling,10.0,0.02,15.0,refinement,1.1872450710583047E-4,1.1872450710580258E-4
crude-cooling,10.0,1.0,15.0,refinement,3.22768615509602E-8,1.3369489621493445E-7
crude-cooling,100.0,0.02,15.0,refinement,0.0011458214922220507,0.0011458214922220216
crude-cooling,100.0,1.0,15.0,refinement,7.201145921356059E-6,1.399088641955791E-5
crude-cooling,,,,rk4,1.2097735382857973E-14,1.8464964531730813E-14
heavy-liquid,10.0,0.02,15.0,refinement,2.3066318301653825E-7,2.1455078882133687E-6
heavy-liquid,10.0,1.0,15.0,refinement,7.626060069841126E-8,8.950246203506658E-8
heavy-liquid,100.0,0.02,15.0,refinement,1.8462745123256137E-5,1.846272401893683E-5
heavy-liquid,100.0,1.0,15.0,refinement,7.98775940694339E-8,7.468760090873396E-8
heavy-liquid,,,,rk4,2.450422738719967E-14,3.3565686473092036E-14
