key=0.05:4:false, worstMoles=2.521110998631698E-15, worstEnergy=2.1348679498668027E-15
key=0.05:4:true, worstMoles=3.2220750269911593E-15, worstEnergy=3.485151865730924E-15
key=0.05:5:false, worstMoles=1.516511481698091E-15, worstEnergy=4.182001600424011E-15
key=0.05:5:true, worstMoles=1.0561410940213871E-15, worstEnergy=2.008392600590702E-15
key=0.05:6:false, worstMoles=1.6353152423556962E-15, worstEnergy=1.0528115917151356E-15
key=0.05:6:true, worstMoles=9.494644392200328E-16, worstEnergy=2.9830537155832486E-15
key=0.02:4:false, worstMoles=6.893234007718596E-16, worstEnergy=1.0751319828165381E-15
key=0.02:4:true, worstMoles=1.1678858436849684E-15, worstEnergy=2.4199396430750387E-15
key=0.02:5:false, worstMoles=8.587395909448297E-16, worstEnergy=1.0170167405021306E-15
key=0.02:5:true, worstMoles=8.243900073070364E-16, worstEnergy=1.80766575747774E-15
key=0.02:6:false, worstMoles=5.839429218424842E-16, worstEnergy=1.0170167405021306E-15
key=0.02:6:true, worstMoles=6.182925054802773E-16, worstEnergy=2.71149863621661E-15
