key=0.05:4:false, worstMoles=5.10099316571176E-15, worstEnergy=5.4395265571948675E-15
key=0.05:4:true, worstMoles=1.8286551733222133E-15, worstEnergy=4.607488907237493E-15
key=0.05:5:false, worstMoles=3.0662160794169303E-15, worstEnergy=5.731974221560183E-15
key=0.05:5:true, worstMoles=1.2841621953470297E-15, worstEnergy=1.8311814887738755E-15
key=0.05:6:false, worstMoles=1.3627627019630802E-15, worstEnergy=7.603639273498202E-16
key=0.05:6:true, worstMoles=7.835885536287712E-16, worstEnergy=2.864912974372031E-15
key=0.02:4:false, worstMoles=5.514587206174876E-16, worstEnergy=1.2785353309169641E-15
key=0.02:4:true, worstMoles=1.2013212947883937E-15, worstEnergy=2.9155899314157096E-15
key=0.02:5:false, worstMoles=9.995189311191963E-16, worstEnergy=2.063091102161465E-15
key=0.02:5:true, worstMoles=7.556908400314501E-16, worstEnergy=2.886434032101552E-15
key=0.02:6:false, worstMoles=9.61788341858209E-16, worstEnergy=8.71728634716112E-16
key=0.02:6:true, worstMoles=8.915014561666219E-16, worstEnergy=2.769810434844924E-15
