Temperature (K)	Pressure (kPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
63.1600000000	0.100000000000	0.00533482730320	187.447492330	1.30460915401	1.82971481176	203.871626944	20.7897359649	29.1067312538	161.992909273	40.2914912511	4.36476911621	0.00560220173468	vapor
68.1600000000	0.100000000000	0.00494340682129	202.289642781	1.40856240996	1.97524609618	206.089136830	20.7894089982	29.1058499510	168.284117047	34.0548966209	4.72024249292	0.00611076986160	vapor
73.1600000000	0.100000000000	0.00460550666974	217.131375918	1.51251330140	2.12077384706	208.149546348	20.7892447330	29.1052928655	174.348240034	29.2967482101	5.07246809556	0.00661687980972	vapor
78.1600000000	0.100000000000	0.00431085007273	231.972808872	1.61646280448	2.26629936867	210.073661178	20.7891824990	29.1049435670	180.208255209	25.5722461348	5.42129971287	0.00712009502195	vapor
83.1600000000	0.100000000000	0.00405163370183	246.814019626	1.72041155129	2.41182351155	211.878406706	20.7891867016	29.1047323997	185.883500068	22.5924542360	5.76664150994	0.00762008652792	vapor
88.1600000000	0.100000000000	0.00382182554798	261.655061814	1.82435996582	2.55734684993	213.577737548	20.7892356711	29.1046160864	191.390434088	20.1633602165	6.10843605057	0.00811660864822	vapor
93.1600000000	0.100000000000	0.00361668919714	276.495973386	1.92830834162	2.70286978367	215.183294988	20.7893157800	29.1045668341	196.743206146	18.1508588129	6.44665532380	0.00860948073910	vapor
98.1600000000	0.100000000000	0.00343245364901	291.336781864	2.03225688788	2.84839259908	216.704891889	20.7894182081	29.1045662632	201.954085353	16.4598558896	6.78129394343	0.00909857329765	vapor
103.160000000	0.100000000000	0.00326607923519	306.177507644	2.13620575776	2.99391550644	218.150876776	20.7895370992	29.1046018988	207.033793591	15.0213758966	7.11236394303	0.00958379726537	vapor
108.160000000	0.100000000000	0.00311508850739	321.018166138	2.24015506616	3.13943866383	219.528411524	20.7896684729	29.1046650727	211.991765904	13.7843703862	7.43989075774	0.0100650957118	vapor
113.160000000	0.100000000000	0.00297744198376	335.858769190	2.34410490138	3.28496219273	220.843686173	20.7898095725	29.1047496397	216.836357048	12.7103666963	7.76391009938	0.0105424373115	vapor
118.160000000	0.100000000000	0.00285144545694	350.699326044	2.44805533279	3.43048618840	222.102087208	20.7899584450	29.1048511520	221.575007236	11.7698963163	8.08446551087	0.0110158111880	vapor
123.160000000	0.100000000000	0.00273567988929	365.539844013	2.55200641606	3.57601072700	223.308330919	20.7901136908	29.1049663429	226.214376513	10.9400557302	8.40160644211	0.0114852228096	vapor
128.160000000	0.100000000000	0.00262894772384	380.380328955	2.65595819678	3.72153587054	224.466570184	20.7902742905	29.1050927746	230.760454750	10.2028029195	8.71538672954	0.0119506907036	vapor
133.160000000	0.100000000000	0.00253023129449	395.220785616	2.75991071305	3.86706167039	225.580480795	20.7904394955	29.1052286061	235.218652452	9.54375356338	9.02586339047	0.0124122438109	vapor
138.160000000	0.100000000000	0.00243866026925	410.061217879	2.86386399733	4.01258816991	226.653331853	20.7906087570	29.1053724371	239.593876318	8.95131217716	9.33309566451	0.0128699193457	vapor
143.160000000	0.100000000000	0.00235348591736	424.901628951	2.96781807785	4.15811540631	227.688043645	20.7907816813	29.1055232023	243.890592569	8.41603647922	9.63714425028	0.0133237610588	vapor
148.160000000	0.100000000000	0.00227406058802	439.742021505	3.07177297969	4.30364341215	228.687235571	20.7909580047	29.1056801029	248.112880384	7.93016594692	9.93807069710	0.0137738178205	vapor
153.160000000	0.100000000000	0.00219982120926	454.582397782	3.17572872573	4.44917221659	229.653266113	20.7911375848	29.1058425661	252.264477250	7.48726763800	10.2359369204	0.0142201424642	vapor
158.160000000	0.100000000000	0.00213027591734	469.422759681	3.27968533747	4.59470184646	230.588266386	20.7913204043	29.1060102252	256.348817681	7.08196694908	10.5308048162	0.0146627908378	vapor
163.160000000	0.100000000000	0.00206499314483	484.263108816	3.38364283587	4.74023232722	231.494168455	20.7915065873	29.1061829186	260.369066436	6.70974069483	10.8227359554	0.0151018210254	vapor
168.160000000	0.100000000000	0.00200359265574	499.103446568	3.48760124228	4.88576368412	232.372729387	20.7916964273	29.1063607042	264.328147166	6.36675645619	11.1117913427	0.0155372927082	vapor
173.160000000	0.100000000000	0.00194573813390	513.943774129	3.59156057948	5.03129594325	233.225551773	20.7918904251	29.1065438871	268.228767208	6.04974666619	11.3980312265	0.0159692666387	vapor
178.160000000	0.100000000000	0.00189113101950	528.784092529	3.69552087291	5.17682913295	234.054101327	20.7920893364	29.1067330595	272.073439151	5.75590904511	11.6815149528	0.0163978042082	vapor
183.160000000	0.100000000000	0.00183950535534	543.624402667	3.79948215219	5.32236328535	234.859722055	20.7922942286	29.1069291514	275.864499658	5.48282721906	11.9623008517	0.0168229670916	vapor
188.160000000	0.100000000000	0.00179062345474	558.464705326	3.90344445285	5.46789843818	235.643649383	20.7925065440	29.1071334888	279.604125946	5.22840693774	12.2404461526	0.0172448169560	vapor
193.160000000	0.100000000000	0.00174427224238	573.305001195	4.00740781845	5.61343463693	236.407021554	20.7927281694	29.1073478597	283.294350272	4.99082445490	12.5160069224	0.0176634152220	vapor
198.160000000	0.100000000000	0.00170026014916	588.145290880	4.11137230302	5.75897193733	237.150889584	20.7929615090	29.1075745838	286.937072705	4.76848446447	12.7890380212	0.0180788228694	vapor
