Temperature (K)	Pressure (kPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
63.1510000000	10.0000000000	0.537531803017	1.86035504204	1.29655571169	1.81770589932	165.452869364	20.9620673056	29.5338483156	161.286282413	40.6354320111	4.37377901515	0.00561674840878	vapor
68.1510000000	10.0000000000	0.497323464651	2.01076376057	1.40179976659	1.96508467050	167.698890309	20.9122375219	29.4249698625	167.701975877	34.2730538569	4.72833649053	0.00612405731761	vapor
73.1510000000	10.0000000000	0.462805571904	2.16073457345	1.50671614797	2.11201309556	169.779426692	20.8794325145	29.3509110894	173.860907490	29.4389759917	5.07979297768	0.00662912440249	vapor
78.1510000000	10.0000000000	0.432826662377	2.31039371398	1.61140832087	2.25863000186	171.718221266	20.8571134913	29.2987537004	179.794979797	25.6673177704	5.42797052006	0.00713145502947	vapor
83.1510000000	10.0000000000	0.406533160270	2.45982393991	1.71594206167	2.40502434911	173.533973569	20.8414959303	29.2609200646	185.529297701	22.6574305416	5.77275004907	0.00763068313916	vapor
88.1510000000	10.0000000000	0.383276640968	2.60908151740	1.82036072682	2.55125525588	175.241754441	20.8303003192	29.2327728431	191.084189180	20.2086287146	6.11405671458	0.00812653778920	vapor
93.1510000000	10.0000000000	0.362554513385	2.75820590582	1.92469380188	2.69736326166	176.853932528	20.8221053627	29.2113688413	196.476481529	18.1829106993	6.45184919155	0.00861882024113	vapor
98.1510000000	10.0000000000	0.343970562551	2.90722552705	2.02896189382	2.84337693539	178.380809373	20.8159975686	29.1947798822	201.720349482	16.4828498625	6.78611174008	0.00910738751881	vapor
103.151000000	10.0000000000	0.327207856801	3.05616133358	2.13317975494	2.98931689889	179.831070744	20.8113738254	29.1817070100	206.827903074	15.0380392976	7.11684822282	0.00959214022529	vapor
108.151000000	10.0000000000	0.312009648669	3.20502908890	2.23735817319	3.13519835600	181.212116831	20.8078261288	29.1712531030	211.809609888	13.7965313025	7.44407754264	0.0100730133070	vapor
113.151000000	10.0000000000	0.298165607604	3.35384086728	2.34150518998	3.28103273057	182.530309673	20.8050730320	29.1627852987	216.674605838	12.7192748021	7.76783012880	0.0105499689338	vapor
118.151000000	10.0000000000	0.285501703955	3.50260606555	2.44562690240	3.42682875206	183.791162257	20.8029157249	29.1558473630	221.430933046	11.7764218340	8.08814520818	0.0110229909390	vapor
123.151000000	10.0000000000	0.273872650354	3.65133210165	2.54972800454	3.57259319257	184.999485492	20.8012120115	29.1501052321	226.085720917	10.9448148463	8.40506867143	0.0114920804325	vapor
128.151000000	10.0000000000	0.263156169919	3.80002490654	2.65381216202	3.71833137920	186.159504128	20.7998582531	29.1453099940	230.645330482	10.2062385786	8.71865139502	0.0119572523113	vapor
133.151000000	10.0000000000	0.253248592079	3.94868927717	2.75788227371	3.86404755463	187.274949308	20.7987778327	29.1412734789	235.115469135	9.54618862170	9.02894791570	0.0124185324629	vapor
138.151000000	10.0000000000	0.244061428143	4.09732913394	2.86194065905	4.00974513652	188.349133304	20.7979133759	29.1378515467	239.501283508	8.95298493696	9.33601537961	0.0128759555129	vapor
143.151000000	10.0000000000	0.235518679920	4.24594771140	2.96598919386	4.15542690680	189.385010463	20.7972213933	29.1349324293	243.807435583	8.41712484992	9.63991270709	0.0133295630003	vapor
