Temperature (K)	Pressure (kPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
63.1510078824	12.5197999995	867.221846347	0.00115310748249	-4.22301489797	-4.22261047646	67.9512670218	32.9511048668	56.0333123245	995.279565198	-0.404190905734	311.589774262	0.173275305582	0.0122051476068	0.674273074903	1.48307864754	1.29452319869	1.81467323872	163.552016996	21.0073030983	29.6467437552	161.106850797	40.7175306636	4.37625752920	0.00562085770393
65.2468738030	18.1586003333	858.572220754	0.00116472438291	-4.10553481304	-4.10494233454	69.7814366848	32.5435871965	56.1341150942	973.842734008	-0.397503451681	278.439697072	0.169053593632	0.0117016390849	0.949412194284	1.05328329046	1.33460519625	1.87039522541	161.361878960	21.0662913341	29.8087287955	163.473141307	37.9609313077	4.53047086761	0.00584261082616
66.8707838523	23.7974006669	851.790846635	0.00117399711907	-4.01437205005	-4.01358940721	71.1616082271	32.2317844722	56.2236556894	957.351734333	-0.391824825507	256.207852846	0.165790233771	0.0113144239150	1.21739231683	0.821427888265	1.36508823944	1.91269150456	159.784480136	21.1184281303	29.9559218371	165.231030318	36.0509031984	4.65049381246	0.00601594140218
68.2119117795	29.4362009993	846.135487968	0.00118184382315	-3.93898257853	-3.93800801779	72.2779262193	31.9779217701	56.3068458558	943.784691292	-0.386771369105	239.780275434	0.163099762110	0.0109965943140	1.48008773581	0.675635623351	1.38984431632	1.94698049686	158.553011628	21.1658948641	30.0929934356	166.631101791	34.6037049897	4.75004533234	0.00616027568249
69.3627205567	35.0750013324	841.241521800	0.00118871926086	-3.87421072353	-3.87304272026	73.2196617102	31.7631756452	56.3858395847	932.167265005	-0.382150374818	226.909363645	0.160794183506	0.0107253044106	1.73863004244	0.575165489832	1.41076044699	1.97590244061	157.543706585	21.2099054010	30.2225642581	167.794071986	33.4464552714	4.83582595656	0.00628510997186
70.3757921943	40.7138016664	836.900741487	0.00119488482974	-3.81712379437	-3.81576098608	74.0368220552	31.5767330877	56.4617949725	921.950959790	-0.377849503107	216.420030465	0.158766765234	0.0104875995525	1.99377657607	0.501560712471	1.42890694731	2.00095462928	156.689044275	21.2512212712	30.3462893434	168.787766412	32.4869615245	4.91164413163	0.00639584505318
71.2840794163	46.3526019996	832.982210019	0.00120050583070	-3.76588356127	-3.76432470722	74.7603540141	31.4117808921	56.5354190599	912.794704516	-0.373796760169	207.625775896	0.156950708325	0.0102753810274	2.24606935024	0.445222227842	1.44495296765	2.02307300162	155.948155782	21.2903588630	30.4652972612	169.654246003	31.6704594104	4.97988562555	0.00649586568708
72.1096882952	51.9914023333	829.397821313	0.00120569402801	-3.71925669159	-3.71750064633	75.4107934072	31.2637359930	56.6071823955	904.471117494	-0.369942862503	200.093113639	0.155301251746	0.0100832275177	2.49591510347	0.400654653122	1.45934639820	2.04288391813	155.294435961	21.3276880881	30.5804004239	170.421462490	30.9618653240	5.04215041851	0.00658744254680
72.8682171401	57.6302026669	826.085237623	0.00121052883462	-3.67637283581	-3.67441853079	76.0024922125	31.1293611112	56.6774181250	896.820579421	-0.366252388701	193.532062603	0.153786842357	0.00990732099690	2.74363005822	0.364480625588	1.47240260968	2.06082834330	154.709603477	21.3634850003	30.6922077835	171.108970283	30.3374080934	5.09956720508	0.00667217784117
73.5711107695	63.2690029999	822.998607992	0.00121506888382	-3.63659334252	-3.63443977272	76.5458906416	31.0062810847	56.7463732724	889.726481603	-0.362698907150	187.739787943	0.152384348815	0.00974486495326	2.98946691687	0.334507799486	1.48435253371	2.07722912323	154.180560503	21.3979622576	30.8011903425	171.731003497	29.7802682329	5.15296397849	0.00675124712534
74.2270320627	68.9078033337	820.103148710	0.00121935881062	-3.59943476385	-3.59708097777	77.0488297609	30.8926995104	56.8142376528	883.100888061	-0.359262097672	182.569272311	0.151076275853	0.00959374599809	3.23363211217	0.309249774035	1.49537063493	2.09233012307	153.697605049	21.4312878941	30.9077216707	172.298256839	29.2781267964	5.20296737794	0.00682554018219
74.8427069610	74.5466036670	817.371797486	0.00122343345229	-3.56452172238	-3.56196681432	77.5173541028	30.7872234715	56.8811612990	876.875745215	-0.355925954654	177.910813294	0.149849049414	0.00945232568635	3.47629734462	0.287662389279	1.50559212167	2.10632030567	153.253352307	21.4635974715	31.0121042196	172.818976195	28.8217030947	5.25006387885	0.00689574782182
75.4234691559	80.1854040000	814.783052607	0.00122732056932	-3.53155652624	-3.52879963015	77.9562254778	30.6887502382	56.9472655407	870.997239795	-0.352677614281	173.680547423	0.148691912062	0.00931930650281	3.71760758966	0.268990197562	1.51512402602	2.11934923190	152.842052466	21.4950022663	31.1145871038	173.299657667	28.4038393325	5.29463922678	0.00696241783446
75.9736245704	85.8242043337	812.319524468	0.00123104267456	-3.50029883526	-3.49733911983	78.3692646228	30.5963913043	57.0126503629	865.422037616	-0.349506560469	169.813038337	0.147596184322	0.00919364229660	3.95768682768	0.252672847434	1.52405260914	2.13153741941	152.459142144	21.5255949718	31.2153785184	173.745512869	28.0189043615	5.33700481927	0.00702599243243
76.4967030428	91.4630046666	809.966933699	0.00123461830156	-3.47055161882	-3.46738828345	78.7595857384	30.5094198655	57.0773994725	860.114695056	-0.346404070386	166.256324068	0.146554754927	0.00907447650508	4.19664225166	0.238285738939	1.53244846881	2.14298348664	152.100939639	21.5554537805	31.3146546525	174.160788629	27.6623920918	5.37741591989	0.00708683410546
76.9956368471	97.1018049999	807.713399456	0.00123806290780	-3.44215119513	-3.43878346659	79.1297619368	30.4272335357	57.1415838955	855.045828553	-0.343362816975	162.968510019	0.145561719451	0.00896109838319	4.43456742589	0.225501137757	1.54037015814	2.15376921403	151.764432025	21.5846453783	31.4125662410	174.548992679	27.3306431825	5.41608457549	0.00714524396010
77.4728902865	102.740605334	805.548922000	0.00124138953289	-3.41496000007	-3.41138712968	79.4819447315	30.3493272726	57.2052645976	850.190789412	-0.340376577486	159.915365706	0.144612118116	0.00885291126150	4.67154470274	0.214061956726	1.54786680963	2.16396321368	151.447122779	21.6132271859	31.5092434802	174.913056751	27.0206473566	5.45318899181	0.00720147503307
77.9305556901	108.379405667	803.464998901	0.00124460928773	-3.38886123035	-3.38508249161	79.8179521222	30.2752733206	57.2684944377	845.528684610	-0.337440015498	157.068592002	0.143701741670	0.00874940905606	4.90764710303	0.203763632349	1.55498007688	2.17362364463	151.146920420	21.6412490665	31.6047997815	175.255456867	26.7298999309	5.48888047765	0.00725574215307
78.3704257993	114.018206000	801.454335251	0.00124773172471	-3.36375480404	-3.35976949060	80.1393347136	30.2047060901	57.3313196510	841.041640108	-0.334548515034	154.404547496	0.142826985066	0.00865015857162	5.14293980051	0.194441319321	1.56174559716	2.18280025798	150.862055588	21.6687546491	31.6993346838	175.578303668	26.4562957035	5.52328868053	0.00730822937726
78.7940492217	119.657006333	799.510621392	0.00125076512212	-3.33955426593	-3.33536168979	80.4474261468	30.1373105791	57.3937809964	836.714237684	-0.331698052373	151.903296168	0.141984735428	0.00855478595679	5.37748130928	0.185960664944	1.56819411080	2.19153596194	150.591018288	21.6957823665	31.7929361445	175.883411339	26.1980491403	5.55652559720	0.00735909568805
79.2027735147	125.295806666	797.628360019	0.00125371670583	-3.31618438302	-3.31178387302	80.7433821218	30.0728133828	57.4559146561	832.533078222	-0.328885095610	149.547884332	0.141172285031	0.00846296618912	5.61132444466	0.178211046227	1.57435232995	2.19986803640	150.332509684	21.7223662814	31.8856823643	176.172350952	25.9536334362	5.58868868928	0.00740847941911
79.5977790874	130.934607000	795.802729973	0.00125659282425	-3.29357925246	-3.28897015292	81.0282109815	30.0109756241	57.5177529510	828.486438705	-0.326106524997	147.323784053	0.140387262867	0.00837441480792	5.84451710904	0.171100534286	1.58024362154	2.20782908773	150.085404583	21.7485367510	31.9776432585	176.446492278	25.7217333533	5.61986333468	0.00745650173812
79.9801061844	136.573407334	794.029477718	0.00125939908790	-3.27168079553	-3.26686246508	81.3027979650	29.9515873323	57.5793249168	824.563999643	-0.323359569043	145.218459354	0.139627580180	0.00828888133906	6.07710294059	0.164552091642	1.58588855043	2.21544780791	149.848721877	21.7743209665	32.0688816523	176.707036954	25.5012082751	5.65012477868	0.00750326941880
80.3506765890	142.212207667	792.304829954	0.00126214048204	-3.25043754633	-3.24540935682	81.5679246423	29.8944629255	57.6406567722	820.756626199	-0.320641752738	143.221024280	0.138891386687	0.00820614401063	6.30912185344	0.158500663520	1.59130531575	2.22274958451	149.621601020	21.7997433954	32.1594542647	176.955045065	25.2910629393	5.67953970304	0.00754887707033
80.7103112441	147.851008000	790.625422605	0.00126482145832	-3.22980366819	-3.22456500379	81.8242846417	29.8394375471	57.7017723042	817.056190726	-0.317950855219	141.321970567	0.138177035037	0.00812600546530	6.54061049113	0.152890926826	1.59651010494	2.22975699545	149.403283101	21.8248261483	32.2494125219	177.191456643	25.0904240192	5.70816749998	0.00759340894755
81.0597446865	153.489808333	788.988242586	0.00126744601000	-3.20973814806	-3.20428840439	82.0724964875	29.7863640677	57.7626931869	813.455427613	-0.315284874852	139.512948703	0.137483051713	0.00804828925089	6.77160260990	0.147675529355	1.60151738342	2.23649021388	149.193095489	21.8495892835	32.3388032372	177.417109237	24.8985212097	5.73606131560	0.00763694043364
81.3996369631	159.128608667	787.390579688	0.00127001773427	-3.19020413133	-3.18454271473	82.3131141667	29.7351106135	57.8234392479	809.947813595	-0.312642000214	137.786590361	0.136808113013	0.00797283692477	7.00212940481	0.142813698832	1.60634013364	2.24296734211	148.990439267	21.8740510634	32.4276691822	177.632752350	24.7146718200	5.76326891138	0.00767953926419
81.7305835433	164.767409000	785.829986512	0.00127253988415	-3.17116836854	-3.16529469536	82.5466358897	29.6855585120	57.8840286931	806.527468311	-0.310020585803	136.136363237	0.136151025076	0.00789950564690	7.23221978910	0.138270134089	1.61099005361	2.24920468912	148.794778871	21.8982281713	32.5160495703	177.839059430	24.5382681254	5.78983338068	0.00772126654537
82.0531236205	170.406209333	784.304244892	0.00127501541208	-3.15260075199	-3.14651424798	82.7735114065	29.6376005748	57.9444782964	803.189071129	-0.307419131568	134.556451491	0.135510707163	0.00782816616536	7.46190063464	0.134014113691	1.61547772313	2.25521700281	148.605633481	21.9221358949	32.6039804681	178.036637867	24.3687669070	5.81579374882	0.00776217760663
82.3677471083	176.045009667	782.811337570	0.00127744700671	-3.13447392521	-3.12817402494	82.9941481549	29.5911396512	58.0048035623	799.927791111	-0.304836265555	133.041656591	0.134886177566	0.00775870111946	7.69119698017	0.130018773746	1.61981274376	2.26101766545	148.422569832	21.9457882843	32.6914951484	178.226037399	24.2056807414	5.84118547879	0.00780232271930
82.6749005724	181.683810000	781.349424156	0.00127983712419	-3.11676295180	-3.11024909817	83.2089164577	29.5460874039	58.0650188650	796.739227699	-0.302270729109	131.587314553	0.134276541663	0.00769100360209	7.92013221234	0.126260518535	1.62400385733	2.26661885936	148.245196155	21.9691982871	32.7786243928	178.407757219	24.0485707047	5.86604090003	0.00784174770585
82.9749922870	187.322610334	779.916820628	0.00128218801486	-3.09944503315	-3.09271667693	83.4181539424	29.5023632672	58.1251375681	793.619360207	-0.299721364188	130.189226450	0.133680981744	0.00762497593467	8.14872822406	0.122718536255	1.62805904695	2.27203170794	148.073157058	21.9923778654	32.8653967547	178.582252012	23.8970402214	5.89038957390	0.00788049445923
83.2683965686	192.961410667	778.511981742	0.00128450174622	-3.08249926659	-3.07555586592	83.6221693178	29.4598935547	58.1851721288	790.564504567	-0.297187102433	128.843599732	0.133098748289	0.00756052861810	8.37700555335	0.119374398600	1.63198562351	2.27726639646	147.906129175	22.0153380973	32.9518387871	178.749937118	23.7507298531	5.91425860691	0.00791860138794
83.5554575065	198.600211000	777.133485881	0.00128678022266	-3.06590643703	-3.05874745709	83.8212456182	29.4186106923	58.2451341887	787.571276125	-0.294666955708	127.546998416	0.132529152462	0.00749757942986	8.60498350578	0.116211727696	1.63579030001	2.28233227596	147.743817434	22.0380892651	33.0379752415	178.911192959	23.6093128589	5.93767292042	0.00795610379919
83.8364921910	204.239011333	775.780021933	0.00128902520267	-3.04964883681	-3.04227374942	84.0156430016	29.3784525559	58.3050346528	784.636557489	-0.292160007878	126.296300592	0.131971559619	0.00743605264355	8.83268026273	0.113215917508	1.63947925593	2.28723795307	147.585951864	22.0606409332	33.1238292421	179.066368868	23.4724913953	5.96065548388	0.00799303423035
84.1117935161	209.877811667	774.450377894	0.00129123831370	-3.03371010920	-3.02611839248	84.2056011760	29.3393618969	58.3648837592	781.757470613	-0.289665407622	125.088662012	0.131425383670	0.00737587835111	9.06011297753	0.110373899584	1.64305819300	2.29199136792	147.432284832	22.0830020159	33.2094224397	179.215786392	23.3399932490	5.98322751747	0.00802942273686
84.3816326256	215.516612000	773.143430911	0.00129342106525	-3.01807511186	-3.01026624993	84.3913415093	29.3012858410	58.4246911403	778.931352476	-0.287182362148	123.921484742	0.130890082163	0.00731699187213	9.28729786104	0.107673945098	1.64653238388	2.29659986209	147.282588655	22.1051808372	33.2947751466	179.359742183	23.2115690150	6.00540866888	0.00806529714334
84.6462610536	221.155412333	771.858138561	0.00129557486025	-3.00272979732	-2.99470328000	84.5730688732	29.2641754513	58.4844658776	776.155733797	-0.284710131654	122.792390064	0.130365151982	0.00725933323679	9.51425025817	0.105105496793	1.64990671467	2.30107023803	147.136653515	22.1271851844	33.3799064566	179.498510504	23.0869896503	6.02721716804	0.00810068326340
84.9059126056	226.794212667	770.593531188	0.00129770100517	-2.98766110800	-2.97941643051	84.7509732596	29.2279853440	58.5442165491	773.428320351	-0.282248024442	121.699194967	0.129850125563	0.00720284673189	9.74098471638	0.102659025665	1.65318572235	2.30540881125	146.994285646	22.1490223546	33.4648343517	179.632345440	22.9660443443	6.04866996305	0.00813560509285
85.1608050173	232.433013000	769.348705137	0.00129980071887	-2.97285688351	-2.96439354625	84.9252312020	29.1926733503	58.6039512730	770.746976502	-0.279795392594	120.639891669	0.129346080278	0.00714748050066	9.96751504736	0.100325908238	1.65637362764	2.30962145622	146.855305740	22.1706991970	33.5495757969	179.761482836	22.8485386591	6.06978284012	0.00817008497992
85.4111414217	238.071813333	768.122816764	0.00130187514051	-2.95830577886	-2.94962328716	85.0960070314	29.1582002178	58.6636777459	768.109710650	-0.277351628126	119.612629716	0.128852187504	0.00709318618904	10.1938543825	0.0980983210549	1.65947436414	2.31371364706	146.719547551	22.1922221504	33.6341468254	179.886142006	22.7342928980	6.09057052959	0.00820414377597
