| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 239 | 247 | 88 | newton 2, be-state 14, be-mode 72 | 371 | 1.50 | 4.05 | 301 | 237 | 3.1 | 0/0 | 0 | 2/496 | 2869 | 199 |
| 0.05:4:true | 238 | 272 | 115 | be-state 15, be-mode 100 | 499 | 1.83 | 3.38 | 246 | 311 | 3.4 | 0/0 | 0 | 2/496 | 3255 | 226 |
| 0.05:5:false | 151 | 196 | 37 | newton 3, be-state 15, be-mode 19 | 234 | 1.19 | 4.48 | 235 | 160 | 1.9 | 0/0 | 0 | 2/496 | 2227 | 149 |
| 0.05:5:true | 178 | 226 | 67 | be-state 15, be-mode 52 | 369 | 1.63 | 2.99 | 209 | 188 | 1.7 | 0/0 | 0 | 2/496 | 2596 | 176 |
| 0.05:6:false | 159 | 199 | 40 | newton 2, be-state 15, be-mode 23 | 297 | 1.49 | 4.60 | 153 | 173 | 1.7 | 0/0 | 0 | 2/496 | 2357 | 166 |
| 0.05:6:true | 170 | 199 | 40 | newton 2, be-state 15, be-mode 23 | 365 | 1.83 | 4.42 | 320 | 229 | 2.2 | 0/0 | 0 | 2/496 | 2446 | 179 |
| 0.02:4:false | 124 | 204 | 45 | be-mode 45 | 285 | 1.40 | 5.49 | 218 | 154 | 1.2 | 0/0 | 0 | 1/248 | 2340 | 160 |
| 0.02:4:true | 93 | 177 | 17 | be-mode 17 | 230 | 1.30 | 4.58 | 30 | 79 | 0.7 | 0/0 | 0 | 1/248 | 1716 | 116 |
| 0.02:5:false | 94 | 181 | 22 | be-mode 22 | 204 | 1.13 | 6.07 | 223 | 93 | 0.8 | 0/0 | 0 | 1/248 | 1833 | 128 |
| 0.02:5:true | 89 | 177 | 17 | be-mode 17 | 231 | 1.31 | 4.68 | 69 | 68 | 0.7 | 0/0 | 0 | 1/248 | 1719 | 119 |
| 0.02:6:false | 104 | 181 | 22 | be-mode 22 | 250 | 1.38 | 5.51 | 35 | 104 | 1.0 | 0/0 | 0 | 1/248 | 1928 | 137 |
| 0.02:6:true | 103 | 181 | 22 | be-mode 22 | 251 | 1.39 | 5.63 | 45 | 101 | 1.0 | 0/0 | 0 | 1/248 | 1827 | 133 |
| transient total | 1742 | 2440 | 532 | newton 9, be-state 89, be-mode 434 | 3586 | 1.47 | 4.48 | 2084 | 1897 | 19.3 | 0/0 | 0 | 18/4464 | 27113 | 1888 |
| static total (32 cases) | 620 | 35 | 3 | newton 3 | 40 | 1.14 | 9.60 | 416 | 121 | 11.6 | 0/0 | 0 | 35/8680 | 9043 | 397 |
