| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 142 | 177 | 17 | newton 2, be-state 15 | 195 | 1.10 | 3.03 | 115 | 71 | 1.0 | 0/0 | 0 | 1/248 | 1582 | 106 |
| 0.05:4:true | 100 | 175 | 15 | be-state 15 | 195 | 1.11 | 2.74 | 55 | 67 | 0.9 | 0/0 | 0 | 1/248 | 1492 | 99 |
| 0.05:5:false | 110 | 175 | 15 | be-state 15 | 192 | 1.10 | 3.31 | 31 | 76 | 0.9 | 0/0 | 0 | 1/248 | 1646 | 109 |
| 0.05:5:true | 90 | 175 | 15 | be-state 15 | 197 | 1.13 | 2.68 | 47 | 64 | 0.8 | 0/0 | 0 | 1/248 | 1506 | 101 |
| 0.05:6:false | 119 | 175 | 15 | be-state 15 | 264 | 1.51 | 5.07 | 173 | 81 | 1.3 | 0/0 | 0 | 1/248 | 1746 | 130 |
| 0.05:6:true | 116 | 176 | 16 | newton 1, be-state 15 | 298 | 1.69 | 3.75 | 203 | 165 | 1.9 | 0/0 | 0 | 1/248 | 1784 | 133 |
| 0.02:4:false | 89 | 160 | 0 | - | 163 | 1.02 | 6.02 | 12 | 30 | 0.6 | 0/0 | 0 | 1/248 | 1545 | 102 |
| 0.02:4:true | 81 | 160 | 0 | - | 163 | 1.02 | 5.42 | 2 | 35 | 0.6 | 0/0 | 0 | 1/248 | 1386 | 93 |
| 0.02:5:false | 78 | 160 | 0 | - | 162 | 1.01 | 5.89 | 33 | 37 | 0.5 | 0/0 | 0 | 1/248 | 1491 | 102 |
| 0.02:5:true | 79 | 160 | 0 | - | 164 | 1.02 | 5.74 | 31 | 29 | 0.5 | 0/0 | 0 | 1/248 | 1391 | 97 |
| 0.02:6:false | 81 | 161 | 1 | newton 1 | 166 | 1.03 | 6.27 | 30 | 43 | 0.6 | 0/0 | 0 | 1/248 | 1508 | 106 |
| 0.02:6:true | 82 | 160 | 0 | - | 164 | 1.02 | 6.28 | 10 | 36 | 0.6 | 0/0 | 0 | 1/248 | 1384 | 100 |
| transient total | 1167 | 2014 | 94 | newton 4, be-state 90 | 2323 | 1.15 | 4.55 | 742 | 734 | 10.0 | 0/0 | 0 | 12/2976 | 18461 | 1278 |
| static total (32 cases) | 637 | 35 | 3 | newton 3 | 72 | 2.06 | 10.47 | 432 | 159 | 11.7 | 0/0 | 0 | 36/8928 | 9354 | 416 |
