| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 129 | 160 | 0 | - | 163 | 1.02 | 3.22 | 25 | 55 | 0.8 | 0/0 | 0 | 1/248 | 1298 | 89 |
| 0.05:4:true | 95 | 160 | 0 | - | 165 | 1.03 | 2.10 | 86 | 35 | 0.6 | 0/0 | 0 | 1/248 | 1278 | 84 |
| 0.05:5:false | 72 | 160 | 0 | - | 162 | 1.01 | 2.56 | 38 | 27 | 0.4 | 0/0 | 0 | 1/248 | 1337 | 88 |
| 0.05:5:true | 74 | 160 | 0 | - | 167 | 1.04 | 2.07 | 61 | 35 | 0.5 | 0/0 | 0 | 1/248 | 1290 | 85 |
| 0.05:6:false | 100 | 160 | 0 | - | 246 | 1.54 | 8.32 | 15 | 135 | 1.6 | 0/0 | 0 | 1/248 | 1520 | 128 |
| 0.05:6:true | 104 | 161 | 1 | newton 1 | 273 | 1.70 | 5.59 | 175 | 63 | 1.2 | 0/0 | 0 | 1/248 | 1584 | 124 |
| 0.02:4:false | 87 | 160 | 0 | - | 163 | 1.02 | 6.02 | 12 | 30 | 0.6 | 0/0 | 0 | 1/248 | 1545 | 102 |
| 0.02:4:true | 89 | 160 | 0 | - | 163 | 1.02 | 5.42 | 2 | 35 | 0.8 | 0/0 | 0 | 1/248 | 1386 | 93 |
| 0.02:5:false | 93 | 160 | 0 | - | 162 | 1.01 | 5.89 | 33 | 37 | 0.7 | 0/0 | 0 | 1/248 | 1491 | 102 |
| 0.02:5:true | 86 | 160 | 0 | - | 164 | 1.02 | 5.74 | 31 | 29 | 0.6 | 0/0 | 0 | 1/248 | 1391 | 97 |
| 0.02:6:false | 91 | 161 | 1 | newton 1 | 166 | 1.03 | 6.27 | 30 | 43 | 0.6 | 0/0 | 0 | 1/248 | 1508 | 106 |
| 0.02:6:true | 94 | 160 | 0 | - | 164 | 1.02 | 6.28 | 10 | 36 | 0.7 | 0/0 | 0 | 1/248 | 1384 | 100 |
| transient total | 1114 | 1922 | 2 | newton 2 | 2158 | 1.12 | 5.11 | 518 | 560 | 9.0 | 0/0 | 0 | 12/2976 | 17012 | 1197 |
| static total (32 cases) | 665 | 35 | 3 | newton 3 | 72 | 2.06 | 10.47 | 432 | 159 | 11.5 | 0/0 | 0 | 36/8928 | 9354 | 416 |
