| case @ t | run84 P1, P2 (Pa) | run85f P1, P2 (Pa) | run87b P1, P2 (Pa) | run85e P1, P2 (Pa) | run87 P1, P2 (Pa) | run85f - run84 (Pa) | run87b - run84 (Pa) | run85e - run84 (Pa) | run87 - run84 (Pa) |
|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false@1.0 | 116575.09, 115212.80 | 116722.36, 115406.28 | 116885.78, 115626.47 | 116722.36, 115406.28 | 116885.78, 115626.47 | 147.27, 193.48 | 310.69, 413.67 | 147.27, 193.48 | 310.69, 413.67 |
| 0.05:4:false@1.5 | 102679.02, 101753.30 | 102892.23, 102062.37 | 103118.34, 102358.86 | 102883.69, 101946.90 | 103091.34, 102021.26 | 213.21, 309.07 | 439.31, 605.56 | 204.67, 193.61 | 412.32, 267.96 |
| 0.05:4:false@10.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 0.00, 0.00 | -0.00, -0.00 | -0.00, -0.00 | -0.00, -0.00 |
| 0.05:4:true@1.0 | 116517.06, 101535.53 | 116703.01, 101536.02 | 116885.78, 101536.56 | 116703.01, 101536.02 | 116885.78, 101536.56 | 185.95, 0.50 | 368.72, 1.03 | 185.95, 0.50 | 368.72, 1.03 |
| 0.05:4:true@1.5 | 102627.97, 101494.16 | 102875.12, 101494.77 | 103118.34, 101495.40 | 102875.12, 101494.77 | 103118.34, 101495.40 | 247.16, 0.61 | 490.37, 1.24 | 247.16, 0.61 | 490.37, 1.24 |
| 0.05:4:true@10.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | -0.00, -0.00 | -0.00, -0.00 | -0.00, -0.00 | 0.00, 0.00 |
| 0.05:5:false@1.0 | 116516.74, 113928.40 | 116703.01, 114142.88 | 116885.78, 114353.05 | 116696.69, 114135.60 | 116859.69, 114323.01 | 186.27, 214.48 | 369.04, 424.64 | 179.95, 207.20 | 342.95, 394.61 |
| 0.05:5:false@1.5 | 102627.52, 101397.89 | 102875.12, 101511.43 | 103118.34, 101667.13 | 102869.52, 101510.68 | 103095.19, 101663.33 | 247.60, 113.54 | 490.81, 269.24 | 241.99, 112.79 | 467.67, 265.44 |
| 0.05:5:false@10.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 0.00, -0.00 | 0.00, 0.00 | 0.00, -0.00 | 0.00, 0.00 |
| 0.05:5:true@1.0 | 116517.09, 101423.83 | 116703.01, 101424.05 | 116885.78, 101424.28 | 116703.01, 101424.05 | 116885.78, 101424.28 | 185.92, 0.22 | 368.69, 0.45 | 185.92, 0.22 | 368.69, 0.45 |
| 0.05:5:true@1.5 | 102628.00, 101404.99 | 102875.12, 101405.26 | 103118.34, 101405.55 | 102875.12, 101405.26 | 103118.34, 101405.55 | 247.12, 0.27 | 490.33, 0.55 | 247.12, 0.27 | 490.33, 0.55 |
| 0.05:5:true@10.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | -0.00, -0.00 | -0.00, -0.00 | -0.00, -0.00 | -0.00, -0.00 |
| 0.05:6:false@1.0 | 116516.74, 113928.40 | 116703.01, 114142.88 | 116885.78, 114353.05 | 116703.01, 114142.88 | 116885.78, 114353.05 | 186.27, 214.48 | 369.04, 424.64 | 186.27, 214.48 | 369.04, 424.64 |
| 0.05:6:false@1.5 | 102627.52, 101365.58 | 102875.12, 101450.92 | 103118.34, 101589.12 | 102875.12, 101450.92 | 103118.34, 101589.12 | 247.60, 85.34 | 490.81, 223.54 | 247.60, 85.34 | 490.81, 223.54 |
| 0.05:6:false@10.0 | 101318.59, 101318.59 | 101318.27, 101318.27 | 101318.04, 101318.04 | 101318.27, 101318.27 | 101318.10, 101318.10 | -0.32, -0.32 | -0.55, -0.55 | -0.32, -0.32 | -0.49, -0.49 |
| 0.05:6:true@1.0 | 116517.15, 101381.30 | 116703.01, 101381.42 | 116885.78, 101381.56 | 116703.01, 101381.42 | 116885.78, 101381.56 | 185.86, 0.13 | 368.63, 0.26 | 185.86, 0.13 | 368.63, 0.26 |
| 0.05:6:true@1.5 | 102627.96, 101370.42 | 102875.12, 101370.57 | 103118.34, 101370.74 | 102875.12, 101370.57 | 103118.34, 101370.74 | 247.16, 0.16 | 490.38, 0.32 | 247.16, 0.16 | 490.38, 0.32 |
| 0.05:6:true@10.0 | 101318.98, 101318.98 | 101318.99, 101318.99 | 101318.90, 101318.90 | 101318.99, 101318.99 | 101319.00, 101319.00 | 0.01, 0.01 | -0.08, -0.08 | 0.01, 0.01 | 0.02, 0.02 |
| 0.02:4:false@1.0 | 144084.85, 143969.29 | 144086.86, 143984.45 | 144086.86, 143984.45 | 144086.86, 143984.45 | 144086.86, 143984.45 | 2.01, 15.15 | 2.01, 15.15 | 2.01, 15.15 | 2.01, 15.15 |
| 0.02:4:false@1.5 | 141208.25, 141014.60 | 141215.96, 141035.25 | 141215.96, 141035.25 | 141215.96, 141035.25 | 141215.96, 141035.25 | 7.71, 20.65 | 7.71, 20.65 | 7.71, 20.65 | 7.71, 20.65 |
| 0.02:4:false@10.0 | 101873.30, 102057.99 | 101972.97, 102158.53 | 101972.97, 102158.53 | 101972.23, 102156.91 | 101972.23, 102156.91 | 99.67, 100.54 | 99.67, 100.54 | 98.93, 98.92 | 98.93, 98.92 |
| 0.02:4:true@1.0 | 144075.18, 94221.88 | 144086.86, 94221.47 | 144086.86, 94221.47 | 144086.86, 94221.47 | 144086.86, 94221.47 | 11.69, -0.41 | 11.69, -0.41 | 11.69, -0.41 | 11.69, -0.41 |
| 0.02:4:true@1.5 | 141198.77, 96319.73 | 141215.96, 96319.18 | 141215.96, 96319.18 | 141215.96, 96319.18 | 141215.96, 96319.18 | 17.20, -0.55 | 17.20, -0.55 | 17.20, -0.55 | 17.20, -0.55 |
| 0.02:4:true@10.0 | 101552.56, 101442.71 | 101638.43, 101466.97 | 101638.43, 101466.97 | 101638.43, 101466.97 | 101638.43, 101466.97 | 85.87, 24.26 | 85.87, 24.26 | 85.87, 24.26 | 85.87, 24.26 |
| 0.02:5:false@1.0 | 144075.18, 143541.95 | 144086.86, 143555.81 | 144086.86, 143555.81 | 144086.01, 143554.80 | 144086.01, 143554.80 | 11.69, 13.85 | 11.69, 13.85 | 10.84, 12.85 | 10.84, 12.85 |
| 0.02:5:false@1.5 | 141198.77, 140417.92 | 141215.96, 140438.25 | 141215.96, 140438.25 | 141215.13, 140437.27 | 141215.13, 140437.27 | 17.20, 20.33 | 17.20, 20.33 | 16.37, 19.35 | 16.37, 19.35 |
| 0.02:5:false@10.0 | 101505.11, 101419.07 | 101600.09, 101472.47 | 101600.09, 101472.47 | 101599.93, 101472.39 | 101599.93, 101472.39 | 94.98, 53.40 | 94.98, 53.40 | 94.81, 53.31 | 94.81, 53.31 |
| 0.02:5:true@1.0 | 144075.18, 94219.59 | 144086.86, 94219.20 | 144086.86, 94219.20 | 144086.86, 94219.20 | 144086.86, 94219.20 | 11.69, -0.38 | 11.69, -0.38 | 11.69, -0.38 | 11.69, -0.38 |
| 0.02:5:true@1.5 | 141198.77, 96316.51 | 141215.96, 96315.99 | 141215.96, 96315.99 | 141215.96, 96315.99 | 141215.96, 96315.99 | 17.20, -0.51 | 17.20, -0.51 | 17.20, -0.51 | 17.20, -0.51 |
| 0.02:5:true@10.0 | 101459.04, 101355.32 | 101544.07, 101369.29 | 101544.07, 101369.29 | 101544.07, 101369.29 | 101544.07, 101369.29 | 85.02, 13.98 | 85.02, 13.98 | 85.02, 13.98 | 85.02, 13.98 |
| 0.02:6:false@1.0 | 144075.18, 143541.95 | 144086.86, 143555.81 | 144086.86, 143555.81 | 144086.86, 143555.81 | 144086.86, 143555.81 | 11.69, 13.85 | 11.69, 13.85 | 11.69, 13.85 | 11.69, 13.85 |
| 0.02:6:false@1.5 | 141198.77, 140417.92 | 141215.96, 140438.25 | 141215.96, 140438.25 | 141215.96, 140438.25 | 141215.96, 140438.25 | 17.20, 20.33 | 17.20, 20.33 | 17.20, 20.33 | 17.20, 20.33 |
| 0.02:6:false@10.0 | 101450.58, 101353.93 | 101540.97, 101389.76 | 101540.97, 101389.76 | 101540.97, 101389.76 | 101540.97, 101389.76 | 90.39, 35.82 | 90.39, 35.82 | 90.39, 35.82 | 90.39, 35.82 |
| 0.02:6:true@1.0 | 144075.18, 94218.64 | 144086.86, 94218.27 | 144086.86, 94218.27 | 144086.86, 94218.27 | 144086.86, 94218.27 | 11.69, -0.37 | 11.69, -0.37 | 11.69, -0.37 | 11.69, -0.37 |
| 0.02:6:true@1.5 | 141198.77, 96315.16 | 141215.96, 96314.67 | 141215.96, 96314.67 | 141215.96, 96314.67 | 141215.96, 96314.67 | 17.20, -0.50 | 17.20, -0.50 | 17.20, -0.50 | 17.20, -0.50 |
| 0.02:6:true@10.0 | 101431.19, 101336.32 | 101513.92, 101343.55 | 101513.92, 101343.55 | 101513.92, 101343.55 | 101513.92, 101343.55 | 82.73, 7.23 | 82.73, 7.23 | 82.73, 7.23 | 82.73, 7.23 |
