| case @ t | run91a P1, P2 (Pa) | run91b P1, P2 (Pa) | run91c P1, P2 (Pa) | run91d P1, P2 (Pa) | run91e P1, P2 (Pa) | run91b - run91a (Pa) | run91c - run91a (Pa) | run91d - run91a (Pa) | run91e - run91a (Pa) |
|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false@1.0 | 116885.78, 115626.47 | 117046.71, 115810.30 | - | 117029.53, 115756.88 | - | 160.93, 183.83 | - | 143.75, 130.41 | - |
| 0.05:4:false@5.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 0.00, 0.00 | 0.00, 0.00 | 0.00, 0.00 | 0.00, 0.00 |
| 0.05:4:false@10.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | -0.00, -0.00 | 0.00, 0.00 | 0.00, 0.00 | 0.00, 0.00 |
| 0.05:4:false@13.0 | 101330.93, 101326.33 | 101330.92, 101326.29 | 101330.90, 101326.30 | 101330.91, 101326.31 | 101339.46, 101332.00 | -0.01, -0.04 | -0.03, -0.03 | -0.02, -0.02 | 8.53, 5.67 |
| 0.05:4:false@16.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | -0.00, -0.00 | -0.00, 0.00 | -0.00, -0.00 | 0.00, 0.00 |
| 0.05:4:true@1.0 | 116885.78, 101536.56 | 117043.58, 101536.92 | - | 116993.80, 101536.81 | - | 157.80, 0.36 | - | 108.02, 0.25 | - |
| 0.05:4:true@5.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 0.00, 0.00 | 0.00, 0.00 | 0.00, 0.00 | 0.00, 0.00 |
| 0.05:4:true@10.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 0.00, 0.00 | 0.00, 0.00 | -0.00, -0.00 | 0.00, 0.00 |
| 0.05:4:true@13.0 | 101330.94, 101326.34 | 101330.94, 101326.34 | 101334.67, 101328.25 | 101330.97, 101326.34 | 104128.43, 104125.80 | -0.00, -0.00 | 3.74, 1.91 | 0.03, 0.00 | 2797.49, 2799.46 |
| 0.05:4:true@16.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101327.84, 101328.22 | 0.00, 0.00 | 0.00, 0.00 | 0.00, 0.00 | 2.84, 3.22 |
| 0.05:5:false@1.0 | 116885.78, 114353.05 | 117042.23, 114532.76 | - | 116987.79, 114470.17 | - | 156.45, 179.71 | - | 102.01, 117.12 | - |
| 0.05:5:false@5.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 0.00, -0.00 | -0.00, -0.00 | -0.00, -0.00 | -0.00, -0.00 |
| 0.05:5:false@10.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | -0.00, -0.00 | -0.00, -0.00 | -0.00, -0.00 | -0.00, -0.00 |
| 0.05:5:false@13.0 | 101330.93, 101326.33 | 101330.92, 101326.29 | 101334.76, 101328.54 | 101330.92, 101326.29 | 101330.88, 101326.30 | -0.01, -0.04 | 3.83, 2.20 | -0.01, -0.04 | -0.05, -0.04 |
| 0.05:5:false@16.0 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 101325.00, 101325.00 | 0.00, 0.00 | 0.00, 0.00 | 0.00, 0.00 | 0.00, 0.00 |
