| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 59 | 27 | 6 | be-state 6 | 36 | 1.33 | 7.56 | 99 | 45 | 0.7 | 0/0 | 0 | 1/248 | 512 | 36 |
| 0.05:4:true | 38 | 27 | 6 | newton 1, be-state 5 | 34 | 1.26 | 7.41 | 57 | 44 | 0.5 | 0/0 | 0 | 1/248 | 491 | 32 |
| 0.05:5:false | 49 | 30 | 9 | newton 4, be-state 5 | 47 | 1.57 | 6.81 | 311 | 80 | 0.9 | 0/0 | 0 | 1/248 | 567 | 43 |
| 0.05:5:true | 50 | 27 | 6 | newton 2, be-state 4 | 36 | 1.33 | 8.17 | 126 | 59 | 0.7 | 0/0 | 0 | 1/248 | 496 | 36 |
| 0.05:6:false | 62 | 28 | 7 | newton 2, be-state 5 | 47 | 1.68 | 10.19 | 131 | 72 | 1.0 | 0/0 | 0 | 1/248 | 541 | 42 |
| 0.05:6:true | 34 | 27 | 6 | newton 1, be-state 5 | 45 | 1.67 | 8.82 | 95 | 50 | 0.9 | 0/0 | 0 | 1/248 | 517 | 38 |
| 0.02:4:false | 22 | 16 | 0 | - | 17 | 1.06 | 8.53 | 9 | 14 | 0.2 | 0/0 | 0 | 1/248 | 387 | 22 |
| 0.02:4:true | 20 | 16 | 0 | - | 17 | 1.06 | 7.71 | 2 | 12 | 0.1 | 0/0 | 0 | 1/248 | 372 | 21 |
| 0.02:5:false | 24 | 16 | 0 | - | 18 | 1.13 | 8.72 | 16 | 18 | 0.2 | 0/0 | 0 | 1/248 | 392 | 23 |
| 0.02:5:true | 23 | 16 | 0 | - | 18 | 1.13 | 8.00 | 22 | 15 | 0.2 | 0/0 | 0 | 1/248 | 377 | 23 |
| 0.02:6:false | 26 | 16 | 0 | - | 20 | 1.25 | 8.10 | 8 | 16 | 0.2 | 0/0 | 0 | 1/248 | 400 | 24 |
| 0.02:6:true | 24 | 16 | 0 | - | 20 | 1.25 | 7.80 | 0 | 17 | 0.2 | 0/0 | 0 | 1/248 | 385 | 24 |
| transient total | 431 | 262 | 40 | newton 10, be-state 30 | 355 | 1.35 | 8.19 | 876 | 442 | 5.8 | 0/0 | 0 | 12/2976 | 5437 | 365 |
| static total (32 cases) | 640 | 35 | 3 | newton 3 | 72 | 2.06 | 10.47 | 432 | 159 | 11.3 | 0/0 | 0 | 36/8928 | 9354 | 416 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 98 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (2/2/0/0/248) | 0.4 | 0.0 / 0.0 | 6.9 | 1.7 | 17.3 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 24 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 299 | 260 (2/2/0/0/248) | 0.3 | 0.0 / 0.0 | 0.6 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 20 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 301 | 262 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.7 | 0.2 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 21 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 303 | 264 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.4 | 0.2 | 11.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 17 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 15 | 1 | 0 | 2 | 11.00 | 3 | 1 | 25 | 300 | 260 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 16 | 1 | 0 | 2 | 12.50 | 4 | 1 | 27 | 308 | 262 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.4 | 0.2 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 18 | 1 | 0 | 2 | 10.50 | 5 | 1 | 32 | 319 | 264 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.5 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.2 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 15 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
